"","x_coord","y_coord_flip","team"
"1",65,-10,"ANA"
"2",76,14,"ANA"
"3",76,23,"ANA"
"4",75,7,"ANA"
"5",55,1,"ANA"
"6",75,4,"ANA"
"7",65,23,"ANA"
"8",82,-4,"ANA"
"9",71,6,"ANA"
"10",82,-7,"ANA"
"11",68,21,"ANA"
"12",48,-15,"ANA"
"13",86,-2,"ANA"
"14",83,10,"ANA"
"15",71,0,"ANA"
"16",70,-6,"ANA"
"17",79,0,"ANA"
"18",78,3,"ANA"
"19",47,-16,"ANA"
"20",80,5,"ANA"
"21",20,7,"ANA"
"22",83,1,"ANA"
"23",81,-5,"ANA"
"24",54,-20,"ANA"
"25",80,3,"ANA"
"26",65,-11,"ANA"
"27",73,-18,"ANA"
"28",72,0,"ANA"
"29",62,33,"ANA"
"30",77,-3,"ANA"
"31",60,-8,"ANA"
"32",79,-6,"ANA"
"33",83,-1,"ANA"
"34",62,23,"ANA"
"35",79,5,"ANA"
"36",53,2,"ANA"
"37",75,-10,"ANA"
"38",79,-4,"ANA"
"39",72,-11,"ANA"
"40",80,0,"ANA"
"41",78,1,"ANA"
"42",79,-2,"ANA"
"43",50,-21,"ANA"
"44",82,6,"ANA"
"45",47,1,"ANA"
"46",81,-8,"ANA"
"47",78,6,"ANA"
"48",69,20,"ANA"
"49",70,11,"ANA"
"50",79,5,"ANA"
"51",78,-3,"ANA"
"52",82,3,"ANA"
"53",68,1,"ANA"
"54",82,5,"ANA"
"55",75,-5,"ANA"
"56",75,-4,"ANA"
"57",71,6,"ANA"
"58",39,-21,"ANA"
"59",75,-13,"ANA"
"60",72,-1,"ANA"
"61",90,9,"ANA"
"62",75,-2,"ANA"
"63",75,1,"ANA"
"64",81,1,"ANA"
"65",82,-5,"ANA"
"66",53,20,"ANA"
"67",83,7,"ANA"
"68",81,-7,"ANA"
"69",39,15,"ANA"
"70",85,-14,"ANA"
"71",68,-18,"ANA"
"72",72,-6,"ANA"
"73",77,4,"ANA"
"74",46,24,"ANA"
"75",77,-16,"ANA"
"76",76,-14,"ANA"
"77",43,29,"ANA"
"78",84,9,"ANA"
"79",79,2,"ANA"
"80",76,0,"ANA"
"81",79,1,"ANA"
"82",67,4,"ANA"
"83",78,11,"ANA"
"84",78,-19,"ANA"
"85",81,0,"ANA"
"86",86,29,"ANA"
"87",87,-14,"ANA"
"88",54,-20,"ANA"
"89",72,9,"ANA"
"90",66,3,"ANA"
"91",80,0,"ANA"
"92",64,21,"ANA"
"93",91,13,"ANA"
"94",33,7,"ANA"
"95",84,4,"ANA"
"96",79,5,"ANA"
"97",80,5,"ANA"
"98",62,6,"ANA"
"99",71,-2,"ANA"
"100",67,1,"ANA"
"101",78,-5,"ANA"
"102",42,-25,"ANA"
"103",82,-5,"ANA"
"104",56,-10,"ANA"
"105",87,-4,"ANA"
"106",79,-3,"ANA"
"107",69,-7,"ANA"
"108",82,1,"ANA"
"109",82,8,"ANA"
"110",60,17,"ANA"
"111",82,15,"ANA"
"112",72,4,"ANA"
"113",48,11,"ANA"
"114",72,-2,"ANA"
"115",31,28,"ANA"
"116",68,-1,"ANA"
"117",63,-26,"ANA"
"118",55,15,"ANA"
"119",73,-9,"ANA"
"120",55,-20,"ANA"
"121",79,-5,"ANA"
"122",75,-1,"ANA"
"123",64,18,"ANA"
"124",82,-4,"ANA"
"125",78,1,"ANA"
"126",57,-25,"ANA"
"127",78,4,"ANA"
"128",66,-10,"ANA"
"129",81,-4,"ANA"
"130",82,1,"ANA"
"131",69,20,"ANA"
"132",63,-12,"ANA"
"133",84,0,"ANA"
"134",75,8,"ANA"
"135",54,-19,"ANA"
"136",43,-20,"ANA"
"137",42,-2,"ANA"
"138",82,-6,"ANA"
"139",73,-5,"ANA"
"140",79,2,"ANA"
"141",73,1,"ANA"
"142",70,-12,"ANA"
"143",39,20,"ANA"
"144",80,-3,"ANA"
"145",79,-1,"ANA"
"146",56,-19,"ANA"
"147",80,-2,"ANA"
"148",74,16,"ANA"
"149",43,4,"ANA"
"150",78,-5,"ANA"
"151",69,-13,"ANA"
"152",77,-5,"ANA"
"153",84,-4,"ANA"
"154",76,5,"ANA"
"155",80,-6,"ANA"
"156",81,4,"ANA"
"157",79,4,"ANA"
"158",62,4,"ANA"
"159",80,5,"ANA"
"160",74,14,"ANA"
"161",72,10,"ANA"
"162",72,14,"ANA"
"163",76,1,"ANA"
"164",63,1,"ANA"
"165",78,11,"ANA"
"166",62,3,"ANA"
"167",77,-8,"ANA"
"168",85,-8,"ANA"
"169",86,-36,"ANA"
"170",67,-4,"ANA"
"171",76,-1,"ANA"
"172",82,-5,"ANA"
"173",61,1,"ANA"
"174",75,0,"ANA"
"175",63,25,"ANA"
"176",49,-1,"ANA"
"177",37,-32,"ANA"
"178",86,-6,"ANA"
"179",76,2,"ANA"
"180",80,-4,"ANA"
"181",82,-12,"ANA"
"182",79,7,"ANA"
"183",64,-25,"ANA"
"184",50,0,"ANA"
"185",51,-7,"ANA"
"186",65,-12,"ANA"
"187",64,24,"ANA"
"188",83,-6,"ANA"
"189",52,30,"ANA"
"190",52,13,"ANA"
"191",62,3,"ANA"
"192",78,8,"ANA"
"193",54,-18,"ANA"
"194",76,-4,"ANA"
"195",77,5,"ANA"
"196",62,-10,"ANA"
"197",80,4,"ANA"
"198",53,13,"ANA"
