"","x_coord","y_coord_flip","team"
"1",70,1,"ANA"
"2",76,-18,"ANA"
"3",36,-10,"ANA"
"4",47,18,"ANA"
"5",33,-31,"ANA"
"6",72,3,"ANA"
"7",81,20,"ANA"
"8",63,17,"ANA"
"9",39,-4,"ANA"
"10",37,-12,"ANA"
"11",58,-10,"ANA"
"12",34,36,"ANA"
"13",81,7,"ANA"
"14",59,30,"ANA"
"15",76,-2,"ANA"
"16",39,6,"ANA"
"17",8,35,"ANA"
"18",74,10,"ANA"
"19",71,12,"ANA"
"20",45,-9,"ANA"
"21",49,-30,"ANA"
"22",78,1,"ANA"
"23",42,-23,"ANA"
"24",84,-33,"ANA"
"25",44,29,"ANA"
"26",61,-18,"ANA"
"27",60,13,"ANA"
"28",47,3,"ANA"
"29",83,20,"ANA"
"30",62,19,"ANA"
"31",20,2,"ANA"
"32",70,3,"ANA"
"33",87,9,"ANA"
"34",49,-17,"ANA"
"35",75,-1,"ANA"
"36",63,-17,"ANA"
"37",36,22,"ANA"
"38",36,-22,"ANA"
"39",80,-1,"ANA"
"40",47,15,"ANA"
"41",79,5,"ANA"
"42",47,1,"ANA"
"43",62,-15,"ANA"
"44",2,13,"ANA"
"45",81,-5,"ANA"
"46",64,11,"ANA"
"47",66,-16,"ANA"
"48",63,-26,"ANA"
"49",81,2,"ANA"
"50",53,1,"ANA"
"51",91,-13,"ANA"
"52",48,19,"ANA"
"53",79,-3,"ANA"
"54",66,-12,"ANA"
"55",73,-3,"ANA"
"56",78,-2,"ANA"
"57",76,21,"ANA"
"58",57,-24,"ANA"
"59",80,7,"ANA"
"60",41,25,"ANA"
"61",75,-3,"ANA"
"62",75,-4,"ANA"
"63",77,1,"ANA"
"64",79,-4,"ANA"
"65",59,-27,"ANA"
"66",61,5,"ANA"
"67",85,-18,"ANA"
"68",66,26,"ANA"
"69",79,-3,"ANA"
"70",48,17,"ANA"
"71",47,-19,"ANA"
"72",84,19,"ANA"
"73",58,-10,"ANA"
"74",60,27,"ANA"
"75",78,4,"ANA"
"76",41,5,"ANA"
"77",80,-19,"ANA"
"78",82,34,"ANA"
"79",68,-12,"ANA"
"80",79,-5,"ANA"
"81",80,0,"ANA"
"82",78,-1,"ANA"
"83",70,21,"ANA"
"84",19,33,"ANA"
"85",10,-36,"ANA"
"86",64,19,"ANA"
"87",33,24,"ANA"
"88",76,-2,"ANA"
"89",80,-2,"ANA"
"90",57,10,"ANA"
"91",46,-3,"ANA"
"92",72,13,"ANA"
"93",65,-18,"ANA"
"94",66,-9,"ANA"
"95",81,4,"ANA"
"96",37,-25,"ANA"
"97",88,-21,"ANA"
"98",87,10,"ANA"
"99",45,11,"ANA"
"100",83,-3,"ANA"
"101",66,20,"ANA"
"102",84,9,"ANA"
"103",87,6,"ANA"
"104",64,-3,"ANA"
"105",62,-34,"ANA"
"106",40,-22,"ANA"
"107",63,-30,"ANA"
"108",69,-11,"ANA"
"109",41,-25,"ANA"
"110",69,0,"ANA"
"111",75,23,"ANA"
"112",42,23,"ANA"
"113",63,-19,"ANA"
"114",66,18,"ANA"
"115",67,24,"ANA"
"116",67,-5,"ANA"
"117",0,27,"ANA"
"118",69,8,"ANA"
"119",52,14,"ANA"
"120",70,-23,"ANA"
"121",68,-4,"ANA"
"122",42,-22,"ANA"
"123",72,12,"ANA"
"124",76,-11,"ANA"
"125",88,-16,"ANA"
"126",43,-10,"ANA"
"127",45,-21,"ANA"
"128",46,-25,"ANA"
"129",78,-5,"ANA"
"130",57,-26,"ANA"
"131",42,2,"ANA"
"132",79,-1,"ANA"
"133",40,29,"ANA"
"134",51,-14,"ANA"
"135",65,29,"ANA"
"136",5,4,"ANA"
"137",2,-31,"ANA"
"138",43,-15,"ANA"
"139",39,36,"ANA"
"140",42,-20,"ANA"
"141",60,-22,"ANA"
"142",45,19,"ANA"
"143",82,12,"ANA"
"144",51,12,"ANA"
"145",71,-23,"ANA"
"146",76,2,"ANA"
"147",52,12,"ANA"
"148",59,-23,"ANA"
"149",51,-23,"ANA"
"150",6,-30,"ANA"
"151",87,-13,"ANA"
"152",39,-13,"ANA"
"153",58,-11,"ANA"
"154",63,22,"ANA"
"155",25,-1,"ANA"
"156",48,-39,"ANA"
"157",35,-26,"ANA"
"158",3,-37,"ANA"
"159",33,33,"ANA"
"160",51,36,"ANA"
"161",70,12,"ANA"
"162",77,-6,"ANA"
"163",78,1,"ANA"
"164",79,13,"ANA"
"165",27,41,"ANA"
"166",88,-5,"ANA"
"167",72,-3,"ANA"
"168",62,30,"ANA"
"169",31,37,"ANA"
"170",23,-39,"ANA"
"171",88,-9,"ANA"
"172",71,14,"ANA"
"173",29,5,"ANA"
"174",67,8,"ANA"
"175",72,3,"ANA"
"176",82,-4,"ANA"
"177",61,-25,"ANA"
"178",70,-25,"ANA"
"179",18,13,"ANA"
"180",46,-38,"ANA"
"181",81,10,"ANA"
"182",74,-10,"ANA"
"183",61,-18,"ANA"
"184",55,-4,"ANA"
"185",69,-14,"ANA"
"186",69,0,"ANA"
"187",40,-28,"ANA"
"188",10,2,"ANA"
"189",87,29,"ANA"
"190",87,9,"ANA"
"191",86,-21,"ANA"
"192",54,25,"ANA"
"193",45,23,"ANA"
"194",78,-3,"ANA"
"195",40,-15,"ANA"
"196",66,2,"ANA"
"197",82,6,"ANA"
"198",72,-19,"ANA"
"199",19,0,"ANA"
"200",39,-13,"ANA"
