"","x_coord","y_coord_flip","team"
"1",53,-8,"ARI"
"2",75,1,"ARI"
"3",79,-2,"ARI"
"4",84,14,"ARI"
"5",70,13,"ARI"
"6",75,12,"ARI"
"7",79,-3,"ARI"
"8",33,-5,"ARI"
"9",80,0,"ARI"
"10",62,18,"ARI"
"11",67,18,"ARI"
"12",78,10,"ARI"
"13",74,-2,"ARI"
"14",84,4,"ARI"
"15",57,-7,"ARI"
"16",71,4,"ARI"
"17",76,10,"ARI"
"18",81,-5,"ARI"
"19",66,0,"ARI"
"20",38,26,"ARI"
"21",41,-9,"ARI"
"22",61,-17,"ARI"
"23",64,-3,"ARI"
"24",68,-12,"ARI"
"25",79,2,"ARI"
"26",62,-15,"ARI"
"27",78,8,"ARI"
"28",75,13,"ARI"
"29",38,16,"ARI"
"30",66,-10,"ARI"
"31",44,-8,"ARI"
"32",72,-10,"ARI"
"33",69,-17,"ARI"
"34",64,-19,"ARI"
"35",79,-1,"ARI"
"36",68,-27,"ARI"
"37",73,-3,"ARI"
"38",32,4,"ARI"
"39",58,15,"ARI"
"40",76,-4,"ARI"
"41",82,2,"ARI"
"42",83,-13,"ARI"
"43",66,21,"ARI"
"44",82,7,"ARI"
"45",70,33,"ARI"
"46",67,-10,"ARI"
"47",35,23,"ARI"
"48",59,-12,"ARI"
"49",78,2,"ARI"
"50",64,-1,"ARI"
"51",83,10,"ARI"
"52",85,10,"ARI"
"53",69,6,"ARI"
"54",50,22,"ARI"
"55",51,10,"ARI"
"56",82,4,"ARI"
"57",73,11,"ARI"
"58",67,5,"ARI"
"59",69,-16,"ARI"
"60",58,6,"ARI"
"61",61,-2,"ARI"
"62",60,14,"ARI"
"63",78,-1,"ARI"
"64",75,-10,"ARI"
"65",79,5,"ARI"
"66",78,14,"ARI"
"67",83,1,"ARI"
"68",71,24,"ARI"
"69",62,-13,"ARI"
"70",73,12,"ARI"
"71",79,-5,"ARI"
"72",81,-4,"ARI"
"73",67,20,"ARI"
"74",71,9,"ARI"
"75",51,-29,"ARI"
"76",79,-2,"ARI"
"77",87,-6,"ARI"
"78",38,-1,"ARI"
"79",75,3,"ARI"
"80",57,-35,"ARI"
"81",61,9,"ARI"
"82",55,-20,"ARI"
"83",40,-14,"ARI"
"84",61,17,"ARI"
"85",85,32,"ARI"
"86",80,0,"ARI"
"87",63,4,"ARI"
"88",46,-14,"ARI"
"89",70,3,"ARI"
"90",82,-5,"ARI"
"91",63,-18,"ARI"
"92",68,10,"ARI"
"93",76,5,"ARI"
"94",57,26,"ARI"
"95",65,-12,"ARI"
"96",67,16,"ARI"
"97",67,5,"ARI"
"98",56,-3,"ARI"
"99",64,11,"ARI"
"100",56,-15,"ARI"
"101",81,3,"ARI"
"102",82,-6,"ARI"
"103",79,27,"ARI"
"104",40,-3,"ARI"
"105",73,3,"ARI"
"106",59,0,"ARI"
"107",74,-18,"ARI"
"108",74,-7,"ARI"
