"","x_coord","y_coord_flip","team"
"1",43,-17,"ARI"
"2",62,-13,"ARI"
"3",35,21,"ARI"
"4",81,2,"ARI"
"5",87,8,"ARI"
"6",35,25,"ARI"
"7",51,14,"ARI"
"8",73,-16,"ARI"
"9",54,7,"ARI"
"10",76,-12,"ARI"
"11",81,-6,"ARI"
"12",22,-18,"ARI"
"13",82,6,"ARI"
"14",39,-27,"ARI"
"15",78,0,"ARI"
"16",79,-3,"ARI"
"17",73,-12,"ARI"
"18",77,10,"ARI"
"19",64,-36,"ARI"
"20",80,18,"ARI"
"21",44,-26,"ARI"
"22",56,-21,"ARI"
"23",72,-34,"ARI"
"24",58,11,"ARI"
"25",74,0,"ARI"
"26",77,5,"ARI"
"27",80,-5,"ARI"
"28",36,18,"ARI"
"29",67,-5,"ARI"
"30",40,-24,"ARI"
"31",50,-21,"ARI"
"32",63,20,"ARI"
"33",61,-29,"ARI"
"34",42,-10,"ARI"
"35",81,2,"ARI"
"36",47,-8,"ARI"
"37",61,16,"ARI"
"38",59,15,"ARI"
"39",80,-6,"ARI"
"40",86,-15,"ARI"
"41",78,8,"ARI"
"42",66,0,"ARI"
"43",22,-29,"ARI"
"44",11,-27,"ARI"
"45",74,35,"ARI"
"46",73,25,"ARI"
"47",57,-5,"ARI"
"48",56,20,"ARI"
"49",50,5,"ARI"
"50",79,4,"ARI"
"51",79,0,"ARI"
"52",79,-1,"ARI"
"53",79,-3,"ARI"
"54",37,-25,"ARI"
"55",79,4,"ARI"
"56",55,-26,"ARI"
"57",81,7,"ARI"
"58",62,-16,"ARI"
"59",84,-18,"ARI"
"60",38,-23,"ARI"
"61",8,-33,"ARI"
"62",84,21,"ARI"
"63",51,15,"ARI"
"64",64,27,"ARI"
"65",63,10,"ARI"
"66",48,-14,"ARI"
"67",77,-29,"ARI"
"68",83,-10,"ARI"
"69",67,-32,"ARI"
"70",45,28,"ARI"
"71",62,12,"ARI"
"72",37,5,"ARI"
"73",58,25,"ARI"
"74",62,15,"ARI"
"75",62,-12,"ARI"
"76",37,10,"ARI"
"77",84,9,"ARI"
"78",46,-7,"ARI"
"79",54,7,"ARI"
"80",86,-7,"ARI"
"81",74,-2,"ARI"
"82",75,-11,"ARI"
"83",60,-18,"ARI"
"84",73,-20,"ARI"
"85",61,20,"ARI"
"86",56,-14,"ARI"
"87",40,-9,"ARI"
"88",80,8,"ARI"
"89",71,1,"ARI"
"90",76,11,"ARI"
"91",58,16,"ARI"
"92",94,-14,"ARI"
"93",58,-20,"ARI"
"94",45,22,"ARI"
"95",66,14,"ARI"
"96",53,14,"ARI"
"97",71,8,"ARI"
"98",39,29,"ARI"
"99",61,-34,"ARI"
"100",59,28,"ARI"
"101",86,21,"ARI"
"102",74,2,"ARI"
"103",81,5,"ARI"
"104",82,-16,"ARI"
"105",86,-20,"ARI"
"106",43,26,"ARI"
"107",56,30,"ARI"
"108",72,-13,"ARI"
"109",79,-3,"ARI"
"110",71,-16,"ARI"
"111",78,-2,"ARI"
"112",47,-27,"ARI"
"113",72,-14,"ARI"
"114",83,-25,"ARI"
"115",78,7,"ARI"
"116",41,-26,"ARI"
"117",21,-17,"ARI"
"118",36,7,"ARI"
"119",70,11,"ARI"
"120",49,2,"ARI"
"121",79,-8,"ARI"
"122",71,8,"ARI"
"123",68,6,"ARI"
"124",66,36,"ARI"
"125",32,5,"ARI"
"126",80,13,"ARI"
"127",61,-18,"ARI"
"128",19,37,"ARI"
"129",42,-9,"ARI"
"130",82,-7,"ARI"
"131",80,0,"ARI"
"132",76,7,"ARI"
"133",78,0,"ARI"
"134",40,-8,"ARI"
"135",56,-27,"ARI"
"136",57,-25,"ARI"
"137",78,-1,"ARI"
"138",44,35,"ARI"
"139",52,-31,"ARI"
"140",94,5,"ARI"
"141",74,35,"ARI"
"142",53,-30,"ARI"
"143",38,2,"ARI"
"144",51,-3,"ARI"
"145",61,24,"ARI"
"146",52,-33,"ARI"
"147",52,33,"ARI"
"148",3,-36,"ARI"
"149",85,36,"ARI"
"150",39,-28,"ARI"
"151",65,-16,"ARI"
"152",81,-16,"ARI"
"153",79,-26,"ARI"
"154",60,-24,"ARI"
"155",41,-6,"ARI"
"156",56,-34,"ARI"
"157",48,-27,"ARI"
"158",56,-30,"ARI"
"159",33,-16,"ARI"
"160",32,10,"ARI"
"161",75,-13,"ARI"
"162",78,36,"ARI"
"163",69,26,"ARI"
"164",35,1,"ARI"
"165",58,17,"ARI"
"166",51,1,"ARI"
"167",84,-7,"ARI"
"168",82,-10,"ARI"
"169",70,0,"ARI"
"170",43,9,"ARI"
"171",61,4,"ARI"
"172",5,33,"ARI"
"173",71,-27,"ARI"
"174",81,-5,"ARI"
"175",67,-33,"ARI"
"176",31,-29,"ARI"
"177",49,28,"ARI"
"178",58,20,"ARI"
"179",29,-13,"ARI"
"180",83,-30,"ARI"
"181",60,-8,"ARI"
"182",23,-26,"ARI"
"183",11,26,"ARI"
"184",68,-4,"ARI"
"185",83,-16,"ARI"
"186",41,-34,"ARI"
"187",81,28,"ARI"
"188",56,-26,"ARI"
"189",64,-8,"ARI"
"190",76,5,"ARI"
"191",79,-2,"ARI"
"192",31,-30,"ARI"
"193",86,-23,"ARI"
"194",71,12,"ARI"
"195",76,24,"ARI"
"196",41,26,"ARI"
"197",33,-26,"ARI"
"198",79,-4,"ARI"
"199",54,-23,"ARI"
"200",64,-39,"ARI"
"201",75,-1,"ARI"
"202",81,7,"ARI"
"203",74,12,"ARI"
"204",37,-20,"ARI"
"205",58,33,"ARI"
"206",53,31,"ARI"
"207",40,-9,"ARI"
"208",55,30,"ARI"
"209",59,-25,"ARI"
"210",80,0,"ARI"
"211",70,20,"ARI"
"212",57,-33,"ARI"
"213",79,4,"ARI"
"214",62,-12,"ARI"
"215",67,-24,"ARI"
"216",94,-23,"ARI"
"217",63,-12,"ARI"
"218",79,-1,"ARI"
"219",51,26,"ARI"
"220",40,-2,"ARI"
"221",52,20,"ARI"
"222",76,-16,"ARI"
"223",81,-1,"ARI"
"224",49,3,"ARI"
"225",88,15,"ARI"
"226",72,-5,"ARI"
"227",41,26,"ARI"
"228",73,-12,"ARI"
"229",51,33,"ARI"
"230",54,10,"ARI"
"231",82,18,"ARI"
"232",88,-15,"ARI"
"233",63,-23,"ARI"
"234",67,1,"ARI"
"235",74,-12,"ARI"
"236",72,-17,"ARI"
"237",56,-17,"ARI"
"238",65,-13,"ARI"
"239",36,37,"ARI"
"240",79,-9,"ARI"
"241",62,-29,"ARI"
"242",70,-25,"ARI"
"243",37,-19,"ARI"
"244",79,-2,"ARI"
