"","x_coord","y_coord_flip","team"
"1",78,16,"BOS"
"2",77,-12,"BOS"
"3",77,5,"BOS"
"4",64,-1,"BOS"
"5",82,7,"BOS"
"6",70,-8,"BOS"
"7",68,-14,"BOS"
"8",73,4,"BOS"
"9",83,-8,"BOS"
"10",1,-27,"BOS"
"11",75,4,"BOS"
"12",62,-11,"BOS"
"13",67,7,"BOS"
"14",40,2,"BOS"
"15",70,22,"BOS"
"16",40,31,"BOS"
"17",77,-4,"BOS"
"18",55,17,"BOS"
"19",61,13,"BOS"
"20",70,-15,"BOS"
"21",73,4,"BOS"
"22",77,19,"BOS"
"23",69,-3,"BOS"
"24",72,-5,"BOS"
"25",78,-19,"BOS"
"26",66,-12,"BOS"
"27",57,18,"BOS"
"28",62,-3,"BOS"
"29",68,25,"BOS"
"30",40,1,"BOS"
"31",85,10,"BOS"
"32",33,9,"BOS"
"33",77,-5,"BOS"
"34",92,-25,"BOS"
"35",86,-21,"BOS"
"36",64,-20,"BOS"
"37",89,5,"BOS"
"38",62,1,"BOS"
"39",75,-15,"BOS"
"40",36,25,"BOS"
"41",73,-3,"BOS"
"42",71,-1,"BOS"
"43",73,-3,"BOS"
"44",77,-2,"BOS"
"45",79,3,"BOS"
"46",63,10,"BOS"
"47",79,4,"BOS"
"48",71,18,"BOS"
"49",67,13,"BOS"
"50",79,5,"BOS"
"51",70,6,"BOS"
"52",52,-16,"BOS"
"53",79,14,"BOS"
"54",81,3,"BOS"
"55",70,-2,"BOS"
"56",78,5,"BOS"
"57",77,0,"BOS"
"58",79,7,"BOS"
"59",85,-1,"BOS"
"60",84,1,"BOS"
"61",32,8,"BOS"
"62",70,-1,"BOS"
"63",71,10,"BOS"
"64",79,1,"BOS"
"65",79,-21,"BOS"
"66",81,-7,"BOS"
"67",80,3,"BOS"
"68",77,-26,"BOS"
"69",81,-6,"BOS"
"70",79,14,"BOS"
"71",51,8,"BOS"
"72",78,-8,"BOS"
"73",35,3,"BOS"
"74",84,6,"BOS"
"75",63,-2,"BOS"
"76",45,6,"BOS"
"77",76,2,"BOS"
"78",73,2,"BOS"
"79",86,-1,"BOS"
"80",80,-23,"BOS"
"81",83,-18,"BOS"
"82",85,-15,"BOS"
"83",78,-7,"BOS"
"84",76,-5,"BOS"
"85",77,0,"BOS"
"86",59,-16,"BOS"
"87",58,5,"BOS"
"88",79,7,"BOS"
"89",73,-18,"BOS"
"90",69,-12,"BOS"
"91",65,6,"BOS"
"92",82,-1,"BOS"
"93",83,-10,"BOS"
