"","x_coord","y_coord_flip","team"
"1",20,-37,"BOS"
"2",78,1,"BOS"
"3",91,21,"BOS"
"4",55,8,"BOS"
"5",57,-39,"BOS"
"6",31,-2,"BOS"
"7",80,-39,"BOS"
"8",79,12,"BOS"
"9",34,-6,"BOS"
"10",28,33,"BOS"
"11",56,31,"BOS"
"12",87,32,"BOS"
"13",31,-27,"BOS"
"14",68,21,"BOS"
"15",6,34,"BOS"
"16",37,-9,"BOS"
"17",33,-10,"BOS"
"18",44,16,"BOS"
"19",70,-37,"BOS"
"20",22,-23,"BOS"
"21",65,22,"BOS"
"22",35,7,"BOS"
"23",72,-4,"BOS"
"24",69,9,"BOS"
"25",35,30,"BOS"
"26",34,-17,"BOS"
"27",77,-14,"BOS"
"28",80,12,"BOS"
"29",46,-6,"BOS"
"30",70,-3,"BOS"
"31",36,28,"BOS"
"32",41,28,"BOS"
"33",57,23,"BOS"
"34",75,-8,"BOS"
"35",74,-7,"BOS"
"36",26,36,"BOS"
"37",53,-16,"BOS"
"38",61,-30,"BOS"
"39",74,-1,"BOS"
"40",36,-5,"BOS"
"41",76,16,"BOS"
"42",5,5,"BOS"
"43",43,31,"BOS"
"44",31,33,"BOS"
"45",54,32,"BOS"
"46",25,19,"BOS"
"47",40,23,"BOS"
"48",82,5,"BOS"
"49",31,-24,"BOS"
"50",15,-35,"BOS"
"51",76,-1,"BOS"
"52",36,27,"BOS"
"53",43,19,"BOS"
"54",43,-35,"BOS"
"55",82,-4,"BOS"
"56",80,-6,"BOS"
"57",85,-9,"BOS"
"58",55,15,"BOS"
"59",33,27,"BOS"
"60",81,-11,"BOS"
"61",63,2,"BOS"
"62",58,11,"BOS"
"63",61,17,"BOS"
"64",54,7,"BOS"
"65",38,10,"BOS"
"66",43,-11,"BOS"
"67",41,14,"BOS"
"68",42,29,"BOS"
"69",75,-2,"BOS"
"70",76,9,"BOS"
"71",38,-5,"BOS"
"72",48,20,"BOS"
"73",37,-19,"BOS"
"74",10,33,"BOS"
"75",50,-19,"BOS"
"76",34,1,"BOS"
"77",75,5,"BOS"
"78",10,5,"BOS"
"79",42,21,"BOS"
"80",51,32,"BOS"
"81",8,3,"BOS"
"82",76,3,"BOS"
"83",60,-4,"BOS"
"84",40,1,"BOS"
"85",68,9,"BOS"
"86",74,25,"BOS"
"87",51,29,"BOS"
"88",60,-27,"BOS"
"89",78,-2,"BOS"
"90",54,-36,"BOS"
"91",71,-7,"BOS"
"92",44,27,"BOS"
"93",67,35,"BOS"
"94",7,-24,"BOS"
"95",37,16,"BOS"
"96",70,-8,"BOS"
"97",52,1,"BOS"
"98",76,21,"BOS"
"99",56,4,"BOS"
"100",55,-19,"BOS"
"101",35,29,"BOS"
"102",13,10,"BOS"
"103",30,29,"BOS"
"104",82,-9,"BOS"
"105",60,30,"BOS"
"106",82,-6,"BOS"
"107",32,12,"BOS"
"108",34,-7,"BOS"
"109",64,30,"BOS"
"110",31,26,"BOS"
"111",66,26,"BOS"
"112",37,28,"BOS"
"113",78,-1,"BOS"
"114",63,-18,"BOS"
"115",32,26,"BOS"
"116",42,-28,"BOS"
"117",72,16,"BOS"
"118",75,5,"BOS"
"119",81,2,"BOS"
"120",32,30,"BOS"
"121",31,30,"BOS"
"122",70,3,"BOS"
"123",85,-8,"BOS"
"124",37,-19,"BOS"
"125",71,-10,"BOS"
"126",60,26,"BOS"
"127",37,30,"BOS"
"128",66,-3,"BOS"
"129",8,-29,"BOS"
"130",58,32,"BOS"
"131",66,-21,"BOS"
"132",64,0,"BOS"
"133",81,3,"BOS"
"134",80,31,"BOS"
"135",78,15,"BOS"
"136",76,2,"BOS"
"137",84,10,"BOS"
"138",4,29,"BOS"
"139",79,9,"BOS"
"140",74,16,"BOS"
"141",54,-31,"BOS"
"142",76,-5,"BOS"
"143",51,25,"BOS"
"144",87,8,"BOS"
"145",54,-26,"BOS"
"146",42,-30,"BOS"
"147",72,1,"BOS"
"148",65,-1,"BOS"
"149",64,8,"BOS"
"150",82,7,"BOS"
"151",5,41,"BOS"
"152",49,26,"BOS"
"153",79,0,"BOS"
"154",20,7,"BOS"
"155",50,-8,"BOS"
"156",38,-5,"BOS"
"157",23,35,"BOS"
"158",28,27,"BOS"
"159",79,-2,"BOS"
"160",53,-14,"BOS"
"161",55,15,"BOS"
"162",35,-2,"BOS"
"163",63,-14,"BOS"
"164",62,-31,"BOS"
"165",81,-7,"BOS"
"166",61,-21,"BOS"
"167",66,20,"BOS"
"168",51,31,"BOS"
"169",82,5,"BOS"
"170",45,31,"BOS"
"171",62,14,"BOS"
"172",76,1,"BOS"
"173",75,4,"BOS"
"174",68,31,"BOS"
"175",22,-13,"BOS"
"176",33,23,"BOS"
"177",78,7,"BOS"
"178",69,-19,"BOS"
"179",77,-40,"BOS"
"180",74,-5,"BOS"
"181",79,-2,"BOS"
"182",70,25,"BOS"
"183",36,-8,"BOS"
"184",64,-27,"BOS"
"185",87,22,"BOS"
"186",52,19,"BOS"
"187",76,-7,"BOS"
"188",86,-5,"BOS"
"189",82,-2,"BOS"
"190",52,7,"BOS"
"191",68,-26,"BOS"
"192",78,20,"BOS"
"193",63,-16,"BOS"
"194",70,32,"BOS"
"195",33,-32,"BOS"
"196",63,6,"BOS"
"197",60,-18,"BOS"
"198",64,27,"BOS"
"199",52,-21,"BOS"
"200",52,19,"BOS"
"201",56,22,"BOS"
"202",76,2,"BOS"
"203",71,-25,"BOS"
"204",56,30,"BOS"
"205",70,22,"BOS"
"206",64,22,"BOS"
"207",56,-5,"BOS"
"208",72,-11,"BOS"
"209",83,-10,"BOS"
"210",69,-33,"BOS"
"211",78,9,"BOS"
"212",33,-3,"BOS"
"213",82,-37,"BOS"
"214",63,-27,"BOS"
"215",45,17,"BOS"
"216",36,-26,"BOS"
"217",35,-21,"BOS"
"218",32,5,"BOS"
"219",67,-19,"BOS"
"220",46,-10,"BOS"
"221",60,-17,"BOS"
"222",37,23,"BOS"
"223",31,6,"BOS"
"224",67,3,"BOS"
"225",31,-14,"BOS"
"226",61,7,"BOS"
"227",42,10,"BOS"
"228",71,-1,"BOS"
"229",37,-2,"BOS"
"230",60,26,"BOS"
"231",63,-6,"BOS"
"232",75,-11,"BOS"
"233",85,38,"BOS"
"234",80,-9,"BOS"
"235",79,-1,"BOS"
"236",55,-28,"BOS"
"237",58,-38,"BOS"
"238",78,0,"BOS"
"239",62,4,"BOS"
"240",60,-12,"BOS"
"241",48,-7,"BOS"
"242",65,-10,"BOS"
"243",46,-19,"BOS"
"244",11,23,"BOS"
"245",28,27,"BOS"
"246",52,-12,"BOS"
"247",31,16,"BOS"
"248",40,16,"BOS"
"249",71,-22,"BOS"
"250",33,-14,"BOS"
"251",43,23,"BOS"
"252",68,0,"BOS"
"253",59,-13,"BOS"
"254",39,7,"BOS"
"255",55,-8,"BOS"
"256",77,-24,"BOS"
"257",89,10,"BOS"
