"","x_coord","y_coord_flip","team"
"1",67,11,"BUF"
"2",82,-9,"BUF"
"3",66,-14,"BUF"
"4",63,31,"BUF"
"5",78,2,"BUF"
"6",31,18,"BUF"
"7",73,4,"BUF"
"8",36,3,"BUF"
"9",82,1,"BUF"
"10",71,14,"BUF"
"11",79,-3,"BUF"
"12",82,3,"BUF"
"13",73,39,"BUF"
"14",82,-6,"BUF"
"15",80,10,"BUF"
"16",85,5,"BUF"
"17",55,38,"BUF"
"18",20,5,"BUF"
"19",73,-7,"BUF"
"20",70,1,"BUF"
"21",31,-3,"BUF"
"22",30,-27,"BUF"
"23",86,-3,"BUF"
"24",86,-12,"BUF"
"25",83,-3,"BUF"
"26",46,-7,"BUF"
"27",82,-4,"BUF"
"28",75,0,"BUF"
"29",69,8,"BUF"
"30",85,4,"BUF"
"31",64,27,"BUF"
"32",69,-1,"BUF"
"33",67,0,"BUF"
"34",54,-22,"BUF"
"35",72,-3,"BUF"
"36",82,-4,"BUF"
"37",78,1,"BUF"
"38",78,-1,"BUF"
"39",84,-5,"BUF"
"40",78,-3,"BUF"
"41",64,-1,"BUF"
"42",59,-23,"BUF"
"43",81,2,"BUF"
"44",79,-6,"BUF"
"45",81,-1,"BUF"
"46",79,1,"BUF"
"47",73,19,"BUF"
"48",77,1,"BUF"
"49",63,28,"BUF"
"50",64,-26,"BUF"
"51",73,4,"BUF"
"52",76,7,"BUF"
"53",84,1,"BUF"
"54",74,4,"BUF"
"55",83,-5,"BUF"
"56",64,-14,"BUF"
"57",84,-3,"BUF"
"58",64,-5,"BUF"
"59",65,2,"BUF"
"60",63,12,"BUF"
"61",80,-12,"BUF"
"62",84,-5,"BUF"
"63",73,11,"BUF"
"64",58,8,"BUF"
"65",55,-21,"BUF"
"66",42,-7,"BUF"
"67",67,16,"BUF"
"68",64,-24,"BUF"
"69",78,2,"BUF"
"70",81,-3,"BUF"
"71",79,1,"BUF"
"72",75,18,"BUF"
"73",60,-21,"BUF"
"74",85,-4,"BUF"
"75",71,16,"BUF"
"76",80,1,"BUF"
"77",74,-2,"BUF"
"78",68,-24,"BUF"
"79",80,4,"BUF"
"80",78,-3,"BUF"
"81",77,0,"BUF"
"82",81,4,"BUF"
"83",83,-6,"BUF"
"84",34,-31,"BUF"
"85",68,-5,"BUF"
"86",72,-1,"BUF"
"87",73,-22,"BUF"
"88",73,21,"BUF"
"89",71,1,"BUF"
"90",83,2,"BUF"
"91",79,5,"BUF"
"92",77,24,"BUF"
"93",70,-1,"BUF"
"94",53,-11,"BUF"
"95",78,3,"BUF"
"96",65,10,"BUF"
"97",66,27,"BUF"
"98",80,3,"BUF"
"99",78,-1,"BUF"
"100",57,8,"BUF"
"101",72,4,"BUF"
"102",57,-16,"BUF"
"103",80,-7,"BUF"
"104",74,15,"BUF"
"105",71,16,"BUF"
"106",80,6,"BUF"
"107",74,15,"BUF"
"108",63,-26,"BUF"
"109",79,-7,"BUF"
"110",20,-19,"BUF"
"111",79,5,"BUF"
"112",82,-8,"BUF"
"113",80,-8,"BUF"
"114",55,-18,"BUF"
"115",86,-7,"BUF"
"116",69,38,"BUF"
"117",59,18,"BUF"
"118",81,1,"BUF"
"119",77,4,"BUF"
"120",55,-23,"BUF"
"121",67,3,"BUF"
"122",63,-14,"BUF"
"123",73,3,"BUF"
"124",64,28,"BUF"
"125",60,-22,"BUF"
"126",69,17,"BUF"
"127",82,-21,"BUF"
"128",78,0,"BUF"
"129",69,13,"BUF"
"130",32,-3,"BUF"
"131",82,-1,"BUF"
"132",59,-2,"BUF"
"133",85,7,"BUF"
"134",47,2,"BUF"
"135",75,-8,"BUF"
