"","x_coord","y_coord_flip","team"
"1",69,-20,"BUF"
"2",46,-35,"BUF"
"3",77,1,"BUF"
"4",40,2,"BUF"
"5",32,-11,"BUF"
"6",35,14,"BUF"
"7",61,13,"BUF"
"8",73,3,"BUF"
"9",81,14,"BUF"
"10",32,-35,"BUF"
"11",36,3,"BUF"
"12",40,33,"BUF"
"13",80,33,"BUF"
"14",78,2,"BUF"
"15",80,3,"BUF"
"16",49,-7,"BUF"
"17",64,2,"BUF"
"18",47,27,"BUF"
"19",37,27,"BUF"
"20",52,1,"BUF"
"21",43,-21,"BUF"
"22",80,8,"BUF"
"23",74,-5,"BUF"
"24",85,-21,"BUF"
"25",37,33,"BUF"
"26",45,40,"BUF"
"27",36,36,"BUF"
"28",45,21,"BUF"
"29",67,7,"BUF"
"30",66,4,"BUF"
"31",66,-37,"BUF"
"32",32,-32,"BUF"
"33",79,0,"BUF"
"34",11,35,"BUF"
"35",35,-31,"BUF"
"36",60,-3,"BUF"
"37",74,6,"BUF"
"38",57,35,"BUF"
"39",65,-32,"BUF"
"40",80,22,"BUF"
"41",59,29,"BUF"
"42",69,-8,"BUF"
"43",63,15,"BUF"
"44",37,-12,"BUF"
"45",52,7,"BUF"
"46",75,5,"BUF"
"47",38,32,"BUF"
"48",47,31,"BUF"
"49",46,-32,"BUF"
"50",76,-2,"BUF"
"51",30,14,"BUF"
"52",40,-5,"BUF"
"53",36,-34,"BUF"
"54",45,35,"BUF"
"55",52,23,"BUF"
"56",63,-6,"BUF"
"57",42,1,"BUF"
"58",66,4,"BUF"
"59",62,-38,"BUF"
"60",35,-34,"BUF"
"61",54,35,"BUF"
"62",68,17,"BUF"
"63",36,-31,"BUF"
"64",76,-36,"BUF"
"65",55,36,"BUF"
"66",46,-31,"BUF"
"67",56,-14,"BUF"
"68",8,-39,"BUF"
"69",76,2,"BUF"
"70",54,33,"BUF"
"71",66,-21,"BUF"
"72",66,-14,"BUF"
"73",56,-34,"BUF"
"74",78,19,"BUF"
"75",78,-9,"BUF"
"76",46,-2,"BUF"
"77",44,-31,"BUF"
"78",35,12,"BUF"
"79",51,-29,"BUF"
"80",60,14,"BUF"
"81",79,-1,"BUF"
"82",79,1,"BUF"
"83",53,25,"BUF"
"84",85,-23,"BUF"
"85",49,36,"BUF"
"86",82,7,"BUF"
"87",34,16,"BUF"
"88",36,-33,"BUF"
"89",70,-5,"BUF"
"90",75,-34,"BUF"
"91",69,-1,"BUF"
"92",73,-3,"BUF"
"93",64,1,"BUF"
"94",73,-21,"BUF"
"95",78,-1,"BUF"
"96",78,7,"BUF"
"97",43,-31,"BUF"
"98",72,7,"BUF"
"99",41,-14,"BUF"
"100",72,-1,"BUF"
"101",49,-18,"BUF"
"102",48,24,"BUF"
"103",60,-35,"BUF"
"104",39,-27,"BUF"
"105",58,-32,"BUF"
"106",53,-15,"BUF"
"107",67,1,"BUF"
"108",43,-14,"BUF"
"109",85,-7,"BUF"
"110",68,-29,"BUF"
