"","x_coord","y_coord_flip","team"
"1",75,3,"CAR"
"2",49,-17,"CAR"
"3",77,0,"CAR"
"4",62,1,"CAR"
"5",85,-10,"CAR"
"6",81,-4,"CAR"
"7",74,-2,"CAR"
"8",43,25,"CAR"
"9",79,-7,"CAR"
"10",43,16,"CAR"
"11",84,5,"CAR"
"12",37,-37,"CAR"
"13",34,21,"CAR"
"14",33,1,"CAR"
"15",78,-3,"CAR"
"16",72,1,"CAR"
"17",66,21,"CAR"
"18",81,-1,"CAR"
"19",81,5,"CAR"
"20",70,7,"CAR"
"21",78,-12,"CAR"
"22",44,-3,"CAR"
"23",82,2,"CAR"
"24",75,-3,"CAR"
"25",51,4,"CAR"
"26",81,5,"CAR"
"27",32,1,"CAR"
"28",70,-8,"CAR"
"29",59,-3,"CAR"
"30",46,-16,"CAR"
"31",82,-9,"CAR"
"32",55,-12,"CAR"
"33",77,1,"CAR"
"34",66,1,"CAR"
"35",84,3,"CAR"
"36",49,1,"CAR"
"37",79,4,"CAR"
"38",77,-1,"CAR"
"39",67,36,"CAR"
"40",48,23,"CAR"
"41",83,7,"CAR"
"42",78,7,"CAR"
"43",66,-12,"CAR"
"44",78,3,"CAR"
"45",75,8,"CAR"
"46",70,1,"CAR"
"47",76,-3,"CAR"
"48",47,1,"CAR"
"49",79,0,"CAR"
"50",76,-8,"CAR"
"51",84,-3,"CAR"
"52",78,0,"CAR"
"53",82,-6,"CAR"
"54",74,-1,"CAR"
"55",82,-3,"CAR"
"56",54,27,"CAR"
"57",40,-22,"CAR"
"58",83,5,"CAR"
"59",77,-2,"CAR"
"60",64,1,"CAR"
"61",58,8,"CAR"
"62",67,0,"CAR"
"63",82,17,"CAR"
"64",75,0,"CAR"
"65",58,29,"CAR"
"66",58,25,"CAR"
"67",60,18,"CAR"
"68",78,-6,"CAR"
"69",59,-18,"CAR"
"70",81,4,"CAR"
"71",73,7,"CAR"
"72",76,-7,"CAR"
"73",78,0,"CAR"
"74",82,10,"CAR"
"75",55,14,"CAR"
"76",78,-5,"CAR"
"77",87,-7,"CAR"
"78",81,3,"CAR"
"79",53,26,"CAR"
"80",69,-1,"CAR"
"81",87,8,"CAR"
"82",82,-3,"CAR"
"83",79,9,"CAR"
"84",66,-6,"CAR"
"85",77,-8,"CAR"
"86",52,32,"CAR"
"87",93,24,"CAR"
"88",59,-10,"CAR"
"89",64,1,"CAR"
"90",37,12,"CAR"
"91",70,6,"CAR"
"92",76,-4,"CAR"
"93",43,-2,"CAR"
"94",63,-16,"CAR"
"95",54,5,"CAR"
"96",60,31,"CAR"
"97",61,25,"CAR"
"98",75,20,"CAR"
"99",83,8,"CAR"
"100",65,17,"CAR"
"101",60,-10,"CAR"
"102",43,-26,"CAR"
"103",60,-9,"CAR"
"104",85,0,"CAR"
"105",35,2,"CAR"
"106",79,-2,"CAR"
"107",58,32,"CAR"
"108",52,3,"CAR"
"109",51,28,"CAR"
"110",83,1,"CAR"
"111",82,4,"CAR"
"112",82,6,"CAR"
"113",63,-2,"CAR"
"114",68,9,"CAR"
"115",69,-38,"CAR"
"116",79,-11,"CAR"
"117",89,14,"CAR"
"118",90,9,"CAR"
"119",75,-3,"CAR"
"120",69,-3,"CAR"
"121",83,12,"CAR"
"122",72,-12,"CAR"
"123",78,4,"CAR"
"124",78,-1,"CAR"
"125",73,-2,"CAR"
"126",77,3,"CAR"
"127",73,9,"CAR"
"128",57,-3,"CAR"
"129",79,2,"CAR"
"130",78,-7,"CAR"
"131",78,-3,"CAR"
"132",83,3,"CAR"
"133",81,1,"CAR"
"134",79,1,"CAR"
"135",37,31,"CAR"
"136",74,-1,"CAR"
"137",75,-6,"CAR"
"138",67,8,"CAR"
"139",73,10,"CAR"
"140",77,-7,"CAR"
"141",47,28,"CAR"
"142",73,0,"CAR"
"143",58,9,"CAR"
"144",75,12,"CAR"
"145",85,12,"CAR"
"146",69,24,"CAR"
"147",82,-4,"CAR"
"148",76,12,"CAR"
"149",54,-8,"CAR"
"150",54,15,"CAR"
"151",47,16,"CAR"
"152",2,36,"CAR"
"153",78,-1,"CAR"
"154",73,-18,"CAR"
"155",77,-4,"CAR"
"156",82,5,"CAR"
"157",80,5,"CAR"
"158",78,1,"CAR"
"159",83,6,"CAR"
"160",67,0,"CAR"
"161",75,-22,"CAR"
"162",84,18,"CAR"
"163",41,7,"CAR"
"164",74,-7,"CAR"
"165",81,6,"CAR"
"166",60,-10,"CAR"
"167",79,4,"CAR"
"168",78,3,"CAR"
