"","x_coord","y_coord_flip","team"
"1",54,-21,"CAR"
"2",55,-23,"CAR"
"3",19,-34,"CAR"
"4",65,-17,"CAR"
"5",33,27,"CAR"
"6",73,-20,"CAR"
"7",37,-28,"CAR"
"8",69,-36,"CAR"
"9",81,33,"CAR"
"10",67,-3,"CAR"
"11",80,3,"CAR"
"12",87,-20,"CAR"
"13",78,6,"CAR"
"14",30,18,"CAR"
"15",37,31,"CAR"
"16",83,21,"CAR"
"17",81,5,"CAR"
"18",87,11,"CAR"
"19",65,15,"CAR"
"20",54,17,"CAR"
"21",85,-7,"CAR"
"22",75,-3,"CAR"
"23",62,-12,"CAR"
"24",42,7,"CAR"
"25",63,-19,"CAR"
"26",65,25,"CAR"
"27",53,38,"CAR"
"28",74,-4,"CAR"
"29",62,-37,"CAR"
"30",70,-4,"CAR"
"31",63,-21,"CAR"
"32",51,-10,"CAR"
"33",82,24,"CAR"
"34",60,28,"CAR"
"35",60,-2,"CAR"
"36",45,35,"CAR"
"37",66,40,"CAR"
"38",79,-14,"CAR"
"39",60,21,"CAR"
"40",55,0,"CAR"
"41",78,-36,"CAR"
"42",54,28,"CAR"
"43",55,-29,"CAR"
"44",73,13,"CAR"
"45",90,-8,"CAR"
"46",39,24,"CAR"
"47",84,-4,"CAR"
"48",82,-1,"CAR"
"49",39,23,"CAR"
"50",43,-8,"CAR"
"51",42,24,"CAR"
"52",81,-3,"CAR"
"53",67,11,"CAR"
"54",53,-18,"CAR"
"55",48,20,"CAR"
"56",54,-17,"CAR"
"57",61,-12,"CAR"
"58",78,2,"CAR"
"59",56,27,"CAR"
"60",53,26,"CAR"
"61",43,-24,"CAR"
"62",64,-15,"CAR"
"63",45,-20,"CAR"
"64",40,21,"CAR"
"65",42,27,"CAR"
"66",66,-8,"CAR"
"67",28,27,"CAR"
"68",45,-30,"CAR"
"69",48,16,"CAR"
"70",49,-23,"CAR"
"71",82,-5,"CAR"
"72",66,-5,"CAR"
"73",74,-1,"CAR"
"74",82,-1,"CAR"
"75",50,10,"CAR"
"76",45,-26,"CAR"
"77",70,1,"CAR"
"78",34,-11,"CAR"
"79",37,-6,"CAR"
"80",61,-33,"CAR"
"81",86,10,"CAR"
"82",49,16,"CAR"
"83",72,-1,"CAR"
"84",42,24,"CAR"
"85",48,16,"CAR"
"86",43,29,"CAR"
