"","x_coord","y_coord_flip","team"
"1",71,11,"CBJ"
"2",81,5,"CBJ"
"3",49,13,"CBJ"
"4",85,-3,"CBJ"
"5",68,5,"CBJ"
"6",81,1,"CBJ"
"7",58,6,"CBJ"
"8",52,-14,"CBJ"
"9",51,-33,"CBJ"
"10",59,5,"CBJ"
"11",69,-2,"CBJ"
"12",70,-23,"CBJ"
"13",65,-41,"CBJ"
"14",80,5,"CBJ"
"15",72,10,"CBJ"
"16",73,-16,"CBJ"
"17",76,0,"CBJ"
"18",80,-4,"CBJ"
"19",80,0,"CBJ"
"20",35,0,"CBJ"
"21",69,8,"CBJ"
"22",88,-10,"CBJ"
"23",49,-7,"CBJ"
"24",94,8,"CBJ"
"25",66,0,"CBJ"
"26",88,-6,"CBJ"
"27",72,1,"CBJ"
"28",42,-26,"CBJ"
"29",79,3,"CBJ"
"30",54,20,"CBJ"
"31",79,-5,"CBJ"
"32",54,-14,"CBJ"
"33",59,16,"CBJ"
"34",82,-4,"CBJ"
"35",57,19,"CBJ"
"36",58,10,"CBJ"
"37",77,-7,"CBJ"
"38",61,3,"CBJ"
"39",84,12,"CBJ"
"40",88,-4,"CBJ"
"41",75,2,"CBJ"
"42",81,-5,"CBJ"
"43",23,33,"CBJ"
"44",72,-1,"CBJ"
"45",61,-11,"CBJ"
"46",82,0,"CBJ"
"47",81,3,"CBJ"
"48",59,-24,"CBJ"
"49",65,25,"CBJ"
"50",48,1,"CBJ"
"51",67,14,"CBJ"
"52",88,-11,"CBJ"
"53",85,-5,"CBJ"
"54",42,-24,"CBJ"
"55",81,-1,"CBJ"
"56",58,7,"CBJ"
"57",84,-3,"CBJ"
"58",74,-7,"CBJ"
"59",66,16,"CBJ"
"60",85,-5,"CBJ"
"61",74,14,"CBJ"
"62",71,0,"CBJ"
"63",59,-13,"CBJ"
"64",81,3,"CBJ"
"65",77,-3,"CBJ"
"66",71,-9,"CBJ"
"67",2,-4,"CBJ"
"68",51,3,"CBJ"
"69",84,-22,"CBJ"
"70",44,3,"CBJ"
"71",47,19,"CBJ"
"72",73,-6,"CBJ"
"73",83,12,"CBJ"
"74",81,6,"CBJ"
"75",86,0,"CBJ"
"76",58,-2,"CBJ"
"77",87,-4,"CBJ"
"78",64,-5,"CBJ"
"79",55,-12,"CBJ"
"80",85,-3,"CBJ"
"81",75,8,"CBJ"
"82",54,7,"CBJ"
"83",31,23,"CBJ"
"84",43,23,"CBJ"
"85",85,5,"CBJ"
"86",71,34,"CBJ"
"87",76,6,"CBJ"
"88",78,-14,"CBJ"
"89",80,4,"CBJ"
"90",69,8,"CBJ"
"91",77,-1,"CBJ"
"92",51,-11,"CBJ"
"93",72,17,"CBJ"
"94",52,0,"CBJ"
"95",35,-25,"CBJ"
"96",64,-21,"CBJ"
"97",81,2,"CBJ"
"98",78,0,"CBJ"
"99",73,12,"CBJ"
"100",73,3,"CBJ"
"101",59,18,"CBJ"
"102",56,-6,"CBJ"
"103",31,-8,"CBJ"
"104",48,3,"CBJ"
"105",81,4,"CBJ"
"106",81,9,"CBJ"
"107",71,27,"CBJ"
"108",67,18,"CBJ"
"109",40,8,"CBJ"
"110",83,-1,"CBJ"
"111",83,-7,"CBJ"
"112",86,-2,"CBJ"
"113",50,-1,"CBJ"
"114",87,5,"CBJ"
"115",84,8,"CBJ"
"116",59,6,"CBJ"
"117",76,-8,"CBJ"
"118",72,-13,"CBJ"
"119",61,21,"CBJ"
"120",65,-8,"CBJ"
"121",54,25,"CBJ"
"122",52,-28,"CBJ"
"123",80,-6,"CBJ"
"124",52,-18,"CBJ"
"125",63,12,"CBJ"
"126",78,-10,"CBJ"
"127",79,-8,"CBJ"
"128",76,-12,"CBJ"
"129",76,-3,"CBJ"
"130",82,0,"CBJ"
"131",77,-36,"CBJ"
"132",55,5,"CBJ"
"133",63,9,"CBJ"
"134",72,0,"CBJ"
"135",83,-5,"CBJ"
"136",65,17,"CBJ"
"137",75,14,"CBJ"
"138",75,-1,"CBJ"
"139",63,-19,"CBJ"
"140",68,8,"CBJ"
"141",58,17,"CBJ"
"142",84,-4,"CBJ"
"143",63,-20,"CBJ"
"144",67,-4,"CBJ"
"145",76,-7,"CBJ"
"146",71,-1,"CBJ"
"147",66,-1,"CBJ"
"148",79,-6,"CBJ"
"149",67,-15,"CBJ"
"150",84,-8,"CBJ"
"151",81,3,"CBJ"
"152",70,3,"CBJ"
"153",73,0,"CBJ"
"154",51,23,"CBJ"
"155",82,-1,"CBJ"
"156",62,-20,"CBJ"
"157",84,2,"CBJ"
"158",82,3,"CBJ"
"159",81,-2,"CBJ"
"160",74,-5,"CBJ"
"161",67,15,"CBJ"
"162",77,-3,"CBJ"
"163",54,8,"CBJ"
"164",65,7,"CBJ"
"165",69,12,"CBJ"
"166",92,-6,"CBJ"
"167",85,4,"CBJ"
"168",80,8,"CBJ"
"169",84,-6,"CBJ"
"170",63,28,"CBJ"
"171",81,-4,"CBJ"
"172",68,-7,"CBJ"
"173",59,-30,"CBJ"
"174",43,-2,"CBJ"
"175",76,-25,"CBJ"
"176",85,-4,"CBJ"
"177",71,-5,"CBJ"
"178",85,-3,"CBJ"
"179",75,15,"CBJ"
"180",68,19,"CBJ"
"181",60,7,"CBJ"
"182",28,27,"CBJ"
