"","x_coord","y_coord_flip","team"
"1",83,32,"CBJ"
"2",38,-21,"CBJ"
"3",3,11,"CBJ"
"4",84,-3,"CBJ"
"5",79,12,"CBJ"
"6",79,-4,"CBJ"
"7",32,19,"CBJ"
"8",47,-17,"CBJ"
"9",44,17,"CBJ"
"10",47,17,"CBJ"
"11",55,-30,"CBJ"
"12",49,18,"CBJ"
"13",47,28,"CBJ"
"14",72,-7,"CBJ"
"15",84,-16,"CBJ"
"16",79,-34,"CBJ"
"17",73,1,"CBJ"
"18",83,-26,"CBJ"
"19",38,-22,"CBJ"
"20",48,-25,"CBJ"
"21",53,13,"CBJ"
"22",82,3,"CBJ"
"23",45,27,"CBJ"
"24",41,-17,"CBJ"
"25",37,16,"CBJ"
"26",82,2,"CBJ"
"27",75,1,"CBJ"
"28",84,3,"CBJ"
"29",78,2,"CBJ"
"30",75,-8,"CBJ"
"31",85,8,"CBJ"
"32",77,23,"CBJ"
"33",44,-23,"CBJ"
"34",40,-28,"CBJ"
"35",67,-16,"CBJ"
"36",70,-1,"CBJ"
"37",44,8,"CBJ"
"38",83,5,"CBJ"
"39",41,-16,"CBJ"
"40",36,13,"CBJ"
"41",37,-6,"CBJ"
"42",84,-2,"CBJ"
"43",36,-15,"CBJ"
"44",65,-20,"CBJ"
"45",79,-11,"CBJ"
"46",74,-3,"CBJ"
"47",23,26,"CBJ"
"48",64,30,"CBJ"
"49",52,13,"CBJ"
"50",61,4,"CBJ"
"51",57,-2,"CBJ"
"52",84,2,"CBJ"
"53",76,-4,"CBJ"
"54",75,1,"CBJ"
"55",42,-6,"CBJ"
"56",58,-21,"CBJ"
"57",57,-5,"CBJ"
"58",50,-18,"CBJ"
"59",34,22,"CBJ"
"60",61,-27,"CBJ"
"61",60,-2,"CBJ"
"62",85,5,"CBJ"
"63",39,29,"CBJ"
"64",26,3,"CBJ"
"65",45,-14,"CBJ"
"66",77,0,"CBJ"
"67",55,24,"CBJ"
"68",40,23,"CBJ"
"69",43,-25,"CBJ"
"70",83,2,"CBJ"
"71",87,8,"CBJ"
"72",41,-13,"CBJ"
"73",38,-2,"CBJ"
"74",50,-11,"CBJ"
"75",47,3,"CBJ"
"76",81,-9,"CBJ"
"77",85,6,"CBJ"
"78",39,-18,"CBJ"
"79",68,15,"CBJ"
"80",85,6,"CBJ"
"81",87,7,"CBJ"
"82",41,21,"CBJ"
"83",45,8,"CBJ"
"84",37,-16,"CBJ"
"85",92,16,"CBJ"
"86",67,-18,"CBJ"
"87",51,7,"CBJ"
"88",65,-24,"CBJ"
"89",69,-12,"CBJ"
"90",56,-25,"CBJ"
"91",45,0,"CBJ"
"92",49,10,"CBJ"
"93",45,-23,"CBJ"
"94",76,23,"CBJ"
"95",79,0,"CBJ"
"96",47,10,"CBJ"
"97",49,-17,"CBJ"
"98",81,3,"CBJ"
"99",50,-38,"CBJ"
"100",39,-5,"CBJ"
"101",36,33,"CBJ"
"102",60,20,"CBJ"
"103",46,-1,"CBJ"
"104",97,-5,"CBJ"
"105",77,-3,"CBJ"
"106",70,12,"CBJ"
"107",58,-17,"CBJ"
"108",56,17,"CBJ"
"109",84,7,"CBJ"
"110",60,26,"CBJ"
"111",84,15,"CBJ"
"112",75,1,"CBJ"
"113",60,-28,"CBJ"
"114",81,1,"CBJ"
"115",62,-27,"CBJ"
"116",22,-21,"CBJ"
"117",75,-12,"CBJ"
