"","x_coord","y_coord_flip","team"
"1",67,-32,"CGY"
"2",81,-3,"CGY"
"3",82,6,"CGY"
"4",66,-20,"CGY"
"5",83,7,"CGY"
"6",76,-6,"CGY"
"7",67,18,"CGY"
"8",80,15,"CGY"
"9",73,25,"CGY"
"10",70,-8,"CGY"
"11",86,6,"CGY"
"12",80,16,"CGY"
"13",76,-3,"CGY"
"14",59,-13,"CGY"
"15",80,-3,"CGY"
"16",76,-1,"CGY"
"17",76,-10,"CGY"
"18",78,3,"CGY"
"19",70,15,"CGY"
"20",84,11,"CGY"
"21",38,-28,"CGY"
"22",75,-4,"CGY"
"23",5,32,"CGY"
"24",30,-38,"CGY"
"25",82,-1,"CGY"
"26",83,3,"CGY"
"27",76,6,"CGY"
"28",84,3,"CGY"
"29",79,0,"CGY"
"30",70,5,"CGY"
"31",81,-5,"CGY"
"32",78,4,"CGY"
"33",71,10,"CGY"
"34",81,0,"CGY"
"35",63,23,"CGY"
"36",85,2,"CGY"
"37",79,-1,"CGY"
"38",78,-1,"CGY"
"39",65,-1,"CGY"
"40",20,-19,"CGY"
"41",74,1,"CGY"
"42",80,-5,"CGY"
"43",78,-4,"CGY"
"44",51,21,"CGY"
"45",82,-3,"CGY"
"46",70,9,"CGY"
"47",65,-8,"CGY"
"48",65,4,"CGY"
"49",74,1,"CGY"
"50",62,20,"CGY"
"51",69,-10,"CGY"
"52",97,-14,"CGY"
"53",17,32,"CGY"
"54",53,31,"CGY"
"55",61,8,"CGY"
"56",56,16,"CGY"
"57",75,11,"CGY"
"58",78,16,"CGY"
"59",54,-6,"CGY"
"60",84,-5,"CGY"
"61",43,31,"CGY"
"62",70,8,"CGY"
"63",63,0,"CGY"
"64",66,17,"CGY"
"65",34,21,"CGY"
"66",85,8,"CGY"
"67",60,15,"CGY"
"68",82,7,"CGY"
"69",81,-1,"CGY"
"70",65,-4,"CGY"
"71",39,-14,"CGY"
"72",82,-3,"CGY"
"73",70,-14,"CGY"
"74",59,22,"CGY"
"75",74,17,"CGY"
"76",83,29,"CGY"
"77",83,14,"CGY"
"78",86,-6,"CGY"
"79",0,0,"CGY"
"80",80,1,"CGY"
"81",64,22,"CGY"
"82",64,-9,"CGY"
"83",48,-8,"CGY"
"84",56,-23,"CGY"
"85",69,-13,"CGY"
"86",72,0,"CGY"
"87",71,-25,"CGY"
"88",82,-3,"CGY"
"89",65,25,"CGY"
"90",43,4,"CGY"
"91",72,1,"CGY"
"92",76,6,"CGY"
"93",58,-1,"CGY"
"94",84,0,"CGY"
"95",83,-3,"CGY"
"96",79,-10,"CGY"
"97",75,3,"CGY"
"98",60,10,"CGY"
"99",78,8,"CGY"
"100",51,24,"CGY"
"101",63,14,"CGY"
"102",58,0,"CGY"
"103",81,-1,"CGY"
"104",77,-1,"CGY"
"105",85,4,"CGY"
"106",69,-12,"CGY"
"107",80,-7,"CGY"
"108",54,-4,"CGY"
"109",58,4,"CGY"
"110",38,-1,"CGY"
"111",73,-1,"CGY"
"112",76,4,"CGY"
"113",77,-2,"CGY"
"114",76,8,"CGY"
"115",79,5,"CGY"
"116",56,-2,"CGY"
"117",33,-3,"CGY"
"118",74,-13,"CGY"
"119",82,-12,"CGY"
"120",19,11,"CGY"
"121",74,27,"CGY"
"122",87,-4,"CGY"
"123",69,-1,"CGY"
"124",72,-1,"CGY"
"125",74,3,"CGY"
"126",68,-1,"CGY"
"127",82,-3,"CGY"
"128",71,-17,"CGY"
"129",81,-5,"CGY"
"130",61,-3,"CGY"
"131",4,-22,"CGY"
"132",79,3,"CGY"
