"","x_coord","y_coord_flip","team"
"1",39,-20,"CGY"
"2",86,27,"CGY"
"3",75,-35,"CGY"
"4",77,8,"CGY"
"5",76,-2,"CGY"
"6",68,-12,"CGY"
"7",32,3,"CGY"
"8",79,2,"CGY"
"9",75,-1,"CGY"
"10",57,-31,"CGY"
"11",60,-25,"CGY"
"12",51,-6,"CGY"
"13",38,-38,"CGY"
"14",67,13,"CGY"
"15",39,-10,"CGY"
"16",87,6,"CGY"
"17",85,-36,"CGY"
"18",84,6,"CGY"
"19",71,19,"CGY"
"20",84,8,"CGY"
"21",56,8,"CGY"
"22",81,-9,"CGY"
"23",36,-20,"CGY"
"24",57,18,"CGY"
"25",81,-16,"CGY"
"26",47,28,"CGY"
"27",73,8,"CGY"
"28",77,2,"CGY"
"29",81,-7,"CGY"
"30",40,-23,"CGY"
"31",83,-5,"CGY"
"32",40,2,"CGY"
"33",33,5,"CGY"
"34",60,17,"CGY"
"35",51,-27,"CGY"
"36",11,31,"CGY"
"37",60,-21,"CGY"
"38",82,-12,"CGY"
"39",67,1,"CGY"
"40",72,0,"CGY"
"41",83,10,"CGY"
"42",49,19,"CGY"
"43",44,4,"CGY"
"44",55,-31,"CGY"
"45",76,18,"CGY"
"46",78,-15,"CGY"
"47",80,16,"CGY"
"48",57,5,"CGY"
"49",60,1,"CGY"
"50",82,-12,"CGY"
"51",77,12,"CGY"
"52",78,-5,"CGY"
"53",72,2,"CGY"
"54",79,-1,"CGY"
"55",74,8,"CGY"
"56",40,13,"CGY"
"57",59,-20,"CGY"
"58",73,2,"CGY"
"59",77,-2,"CGY"
"60",46,-37,"CGY"
"61",94,7,"CGY"
"62",82,-24,"CGY"
"63",77,-7,"CGY"
"64",75,5,"CGY"
"65",44,-1,"CGY"
"66",62,-3,"CGY"
"67",75,12,"CGY"
"68",57,33,"CGY"
"69",84,29,"CGY"
"70",84,0,"CGY"
"71",35,-19,"CGY"
"72",55,-14,"CGY"
"73",49,-37,"CGY"
"74",40,12,"CGY"
"75",43,17,"CGY"
"76",34,17,"CGY"
"77",62,1,"CGY"
"78",44,1,"CGY"
"79",76,35,"CGY"
"80",38,-17,"CGY"
"81",84,-8,"CGY"
"82",53,23,"CGY"
"83",80,1,"CGY"
"84",82,7,"CGY"
"85",84,-8,"CGY"
"86",84,-5,"CGY"
"87",53,5,"CGY"
"88",19,27,"CGY"
