"","x_coord","y_coord_flip","team"
"1",35,1,"CHI"
"2",45,22,"CHI"
"3",60,-1,"CHI"
"4",83,-15,"CHI"
"5",75,-8,"CHI"
"6",58,4,"CHI"
"7",74,-2,"CHI"
"8",77,8,"CHI"
"9",63,3,"CHI"
"10",76,0,"CHI"
"11",80,-9,"CHI"
"12",83,8,"CHI"
"13",36,-14,"CHI"
"14",74,28,"CHI"
"15",57,30,"CHI"
"16",80,-9,"CHI"
"17",84,11,"CHI"
"18",61,0,"CHI"
"19",82,-7,"CHI"
"20",80,7,"CHI"
"21",58,1,"CHI"
"22",86,7,"CHI"
"23",73,8,"CHI"
"24",58,-8,"CHI"
"25",55,24,"CHI"
"26",72,20,"CHI"
"27",71,-5,"CHI"
"28",76,-3,"CHI"
"29",65,-4,"CHI"
"30",79,-22,"CHI"
"31",81,-1,"CHI"
"32",69,20,"CHI"
"33",4,18,"CHI"
"34",79,3,"CHI"
"35",81,1,"CHI"
"36",83,4,"CHI"
"37",19,-28,"CHI"
"38",53,-1,"CHI"
"39",53,-9,"CHI"
"40",78,8,"CHI"
"41",63,-10,"CHI"
"42",74,1,"CHI"
"43",68,-11,"CHI"
"44",82,2,"CHI"
"45",38,-7,"CHI"
"46",81,1,"CHI"
"47",82,4,"CHI"
"48",83,-1,"CHI"
"49",66,-6,"CHI"
"50",83,-4,"CHI"
"51",63,7,"CHI"
"52",80,-5,"CHI"
"53",79,0,"CHI"
"54",81,-5,"CHI"
"55",82,4,"CHI"
"56",85,3,"CHI"
"57",73,18,"CHI"
"58",78,-1,"CHI"
"59",74,-1,"CHI"
"60",77,2,"CHI"
"61",80,-4,"CHI"
"62",76,8,"CHI"
"63",82,-3,"CHI"
"64",78,2,"CHI"
"65",25,-16,"CHI"
"66",30,14,"CHI"
"67",78,3,"CHI"
"68",58,-1,"CHI"
"69",82,4,"CHI"
"70",84,-1,"CHI"
"71",52,7,"CHI"
"72",82,1,"CHI"
"73",83,8,"CHI"
"74",84,-1,"CHI"
"75",68,-2,"CHI"
"76",78,-1,"CHI"
"77",78,5,"CHI"
"78",62,-18,"CHI"
"79",79,5,"CHI"
"80",87,-7,"CHI"
"81",81,-32,"CHI"
"82",77,8,"CHI"
"83",62,5,"CHI"
"84",66,22,"CHI"
"85",81,-15,"CHI"
"86",71,4,"CHI"
"87",62,-38,"CHI"
"88",63,-34,"CHI"
"89",41,11,"CHI"
"90",75,2,"CHI"
"91",79,-1,"CHI"
"92",55,17,"CHI"
"93",16,-31,"CHI"
"94",62,-3,"CHI"
"95",70,19,"CHI"
"96",37,4,"CHI"
"97",60,-2,"CHI"
"98",69,1,"CHI"
"99",78,6,"CHI"
"100",53,-19,"CHI"
"101",39,4,"CHI"
"102",51,2,"CHI"
"103",52,21,"CHI"
"104",81,11,"CHI"
"105",59,37,"CHI"
"106",74,14,"CHI"
"107",81,-15,"CHI"
"108",82,0,"CHI"
"109",72,14,"CHI"
"110",79,-14,"CHI"
"111",80,-5,"CHI"
"112",76,23,"CHI"
"113",72,-8,"CHI"
"114",63,31,"CHI"
"115",63,5,"CHI"
"116",22,34,"CHI"
"117",68,-14,"CHI"
"118",56,16,"CHI"
"119",74,5,"CHI"
"120",68,0,"CHI"
"121",70,1,"CHI"
"122",73,-3,"CHI"
"123",48,-17,"CHI"
"124",76,9,"CHI"
"125",66,5,"CHI"
"126",52,23,"CHI"
"127",79,5,"CHI"
"128",22,16,"CHI"
"129",84,14,"CHI"
"130",79,-16,"CHI"
"131",79,-17,"CHI"
"132",77,-16,"CHI"
"133",64,-7,"CHI"
"134",72,8,"CHI"
"135",79,-8,"CHI"
"136",73,17,"CHI"
"137",78,-16,"CHI"
"138",68,19,"CHI"
"139",76,-32,"CHI"
"140",65,2,"CHI"
"141",55,-20,"CHI"
"142",70,14,"CHI"
"143",86,13,"CHI"
"144",58,-19,"CHI"
"145",59,0,"CHI"
"146",73,-7,"CHI"
"147",53,-12,"CHI"
"148",77,5,"CHI"
"149",72,-15,"CHI"
"150",65,22,"CHI"
"151",71,16,"CHI"
"152",73,-12,"CHI"
"153",38,5,"CHI"
"154",82,6,"CHI"
"155",82,3,"CHI"
"156",84,7,"CHI"
"157",78,-3,"CHI"
"158",77,-2,"CHI"
"159",61,9,"CHI"
"160",82,3,"CHI"
"161",64,-15,"CHI"
"162",46,-1,"CHI"
"163",34,-26,"CHI"
"164",69,11,"CHI"
"165",49,-8,"CHI"
"166",29,-12,"CHI"
"167",83,-8,"CHI"
"168",45,0,"CHI"
"169",36,26,"CHI"
"170",78,5,"CHI"
"171",56,-32,"CHI"
"172",81,7,"CHI"
"173",71,5,"CHI"
"174",85,5,"CHI"
"175",67,-16,"CHI"
"176",82,-8,"CHI"
"177",75,-7,"CHI"
"178",80,4,"CHI"
"179",81,9,"CHI"
"180",82,-5,"CHI"
"181",79,4,"CHI"
"182",74,-9,"CHI"
"183",21,13,"CHI"
"184",50,-33,"CHI"
"185",44,31,"CHI"
"186",57,-28,"CHI"
"187",49,0,"CHI"
"188",64,17,"CHI"
"189",76,19,"CHI"
"190",76,3,"CHI"
"191",79,0,"CHI"
"192",68,15,"CHI"
"193",84,4,"CHI"
"194",82,-7,"CHI"
"195",81,8,"CHI"
"196",73,-17,"CHI"
"197",85,-8,"CHI"
"198",78,-7,"CHI"
"199",76,-11,"CHI"
"200",45,20,"CHI"
"201",77,11,"CHI"
"202",87,-10,"CHI"
"203",65,10,"CHI"
"204",66,10,"CHI"
"205",67,17,"CHI"
"206",82,21,"CHI"
"207",80,-8,"CHI"
"208",82,16,"CHI"
"209",80,-7,"CHI"
"210",54,-1,"CHI"
"211",84,7,"CHI"
"212",51,22,"CHI"
"213",58,18,"CHI"
"214",76,14,"CHI"
"215",79,14,"CHI"
"216",66,-3,"CHI"
"217",46,9,"CHI"
"218",73,-6,"CHI"
"219",42,7,"CHI"
"220",72,10,"CHI"
"221",42,0,"CHI"
"222",79,-5,"CHI"
"223",79,-2,"CHI"
"224",87,-4,"CHI"
"225",77,-4,"CHI"
"226",82,3,"CHI"
"227",76,-5,"CHI"
"228",81,-5,"CHI"
"229",80,11,"CHI"
"230",68,0,"CHI"
"231",77,-5,"CHI"
"232",79,-1,"CHI"
"233",63,-2,"CHI"
"234",75,-5,"CHI"
"235",82,10,"CHI"
"236",72,1,"CHI"
"237",79,-5,"CHI"
"238",36,-32,"CHI"
"239",48,-4,"CHI"
"240",71,0,"CHI"
"241",81,6,"CHI"
"242",75,6,"CHI"
"243",71,5,"CHI"
"244",67,-12,"CHI"
"245",73,1,"CHI"
"246",32,5,"CHI"
"247",68,10,"CHI"
"248",83,-4,"CHI"
"249",29,6,"CHI"
"250",70,-4,"CHI"
"251",79,-14,"CHI"
"252",80,3,"CHI"
"253",38,-4,"CHI"
"254",86,7,"CHI"
"255",56,-1,"CHI"
"256",79,-4,"CHI"
"257",84,-4,"CHI"
"258",35,0,"CHI"
"259",58,-14,"CHI"
"260",80,1,"CHI"
"261",70,3,"CHI"
"262",81,-3,"CHI"
"263",84,1,"CHI"
"264",81,0,"CHI"
"265",81,-2,"CHI"
"266",55,17,"CHI"
"267",84,6,"CHI"
"268",85,9,"CHI"
"269",82,-11,"CHI"
"270",78,-17,"CHI"
"271",80,5,"CHI"
"272",55,10,"CHI"
"273",53,-14,"CHI"
