"","x_coord","y_coord_flip","team"
"1",67,-25,"CHI"
"2",78,-36,"CHI"
"3",71,-14,"CHI"
"4",51,-1,"CHI"
"5",43,-27,"CHI"
"6",77,-3,"CHI"
"7",30,23,"CHI"
"8",54,39,"CHI"
"9",37,-23,"CHI"
"10",47,20,"CHI"
"11",52,17,"CHI"
"12",44,25,"CHI"
"13",40,27,"CHI"
"14",32,25,"CHI"
"15",44,16,"CHI"
"16",45,14,"CHI"
"17",39,-16,"CHI"
"18",67,1,"CHI"
"19",84,-7,"CHI"
"20",34,-18,"CHI"
"21",84,10,"CHI"
"22",60,1,"CHI"
"23",42,12,"CHI"
"24",37,31,"CHI"
"25",74,-19,"CHI"
"26",42,33,"CHI"
"27",42,13,"CHI"
"28",73,-3,"CHI"
"29",34,27,"CHI"
"30",46,30,"CHI"
"31",33,-4,"CHI"
"32",75,21,"CHI"
"33",55,-18,"CHI"
"34",57,-32,"CHI"
"35",86,-5,"CHI"
"36",47,2,"CHI"
"37",53,-31,"CHI"
"38",4,-24,"CHI"
"39",68,-27,"CHI"
"40",57,0,"CHI"
"41",58,18,"CHI"
"42",84,25,"CHI"
"43",72,-13,"CHI"
"44",69,-3,"CHI"
"45",37,-2,"CHI"
"46",39,-2,"CHI"
"47",63,-1,"CHI"
"48",66,-27,"CHI"
"49",69,20,"CHI"
"50",53,26,"CHI"
"51",73,-5,"CHI"
"52",66,18,"CHI"
"53",79,-17,"CHI"
"54",67,5,"CHI"
"55",67,-9,"CHI"
"56",78,23,"CHI"
"57",15,-36,"CHI"
"58",79,5,"CHI"
"59",60,12,"CHI"
"60",77,-1,"CHI"
"61",77,20,"CHI"
"62",60,26,"CHI"
"63",64,15,"CHI"
"64",59,27,"CHI"
"65",76,11,"CHI"
"66",38,-30,"CHI"
"67",82,-8,"CHI"
"68",81,4,"CHI"
"69",59,-13,"CHI"
"70",60,-26,"CHI"
"71",82,-21,"CHI"
"72",44,-3,"CHI"
"73",34,28,"CHI"
"74",69,29,"CHI"
"75",54,36,"CHI"
"76",69,-16,"CHI"
"77",85,-27,"CHI"
"78",37,31,"CHI"
"79",78,-19,"CHI"
"80",34,-31,"CHI"
"81",37,-35,"CHI"
"82",76,-6,"CHI"
"83",84,6,"CHI"
"84",80,27,"CHI"
"85",35,19,"CHI"
"86",77,11,"CHI"
"87",80,19,"CHI"
"88",55,22,"CHI"
"89",61,18,"CHI"
"90",38,-8,"CHI"
"91",84,26,"CHI"
"92",60,20,"CHI"
"93",82,4,"CHI"
"94",83,28,"CHI"
"95",39,-33,"CHI"
"96",10,3,"CHI"
"97",35,33,"CHI"
"98",63,32,"CHI"
"99",33,-17,"CHI"
"100",41,0,"CHI"
"101",56,0,"CHI"
"102",36,-28,"CHI"
"103",67,-34,"CHI"
"104",37,-31,"CHI"
"105",61,-20,"CHI"
"106",36,0,"CHI"
"107",78,9,"CHI"
"108",36,0,"CHI"
"109",51,-12,"CHI"
"110",59,23,"CHI"
"111",35,-24,"CHI"
"112",61,-28,"CHI"
"113",70,1,"CHI"
"114",64,-1,"CHI"
"115",53,27,"CHI"
"116",74,4,"CHI"
"117",60,15,"CHI"
"118",23,32,"CHI"
"119",84,-8,"CHI"
"120",88,7,"CHI"
"121",53,-36,"CHI"
"122",37,15,"CHI"
"123",61,-20,"CHI"
"124",82,-10,"CHI"
"125",66,-20,"CHI"
"126",63,23,"CHI"
"127",80,7,"CHI"
"128",59,13,"CHI"
"129",60,17,"CHI"
