"","x_coord","y_coord_flip","team"
"1",67,-5,"COL"
"2",87,5,"COL"
"3",49,25,"COL"
"4",75,-1,"COL"
"5",72,5,"COL"
"6",68,-19,"COL"
"7",82,-2,"COL"
"8",70,8,"COL"
"9",92,26,"COL"
"10",48,4,"COL"
"11",45,5,"COL"
"12",74,3,"COL"
"13",77,1,"COL"
"14",70,5,"COL"
"15",68,10,"COL"
"16",69,-6,"COL"
"17",70,-2,"COL"
"18",79,-6,"COL"
"19",76,4,"COL"
"20",82,0,"COL"
"21",83,1,"COL"
"22",68,0,"COL"
"23",85,-7,"COL"
"24",82,-9,"COL"
"25",31,16,"COL"
"26",57,12,"COL"
"27",66,-7,"COL"
"28",78,-8,"COL"
"29",83,-10,"COL"
"30",77,9,"COL"
"31",83,7,"COL"
"32",61,-6,"COL"
"33",78,2,"COL"
"34",48,-32,"COL"
"35",76,-1,"COL"
"36",63,32,"COL"
"37",88,-8,"COL"
"38",80,-7,"COL"
"39",65,-10,"COL"
"40",77,7,"COL"
"41",42,38,"COL"
"42",77,0,"COL"
"43",69,-28,"COL"
"44",78,13,"COL"
"45",75,13,"COL"
"46",71,5,"COL"
"47",81,-1,"COL"
"48",76,-2,"COL"
"49",35,-20,"COL"
"50",66,2,"COL"
"51",74,0,"COL"
"52",47,23,"COL"
"53",69,-12,"COL"
"54",64,-8,"COL"
"55",81,10,"COL"
"56",69,-3,"COL"
"57",82,-2,"COL"
"58",47,16,"COL"
"59",87,-5,"COL"
"60",71,-1,"COL"
"61",60,11,"COL"
"62",52,21,"COL"
"63",82,-5,"COL"
"64",79,29,"COL"
"65",86,-3,"COL"
"66",78,6,"COL"
"67",70,-1,"COL"
"68",80,4,"COL"
"69",81,1,"COL"
"70",77,7,"COL"
"71",79,-2,"COL"
"72",48,-7,"COL"
"73",82,-6,"COL"
"74",78,4,"COL"
"75",33,3,"COL"
"76",75,0,"COL"
"77",67,17,"COL"
"78",57,-1,"COL"
"79",64,-1,"COL"
"80",57,-20,"COL"
"81",68,-8,"COL"
"82",63,2,"COL"
"83",59,-19,"COL"
"84",81,-2,"COL"
"85",75,-6,"COL"
"86",78,-6,"COL"
"87",78,9,"COL"
"88",73,27,"COL"
"89",81,-18,"COL"
"90",56,-13,"COL"
"91",52,-3,"COL"
"92",46,23,"COL"
"93",72,-6,"COL"
"94",51,-8,"COL"
"95",52,-12,"COL"
