"","x_coord","y_coord_flip","team"
"1",67,3,"COL"
"2",55,4,"COL"
"3",70,3,"COL"
"4",88,4,"COL"
"5",35,-7,"COL"
"6",64,-37,"COL"
"7",37,32,"COL"
"8",32,14,"COL"
"9",40,32,"COL"
"10",41,7,"COL"
"11",84,22,"COL"
"12",84,4,"COL"
"13",32,15,"COL"
"14",68,-20,"COL"
"15",9,5,"COL"
"16",72,-17,"COL"
"17",73,-24,"COL"
"18",68,0,"COL"
"19",54,-22,"COL"
"20",61,-18,"COL"
"21",60,-2,"COL"
"22",84,-6,"COL"
"23",37,-32,"COL"
"24",52,13,"COL"
"25",60,30,"COL"
"26",36,-2,"COL"
"27",58,-21,"COL"
"28",34,10,"COL"
"29",81,-1,"COL"
"30",84,-1,"COL"
"31",79,20,"COL"
"32",45,4,"COL"
"33",69,-20,"COL"
"34",78,21,"COL"
"35",62,-13,"COL"
"36",46,-20,"COL"
"37",33,35,"COL"
"38",75,11,"COL"
"39",50,-35,"COL"
"40",82,5,"COL"
"41",40,29,"COL"
"42",57,-1,"COL"
"43",39,16,"COL"
"44",83,7,"COL"
"45",80,16,"COL"
"46",89,31,"COL"
"47",32,-17,"COL"
"48",30,-22,"COL"
"49",54,-18,"COL"
"50",63,21,"COL"
"51",50,-21,"COL"
"52",66,-35,"COL"
"53",86,-9,"COL"
"54",78,-11,"COL"
"55",81,-5,"COL"
"56",82,-5,"COL"
"57",84,-1,"COL"
"58",76,12,"COL"
"59",73,-4,"COL"
"60",77,10,"COL"
"61",56,-11,"COL"
"62",59,-28,"COL"
"63",57,15,"COL"
"64",57,4,"COL"
"65",37,-1,"COL"
"66",19,-40,"COL"
"67",84,25,"COL"
"68",58,3,"COL"
"69",49,-35,"COL"
"70",53,3,"COL"
"71",67,-2,"COL"
"72",43,-22,"COL"
"73",70,20,"COL"
"74",46,22,"COL"
"75",59,24,"COL"
"76",81,-10,"COL"
"77",78,-13,"COL"
"78",54,23,"COL"
"79",49,-15,"COL"
"80",57,-14,"COL"
"81",63,9,"COL"
"82",45,-27,"COL"
"83",60,10,"COL"
"84",58,20,"COL"
"85",87,-5,"COL"
"86",74,0,"COL"
"87",68,-22,"COL"
"88",65,5,"COL"
"89",62,-28,"COL"
"90",76,31,"COL"
"91",38,30,"COL"
"92",34,29,"COL"
"93",46,21,"COL"
"94",61,18,"COL"
"95",63,-33,"COL"
"96",66,-12,"COL"
"97",59,-3,"COL"
"98",36,3,"COL"
"99",78,0,"COL"
"100",85,13,"COL"
"101",46,30,"COL"
"102",78,-3,"COL"
"103",33,35,"COL"
"104",76,-4,"COL"
"105",60,-28,"COL"
"106",54,27,"COL"
"107",78,0,"COL"
"108",48,-24,"COL"
"109",79,-1,"COL"
"110",83,-7,"COL"
"111",19,-30,"COL"
"112",78,-3,"COL"
"113",52,27,"COL"
"114",59,28,"COL"
"115",76,-16,"COL"
"116",55,-1,"COL"
"117",42,17,"COL"
"118",77,-1,"COL"
"119",77,-23,"COL"
"120",35,-9,"COL"
"121",46,-22,"COL"
"122",48,-3,"COL"
"123",83,5,"COL"
"124",79,8,"COL"
"125",74,0,"COL"
"126",37,-4,"COL"
"127",42,20,"COL"
"128",67,6,"COL"
"129",59,-25,"COL"
"130",91,5,"COL"
"131",82,16,"COL"
"132",34,20,"COL"
"133",77,-5,"COL"
"134",73,-5,"COL"
"135",53,-20,"COL"
"136",59,-14,"COL"
"137",16,16,"COL"
"138",61,-39,"COL"
"139",21,19,"COL"
"140",42,-1,"COL"
"141",75,-15,"COL"
"142",35,33,"COL"
"143",81,0,"COL"
"144",61,-13,"COL"
"145",63,15,"COL"
"146",79,21,"COL"
"147",62,-27,"COL"
"148",82,-7,"COL"
"149",79,-2,"COL"
"150",63,10,"COL"
"151",73,-2,"COL"
"152",41,-21,"COL"
"153",69,-13,"COL"
"154",69,-3,"COL"
"155",83,-10,"COL"
"156",93,35,"COL"
"157",55,-25,"COL"
"158",75,4,"COL"
"159",78,-4,"COL"
"160",77,-24,"COL"
"161",68,-4,"COL"
"162",82,-21,"COL"
"163",54,16,"COL"
"164",77,-26,"COL"
"165",42,-2,"COL"
"166",58,-23,"COL"
"167",41,37,"COL"
"168",35,-6,"COL"
"169",36,33,"COL"
"170",48,16,"COL"
"171",86,4,"COL"
"172",66,22,"COL"
"173",45,22,"COL"
"174",51,2,"COL"
"175",74,10,"COL"
"176",51,3,"COL"
"177",53,-16,"COL"
"178",43,21,"COL"
"179",46,-16,"COL"
"180",87,-10,"COL"
"181",60,18,"COL"
"182",67,12,"COL"
"183",8,0,"COL"
"184",82,-9,"COL"
"185",59,21,"COL"
"186",73,-24,"COL"
"187",37,3,"COL"
"188",48,-23,"COL"
"189",43,14,"COL"
"190",82,-14,"COL"
"191",64,12,"COL"
"192",75,12,"COL"
"193",57,15,"COL"
"194",41,-33,"COL"
"195",52,-15,"COL"
"196",56,24,"COL"
"197",59,21,"COL"
"198",58,-30,"COL"
"199",67,-13,"COL"
"200",63,1,"COL"
"201",76,-12,"COL"
"202",44,-16,"COL"
"203",77,7,"COL"
"204",43,-33,"COL"
"205",83,-8,"COL"
"206",43,-34,"COL"
"207",47,-11,"COL"
"208",74,2,"COL"
"209",82,17,"COL"
"210",26,-27,"COL"
"211",87,-25,"COL"
"212",81,4,"COL"
"213",85,5,"COL"
"214",84,10,"COL"
"215",79,7,"COL"
"216",66,-21,"COL"
"217",81,-24,"COL"
"218",87,6,"COL"
"219",83,13,"COL"
"220",81,28,"COL"
"221",82,-10,"COL"
"222",80,4,"COL"
"223",67,14,"COL"
"224",58,9,"COL"
"225",32,20,"COL"
"226",79,-3,"COL"
"227",9,-25,"COL"
"228",80,1,"COL"
"229",78,-23,"COL"
"230",69,30,"COL"
"231",37,-18,"COL"
"232",53,34,"COL"
"233",29,14,"COL"
"234",78,-27,"COL"
"235",64,18,"COL"
"236",61,-14,"COL"
"237",29,-14,"COL"
"238",7,-41,"COL"
"239",88,-30,"COL"
"240",81,-33,"COL"
"241",87,16,"COL"
"242",4,-10,"COL"
"243",88,4,"COL"
"244",85,-17,"COL"
"245",48,-7,"COL"
"246",31,-20,"COL"
"247",85,-8,"COL"
"248",33,-15,"COL"
"249",76,-8,"COL"
"250",32,-29,"COL"
"251",77,18,"COL"
"252",77,-9,"COL"
"253",80,11,"COL"
"254",52,-25,"COL"
"255",63,0,"COL"
"256",35,-8,"COL"
"257",3,-29,"COL"
"258",54,-34,"COL"
"259",58,26,"COL"
"260",13,38,"COL"
"261",50,2,"COL"
"262",38,5,"COL"
"263",76,-4,"COL"
"264",34,5,"COL"
"265",69,10,"COL"
"266",77,-4,"COL"
"267",69,-4,"COL"
"268",37,27,"COL"
"269",75,-18,"COL"
"270",64,-15,"COL"
"271",75,-5,"COL"
"272",67,-38,"COL"
"273",54,-34,"COL"
"274",69,-24,"COL"
"275",19,36,"COL"
"276",40,33,"COL"
"277",75,13,"COL"
"278",34,-29,"COL"
"279",58,27,"COL"
"280",34,-34,"COL"
"281",73,8,"COL"
"282",61,-15,"COL"
"283",61,17,"COL"
"284",74,39,"COL"
"285",50,-28,"COL"
"286",35,-27,"COL"
"287",55,34,"COL"
"288",60,19,"COL"
"289",34,2,"COL"
"290",76,4,"COL"
"291",33,12,"COL"
"292",35,1,"COL"
"293",54,-32,"COL"
"294",54,14,"COL"
"295",86,8,"COL"
"296",75,24,"COL"
"297",73,9,"COL"
"298",42,-31,"COL"
"299",46,25,"COL"
"300",58,-17,"COL"
"301",73,-17,"COL"
"302",30,16,"COL"
"303",28,-1,"COL"
"304",34,36,"COL"
"305",79,5,"COL"
"306",86,24,"COL"
"307",82,-8,"COL"
"308",84,8,"COL"
"309",76,28,"COL"
"310",34,6,"COL"
"311",44,-18,"COL"
"312",62,0,"COL"
"313",37,-32,"COL"
"314",75,-1,"COL"
"315",67,-3,"COL"
"316",75,21,"COL"
"317",81,6,"COL"
"318",79,-36,"COL"
"319",62,14,"COL"
"320",50,28,"COL"
"321",57,25,"COL"
"322",30,-27,"COL"
"323",63,-8,"COL"
"324",32,-2,"COL"
"325",64,-26,"COL"
"326",83,-19,"COL"
"327",62,25,"COL"
"328",32,-4,"COL"
"329",54,-30,"COL"
"330",77,-10,"COL"
"331",48,35,"COL"
"332",76,-6,"COL"
"333",52,16,"COL"
"334",75,-8,"COL"
"335",79,-1,"COL"
"336",67,16,"COL"
"337",32,-7,"COL"
"338",78,-15,"COL"
"339",43,-19,"COL"
"340",79,-18,"COL"
"341",75,1,"COL"
"342",88,35,"COL"
"343",69,19,"COL"
"344",30,3,"COL"
"345",80,-34,"COL"
"346",47,17,"COL"
"347",78,7,"COL"
"348",68,-5,"COL"
"349",42,-29,"COL"
"350",55,20,"COL"
"351",52,23,"COL"
"352",59,30,"COL"
"353",75,-15,"COL"
"354",73,-26,"COL"
"355",75,-18,"COL"
"356",71,13,"COL"
"357",86,-7,"COL"
"358",74,-14,"COL"
"359",56,-2,"COL"
"360",63,28,"COL"
"361",73,-6,"COL"
"362",87,-5,"COL"
"363",42,-28,"COL"
"364",74,8,"COL"
"365",69,2,"COL"
"366",64,-7,"COL"
"367",69,-8,"COL"
"368",60,-28,"COL"
"369",71,-30,"COL"
"370",85,7,"COL"
"371",67,21,"COL"
"372",62,13,"COL"
"373",71,-17,"COL"
"374",76,3,"COL"
"375",53,-20,"COL"
"376",54,16,"COL"
"377",80,-6,"COL"
"378",68,-14,"COL"
"379",78,2,"COL"
"380",61,-15,"COL"
"381",83,-6,"COL"
"382",36,34,"COL"
"383",48,-39,"COL"
"384",51,21,"COL"
"385",4,39,"COL"
"386",38,2,"COL"
"387",73,-4,"COL"
"388",70,-15,"COL"
"389",85,-6,"COL"
"390",38,34,"COL"
"391",64,35,"COL"
"392",35,-35,"COL"
"393",81,6,"COL"
"394",37,20,"COL"
"395",34,31,"COL"
"396",87,-10,"COL"
"397",86,16,"COL"
"398",58,-15,"COL"
"399",81,-5,"COL"
"400",81,-17,"COL"
"401",74,25,"COL"
"402",71,10,"COL"
"403",33,-11,"COL"
"404",66,31,"COL"
"405",31,23,"COL"
"406",46,9,"COL"
"407",37,1,"COL"
"408",63,-1,"COL"
"409",61,-18,"COL"
"410",62,-19,"COL"
"411",56,-33,"COL"
"412",59,-23,"COL"
"413",37,-7,"COL"
"414",65,12,"COL"
"415",81,-33,"COL"
"416",41,-21,"COL"
"417",35,25,"COL"
"418",37,13,"COL"
"419",66,-32,"COL"
"420",57,-24,"COL"
"421",70,3,"COL"
"422",97,2,"COL"
"423",73,38,"COL"
"424",54,2,"COL"
"425",49,-33,"COL"
"426",40,-25,"COL"
"427",63,-28,"COL"
"428",71,12,"COL"
"429",60,25,"COL"
"430",53,23,"COL"
"431",67,32,"COL"
"432",84,34,"COL"
"433",59,17,"COL"
"434",51,33,"COL"
"435",52,-4,"COL"
"436",79,34,"COL"
"437",37,-30,"COL"
"438",48,35,"COL"
"439",83,-5,"COL"
"440",83,8,"COL"
"441",72,25,"COL"
"442",46,23,"COL"
"443",68,25,"COL"
"444",59,15,"COL"
"445",65,-13,"COL"
"446",40,9,"COL"
"447",38,21,"COL"
"448",80,-18,"COL"
"449",57,31,"COL"
"450",34,19,"COL"
"451",80,2,"COL"
"452",55,-18,"COL"
"453",54,-31,"COL"
"454",52,-33,"COL"
"455",68,-7,"COL"
"456",85,-18,"COL"
"457",74,3,"COL"
"458",62,-31,"COL"
"459",60,-11,"COL"
"460",81,14,"COL"
"461",54,-33,"COL"
"462",56,-5,"COL"
"463",58,12,"COL"
"464",82,-18,"COL"
"465",65,-9,"COL"
"466",83,-8,"COL"
"467",39,-36,"COL"
"468",56,-25,"COL"
"469",69,6,"COL"
"470",36,4,"COL"
"471",67,-3,"COL"
"472",85,-10,"COL"
"473",81,-6,"COL"
"474",61,-8,"COL"
"475",75,33,"COL"
"476",79,-2,"COL"
"477",80,-29,"COL"
"478",81,-25,"COL"
"479",45,-4,"COL"
"480",51,-29,"COL"
"481",54,32,"COL"
"482",67,4,"COL"
"483",50,16,"COL"
"484",89,-10,"COL"
"485",78,5,"COL"
"486",42,21,"COL"
"487",60,-21,"COL"
"488",45,-29,"COL"
"489",76,-14,"COL"
"490",62,-4,"COL"
"491",81,-5,"COL"
"492",80,-5,"COL"
"493",39,-12,"COL"
"494",56,12,"COL"
"495",78,-27,"COL"
"496",3,10,"COL"
"497",81,-6,"COL"
"498",39,4,"COL"
"499",82,-7,"COL"
"500",59,-22,"COL"
"501",5,24,"COL"
"502",43,22,"COL"
"503",89,12,"COL"
"504",41,-7,"COL"
"505",64,25,"COL"
"506",60,-22,"COL"
"507",83,-12,"COL"
"508",69,17,"COL"
"509",43,-25,"COL"
"510",70,17,"COL"
"511",47,-2,"COL"
"512",81,5,"COL"
"513",74,-2,"COL"
"514",76,-3,"COL"
"515",78,-11,"COL"
"516",82,7,"COL"
"517",88,-19,"COL"
"518",70,13,"COL"
"519",66,15,"COL"
"520",50,1,"COL"
"521",78,-30,"COL"
"522",45,-33,"COL"
"523",77,-20,"COL"
"524",38,-21,"COL"
"525",77,-4,"COL"
"526",49,12,"COL"
"527",33,7,"COL"
"528",59,-2,"COL"
"529",80,3,"COL"
"530",40,2,"COL"
"531",73,-12,"COL"
"532",85,-6,"COL"
"533",32,-33,"COL"
"534",39,-30,"COL"
"535",78,-5,"COL"
"536",84,21,"COL"
"537",57,27,"COL"
"538",63,-11,"COL"
"539",88,30,"COL"
"540",31,-31,"COL"
"541",87,-31,"COL"
"542",81,-14,"COL"
"543",39,-30,"COL"
"544",41,-31,"COL"
"545",49,-1,"COL"
"546",45,-23,"COL"
"547",1,-16,"COL"
"548",38,12,"COL"
"549",78,-5,"COL"
"550",66,-12,"COL"
"551",74,-2,"COL"
"552",32,-17,"COL"
"553",80,-8,"COL"
"554",77,-8,"COL"
"555",64,-38,"COL"
"556",61,-38,"COL"
"557",43,10,"COL"
"558",70,1,"COL"
"559",80,-8,"COL"
"560",56,-17,"COL"
"561",69,-21,"COL"
"562",74,-3,"COL"
"563",82,15,"COL"
"564",46,-21,"COL"
"565",77,-33,"COL"
"566",74,16,"COL"
"567",41,-30,"COL"
"568",82,6,"COL"
"569",81,33,"COL"
"570",78,-3,"COL"
"571",80,3,"COL"
"572",41,-18,"COL"
"573",61,-29,"COL"
"574",59,27,"COL"
"575",40,-18,"COL"
"576",59,11,"COL"
"577",45,-27,"COL"
"578",79,15,"COL"
"579",76,5,"COL"
"580",78,-20,"COL"
"581",82,31,"COL"
"582",79,7,"COL"
"583",79,-14,"COL"
"584",37,-20,"COL"
"585",59,16,"COL"
"586",62,18,"COL"
"587",76,0,"COL"
"588",77,-3,"COL"
"589",37,-32,"COL"
"590",76,-1,"COL"
"591",77,-4,"COL"
"592",58,35,"COL"
"593",60,33,"COL"
"594",24,-8,"COL"
"595",20,-32,"COL"
"596",35,-13,"COL"
"597",34,25,"COL"
"598",66,13,"COL"
"599",58,-22,"COL"
"600",67,-7,"COL"
"601",52,-35,"COL"
"602",58,-11,"COL"
"603",71,-5,"COL"
"604",64,-6,"COL"
"605",28,-12,"COL"
"606",78,-6,"COL"
"607",73,-5,"COL"
"608",58,16,"COL"
"609",12,-13,"COL"
"610",67,-7,"COL"
"611",40,-21,"COL"
"612",70,-7,"COL"
"613",29,30,"COL"
"614",32,-36,"COL"
"615",73,-10,"COL"
"616",68,-18,"COL"
"617",72,8,"COL"
"618",33,34,"COL"
"619",37,-24,"COL"
"620",61,-14,"COL"
"621",74,15,"COL"
"622",65,-10,"COL"
"623",81,-19,"COL"
"624",62,8,"COL"
"625",84,-6,"COL"
"626",34,-3,"COL"
"627",36,-16,"COL"
"628",53,1,"COL"
"629",85,5,"COL"
"630",51,3,"COL"
"631",58,5,"COL"
"632",77,-1,"COL"
"633",75,-10,"COL"
"634",47,12,"COL"
"635",65,2,"COL"
"636",53,27,"COL"
"637",68,1,"COL"
"638",55,21,"COL"
"639",53,-23,"COL"
"640",78,8,"COL"
"641",81,-2,"COL"
"642",52,24,"COL"
"643",48,18,"COL"
"644",53,-24,"COL"
"645",81,12,"COL"
"646",60,19,"COL"
"647",57,17,"COL"
"648",75,-1,"COL"
"649",32,7,"COL"
"650",68,-23,"COL"
"651",52,-24,"COL"
"652",56,-9,"COL"
"653",52,-15,"COL"
"654",81,2,"COL"
"655",35,-29,"COL"
"656",54,-18,"COL"
"657",42,-3,"COL"
