"","x_coord","y_coord_flip","team"
"1",75,-9,"DAL"
"2",78,0,"DAL"
"3",67,14,"DAL"
"4",77,23,"DAL"
"5",77,11,"DAL"
"6",84,-3,"DAL"
"7",83,3,"DAL"
"8",87,-5,"DAL"
"9",76,8,"DAL"
"10",73,7,"DAL"
"11",70,1,"DAL"
"12",35,16,"DAL"
"13",60,-23,"DAL"
"14",56,-11,"DAL"
"15",62,-18,"DAL"
"16",44,21,"DAL"
"17",92,-21,"DAL"
"18",69,3,"DAL"
"19",37,-22,"DAL"
"20",72,3,"DAL"
"21",69,-21,"DAL"
"22",38,24,"DAL"
"23",74,-5,"DAL"
"24",82,2,"DAL"
"25",78,1,"DAL"
"26",70,-9,"DAL"
"27",63,7,"DAL"
"28",63,1,"DAL"
"29",50,25,"DAL"
"30",35,8,"DAL"
"31",76,-8,"DAL"
"32",63,9,"DAL"
"33",61,-5,"DAL"
"34",23,8,"DAL"
"35",77,-5,"DAL"
"36",82,-11,"DAL"
"37",69,3,"DAL"
"38",84,-9,"DAL"
"39",75,0,"DAL"
"40",61,18,"DAL"
"41",63,15,"DAL"
"42",66,-23,"DAL"
"43",76,-16,"DAL"
"44",70,-2,"DAL"
"45",78,-3,"DAL"
"46",84,-8,"DAL"
"47",58,-8,"DAL"
"48",84,-15,"DAL"
"49",50,-19,"DAL"
"50",69,3,"DAL"
"51",79,8,"DAL"
"52",83,-2,"DAL"
"53",65,-3,"DAL"
"54",26,1,"DAL"
"55",68,-24,"DAL"
"56",81,6,"DAL"
"57",74,-1,"DAL"
"58",77,10,"DAL"
"59",70,29,"DAL"
"60",77,-9,"DAL"
"61",78,-3,"DAL"
"62",42,-14,"DAL"
"63",80,-1,"DAL"
"64",60,-3,"DAL"
"65",54,-26,"DAL"
"66",35,1,"DAL"
"67",75,-12,"DAL"
"68",76,-8,"DAL"
"69",69,0,"DAL"
"70",87,-5,"DAL"
"71",61,-9,"DAL"
"72",68,2,"DAL"
"73",83,-10,"DAL"
"74",81,2,"DAL"
"75",83,7,"DAL"
"76",73,-18,"DAL"
"77",80,4,"DAL"
"78",93,-40,"DAL"
"79",72,7,"DAL"
"80",54,26,"DAL"
"81",70,14,"DAL"
"82",77,2,"DAL"
"83",77,-4,"DAL"
"84",42,-1,"DAL"
"85",81,-6,"DAL"
"86",68,-15,"DAL"
"87",72,-4,"DAL"
"88",43,1,"DAL"
"89",64,-11,"DAL"
"90",79,11,"DAL"
"91",57,-25,"DAL"
"92",84,-3,"DAL"
"93",78,-1,"DAL"
"94",75,5,"DAL"
"95",70,1,"DAL"
"96",78,5,"DAL"
"97",84,3,"DAL"
"98",69,29,"DAL"
"99",82,-6,"DAL"
"100",62,16,"DAL"
"101",57,28,"DAL"
"102",84,6,"DAL"
"103",63,21,"DAL"
"104",81,-1,"DAL"
"105",48,20,"DAL"
"106",39,-2,"DAL"
"107",85,-4,"DAL"
"108",81,-2,"DAL"
"109",81,-6,"DAL"
"110",82,-5,"DAL"
"111",54,-19,"DAL"
"112",81,-8,"DAL"
"113",81,-3,"DAL"
"114",78,-8,"DAL"
"115",85,9,"DAL"
"116",78,-2,"DAL"
"117",77,-6,"DAL"
"118",58,-10,"DAL"
"119",77,-23,"DAL"
"120",63,2,"DAL"
"121",82,10,"DAL"
"122",65,1,"DAL"
"123",70,-1,"DAL"
"124",77,0,"DAL"
"125",67,-18,"DAL"
"126",71,7,"DAL"
"127",78,-1,"DAL"
"128",83,5,"DAL"
"129",77,23,"DAL"
"130",67,10,"DAL"
"131",48,-17,"DAL"
"132",72,-3,"DAL"
"133",86,6,"DAL"
"134",75,5,"DAL"
"135",82,3,"DAL"
"136",38,-13,"DAL"
"137",62,-2,"DAL"
"138",74,10,"DAL"
"139",37,21,"DAL"
"140",32,-14,"DAL"
"141",75,6,"DAL"
"142",76,-3,"DAL"
"143",80,-2,"DAL"
"144",76,0,"DAL"
"145",55,36,"DAL"
"146",51,10,"DAL"
"147",45,-11,"DAL"
"148",63,-18,"DAL"
"149",85,-9,"DAL"
"150",80,-1,"DAL"
"151",76,9,"DAL"
"152",76,-1,"DAL"
"153",41,2,"DAL"
"154",75,-2,"DAL"
"155",81,2,"DAL"
"156",77,16,"DAL"
"157",83,-7,"DAL"
"158",82,5,"DAL"
"159",77,-1,"DAL"
"160",79,7,"DAL"
"161",81,-4,"DAL"
"162",84,3,"DAL"
"163",72,-1,"DAL"
"164",68,17,"DAL"
"165",78,-27,"DAL"
"166",30,0,"DAL"
"167",49,33,"DAL"
"168",79,-8,"DAL"
"169",60,33,"DAL"
"170",65,-1,"DAL"
"171",49,9,"DAL"
"172",83,3,"DAL"
"173",84,-15,"DAL"
"174",37,22,"DAL"
"175",69,5,"DAL"
"176",33,26,"DAL"
"177",78,-3,"DAL"
"178",24,-1,"DAL"
"179",83,6,"DAL"
"180",55,10,"DAL"
"181",40,-13,"DAL"
"182",72,-6,"DAL"
"183",42,-6,"DAL"
"184",77,10,"DAL"
"185",76,-22,"DAL"
"186",83,4,"DAL"
"187",69,23,"DAL"
"188",67,-12,"DAL"
"189",51,-29,"DAL"
"190",70,-2,"DAL"
"191",68,-26,"DAL"
"192",88,-10,"DAL"
"193",80,-1,"DAL"
"194",75,3,"DAL"
"195",61,0,"DAL"
"196",77,-19,"DAL"
"197",56,-1,"DAL"
"198",75,1,"DAL"
"199",76,5,"DAL"
"200",79,4,"DAL"
"201",48,18,"DAL"
"202",67,18,"DAL"
"203",79,6,"DAL"
"204",80,-9,"DAL"
"205",69,0,"DAL"
"206",82,27,"DAL"
"207",78,7,"DAL"
"208",84,-9,"DAL"
"209",62,-14,"DAL"
"210",82,-3,"DAL"
"211",84,-3,"DAL"
