"","x_coord","y_coord_flip","team"
"1",67,30,"DAL"
"2",43,-20,"DAL"
"3",78,-1,"DAL"
"4",58,29,"DAL"
"5",46,-12,"DAL"
"6",86,13,"DAL"
"7",66,-7,"DAL"
"8",85,-24,"DAL"
"9",68,18,"DAL"
"10",39,-6,"DAL"
"11",44,24,"DAL"
"12",7,-14,"DAL"
"13",78,21,"DAL"
"14",58,14,"DAL"
"15",78,4,"DAL"
"16",64,10,"DAL"
"17",82,15,"DAL"
"18",55,-9,"DAL"
"19",73,5,"DAL"
"20",14,14,"DAL"
"21",72,17,"DAL"
"22",87,-16,"DAL"
"23",34,6,"DAL"
"24",85,-2,"DAL"
"25",81,1,"DAL"
"26",43,24,"DAL"
"27",34,-17,"DAL"
"28",39,23,"DAL"
"29",82,23,"DAL"
"30",64,-27,"DAL"
"31",60,-23,"DAL"
"32",60,9,"DAL"
"33",74,-2,"DAL"
"34",82,7,"DAL"
"35",53,-23,"DAL"
"36",4,-26,"DAL"
"37",52,-27,"DAL"
"38",37,-27,"DAL"
"39",40,22,"DAL"
"40",40,27,"DAL"
"41",61,18,"DAL"
"42",81,3,"DAL"
"43",72,22,"DAL"
"44",35,-10,"DAL"
"45",66,-5,"DAL"
"46",85,-1,"DAL"
"47",89,-19,"DAL"
"48",79,11,"DAL"
"49",57,24,"DAL"
"50",39,16,"DAL"
"51",39,22,"DAL"
"52",77,-9,"DAL"
"53",36,19,"DAL"
"54",81,-5,"DAL"
"55",65,25,"DAL"
"56",78,10,"DAL"
"57",68,-1,"DAL"
"58",67,38,"DAL"
"59",38,-17,"DAL"
"60",74,8,"DAL"
"61",43,4,"DAL"
"62",52,21,"DAL"
"63",59,-5,"DAL"
"64",38,23,"DAL"
"65",50,8,"DAL"
"66",67,-16,"DAL"
"67",79,-10,"DAL"
"68",67,-14,"DAL"
"69",73,4,"DAL"
"70",42,-29,"DAL"
"71",36,7,"DAL"
"72",66,1,"DAL"
"73",69,-12,"DAL"
"74",42,-20,"DAL"
"75",67,-23,"DAL"
"76",76,10,"DAL"
"77",37,22,"DAL"
"78",65,16,"DAL"
"79",81,20,"DAL"
"80",77,6,"DAL"
"81",13,34,"DAL"
"82",51,-24,"DAL"
"83",79,2,"DAL"
"84",36,-27,"DAL"
"85",84,1,"DAL"
"86",42,0,"DAL"
"87",55,33,"DAL"
"88",71,12,"DAL"
"89",77,3,"DAL"
"90",81,1,"DAL"
"91",88,-3,"DAL"
"92",88,-2,"DAL"
"93",83,-2,"DAL"
"94",85,18,"DAL"
"95",58,1,"DAL"
"96",76,-23,"DAL"
"97",69,-3,"DAL"
"98",76,5,"DAL"
"99",82,-4,"DAL"
"100",42,26,"DAL"
"101",58,-1,"DAL"
"102",55,-29,"DAL"
"103",56,24,"DAL"
"104",38,6,"DAL"
"105",64,24,"DAL"
"106",37,25,"DAL"
"107",42,10,"DAL"
"108",39,-25,"DAL"
"109",66,3,"DAL"
"110",68,-25,"DAL"
"111",80,-3,"DAL"
"112",82,10,"DAL"
"113",49,21,"DAL"
"114",39,22,"DAL"
"115",71,18,"DAL"
"116",61,-23,"DAL"
"117",69,-18,"DAL"
"118",77,-12,"DAL"
"119",84,-2,"DAL"
"120",44,-27,"DAL"
"121",55,-21,"DAL"
"122",83,0,"DAL"
"123",67,3,"DAL"
"124",51,26,"DAL"
"125",78,12,"DAL"
"126",75,15,"DAL"
"127",72,22,"DAL"
"128",59,20,"DAL"
"129",55,39,"DAL"
"130",55,21,"DAL"
"131",31,35,"DAL"
"132",67,-35,"DAL"
"133",63,27,"DAL"
"134",77,3,"DAL"
"135",81,3,"DAL"
"136",45,32,"DAL"
"137",66,3,"DAL"
"138",82,8,"DAL"
"139",5,-36,"DAL"
"140",63,-14,"DAL"
"141",35,-25,"DAL"
"142",31,34,"DAL"
"143",73,-31,"DAL"
"144",32,-27,"DAL"
"145",54,-20,"DAL"
"146",66,-21,"DAL"
"147",80,5,"DAL"
"148",50,33,"DAL"
"149",52,-24,"DAL"
"150",49,-28,"DAL"
"151",86,7,"DAL"
"152",81,-1,"DAL"
"153",34,-3,"DAL"
"154",57,32,"DAL"
"155",69,22,"DAL"
"156",69,-35,"DAL"
"157",70,-35,"DAL"
"158",39,-26,"DAL"
"159",35,4,"DAL"
"160",49,-31,"DAL"
"161",52,-31,"DAL"
"162",79,14,"DAL"
"163",38,18,"DAL"
"164",61,34,"DAL"
"165",36,32,"DAL"
"166",71,5,"DAL"
"167",60,-32,"DAL"
"168",38,-4,"DAL"
"169",56,-14,"DAL"
"170",53,2,"DAL"
"171",63,21,"DAL"
"172",48,24,"DAL"
"173",86,7,"DAL"
