"","x_coord","y_coord_flip","team"
"1",74,-6,"DET"
"2",75,-5,"DET"
"3",64,22,"DET"
"4",54,8,"DET"
"5",77,1,"DET"
"6",73,5,"DET"
"7",71,10,"DET"
"8",87,-11,"DET"
"9",43,-16,"DET"
"10",78,-5,"DET"
"11",52,29,"DET"
"12",82,-5,"DET"
"13",84,-10,"DET"
"14",85,-6,"DET"
"15",73,3,"DET"
"16",40,-3,"DET"
"17",58,5,"DET"
"18",74,-7,"DET"
"19",60,0,"DET"
"20",82,-3,"DET"
"21",62,17,"DET"
"22",73,12,"DET"
"23",78,13,"DET"
"24",34,-23,"DET"
"25",76,5,"DET"
"26",74,5,"DET"
"27",73,-2,"DET"
"28",61,-12,"DET"
"29",76,-4,"DET"
"30",43,-21,"DET"
"31",62,-21,"DET"
"32",82,0,"DET"
"33",84,3,"DET"
"34",94,-21,"DET"
"35",73,-4,"DET"
"36",33,-5,"DET"
"37",76,0,"DET"
"38",75,1,"DET"
"39",85,7,"DET"
"40",69,0,"DET"
"41",82,-3,"DET"
"42",83,2,"DET"
"43",81,-4,"DET"
"44",57,22,"DET"
"45",68,-10,"DET"
"46",66,5,"DET"
"47",73,1,"DET"
"48",69,-10,"DET"
"49",63,14,"DET"
"50",81,1,"DET"
"51",78,2,"DET"
"52",77,4,"DET"
"53",37,5,"DET"
"54",39,-31,"DET"
"55",65,8,"DET"
"56",72,-7,"DET"
"57",66,-17,"DET"
"58",79,3,"DET"
"59",82,3,"DET"
"60",81,2,"DET"
"61",78,-14,"DET"
"62",67,-38,"DET"
"63",87,0,"DET"
"64",70,1,"DET"
"65",75,-8,"DET"
"66",64,-14,"DET"
"67",36,-7,"DET"
"68",64,-2,"DET"
"69",74,20,"DET"
"70",64,8,"DET"
"71",61,4,"DET"
"72",76,3,"DET"
"73",78,-8,"DET"
"74",78,5,"DET"
"75",79,0,"DET"
"76",78,3,"DET"
"77",20,33,"DET"
"78",69,-10,"DET"
"79",67,9,"DET"
"80",62,-11,"DET"
"81",71,4,"DET"
"82",69,-2,"DET"
"83",67,8,"DET"
"84",29,-29,"DET"
"85",68,-5,"DET"
"86",66,-23,"DET"
"87",31,18,"DET"
"88",74,0,"DET"
"89",81,-1,"DET"
"90",43,0,"DET"
"91",64,-16,"DET"
"92",71,7,"DET"
"93",72,-4,"DET"
"94",85,6,"DET"
"95",82,5,"DET"
"96",76,10,"DET"
"97",75,-3,"DET"
"98",84,-10,"DET"
"99",84,-9,"DET"
"100",82,-1,"DET"
"101",57,1,"DET"
"102",83,-3,"DET"
"103",51,-22,"DET"
"104",80,4,"DET"
"105",31,-37,"DET"
"106",83,-40,"DET"
"107",87,-5,"DET"
"108",39,16,"DET"
"109",74,1,"DET"
"110",76,12,"DET"
"111",74,-8,"DET"
"112",77,13,"DET"
"113",71,0,"DET"
"114",81,1,"DET"
"115",83,-3,"DET"
"116",76,6,"DET"
"117",58,-13,"DET"
"118",75,2,"DET"
"119",81,8,"DET"
"120",73,3,"DET"
"121",84,10,"DET"
"122",80,15,"DET"
"123",85,-6,"DET"
"124",79,-1,"DET"
"125",82,-1,"DET"
"126",81,-5,"DET"
"127",79,17,"DET"
"128",75,22,"DET"
"129",80,-3,"DET"
"130",71,19,"DET"
"131",69,-3,"DET"
"132",84,6,"DET"
"133",48,-7,"DET"
"134",76,5,"DET"
"135",78,-5,"DET"
"136",69,19,"DET"
"137",67,0,"DET"
"138",59,-9,"DET"
"139",36,-10,"DET"
"140",58,19,"DET"
"141",66,12,"DET"
"142",58,11,"DET"
"143",61,13,"DET"
"144",85,3,"DET"
"145",79,-29,"DET"
"146",79,6,"DET"
"147",87,4,"DET"
"148",79,8,"DET"
"149",71,-18,"DET"
"150",83,8,"DET"
"151",43,-14,"DET"
"152",75,-4,"DET"
"153",86,-1,"DET"
"154",84,-4,"DET"
"155",84,-8,"DET"
"156",89,6,"DET"
"157",57,-18,"DET"
"158",75,-8,"DET"
"159",73,-6,"DET"
"160",88,-6,"DET"
"161",82,-21,"DET"
"162",81,7,"DET"
"163",75,-2,"DET"
"164",72,-1,"DET"
"165",82,-6,"DET"
"166",66,5,"DET"
"167",76,-13,"DET"
"168",75,-10,"DET"
"169",69,24,"DET"
"170",83,-1,"DET"
"171",67,9,"DET"
"172",80,-4,"DET"
"173",87,-5,"DET"
"174",87,11,"DET"
"175",82,-3,"DET"
"176",47,32,"DET"
"177",63,-16,"DET"
"178",85,-2,"DET"
"179",78,9,"DET"
"180",79,-5,"DET"
"181",79,-4,"DET"
"182",32,-21,"DET"
"183",70,6,"DET"
"184",66,28,"DET"
"185",75,5,"DET"
"186",67,18,"DET"
"187",70,-2,"DET"
"188",78,-11,"DET"
"189",41,-24,"DET"
"190",75,-18,"DET"
"191",76,-1,"DET"
"192",40,20,"DET"
"193",68,-9,"DET"
"194",85,-5,"DET"
"195",81,-1,"DET"
"196",72,0,"DET"
"197",86,-7,"DET"
"198",83,-7,"DET"
"199",81,-8,"DET"
"200",49,-16,"DET"
"201",82,-8,"DET"
"202",42,14,"DET"
"203",85,8,"DET"
"204",69,22,"DET"
"205",66,-1,"DET"
"206",72,-4,"DET"
"207",84,4,"DET"
"208",73,-3,"DET"
"209",80,1,"DET"
"210",54,21,"DET"
"211",54,17,"DET"
"212",84,-28,"DET"
"213",73,-19,"DET"
"214",79,0,"DET"
"215",77,-1,"DET"
"216",30,-20,"DET"
"217",79,-6,"DET"
"218",83,19,"DET"
"219",63,6,"DET"
"220",87,12,"DET"
"221",72,3,"DET"
"222",66,-24,"DET"
"223",75,-1,"DET"
"224",81,5,"DET"
"225",72,-12,"DET"
"226",80,-8,"DET"
"227",28,16,"DET"
"228",78,-3,"DET"
"229",66,2,"DET"
