"","x_coord","y_coord_flip","team"
"1",72,22,"DET"
"2",8,11,"DET"
"3",37,-7,"DET"
"4",82,-2,"DET"
"5",82,3,"DET"
"6",41,24,"DET"
"7",61,-6,"DET"
"8",45,-13,"DET"
"9",53,-12,"DET"
"10",82,4,"DET"
"11",55,28,"DET"
"12",82,11,"DET"
"13",41,-25,"DET"
"14",50,-30,"DET"
"15",54,-18,"DET"
"16",79,2,"DET"
"17",64,16,"DET"
"18",61,-13,"DET"
"19",39,22,"DET"
"20",67,33,"DET"
"21",70,-12,"DET"
"22",83,-16,"DET"
"23",81,-8,"DET"
"24",77,5,"DET"
"25",37,11,"DET"
"26",69,25,"DET"
"27",60,33,"DET"
"28",75,30,"DET"
"29",88,10,"DET"
"30",87,19,"DET"
"31",84,7,"DET"
"32",37,29,"DET"
"33",27,2,"DET"
"34",76,21,"DET"
"35",83,-20,"DET"
"36",66,-11,"DET"
"37",51,-18,"DET"
"38",79,3,"DET"
"39",37,-8,"DET"
"40",69,7,"DET"
"41",64,24,"DET"
"42",56,-18,"DET"
"43",77,-14,"DET"
"44",61,16,"DET"
"45",76,-1,"DET"
"46",84,-14,"DET"
"47",77,-5,"DET"
"48",56,35,"DET"
"49",72,-7,"DET"
"50",79,24,"DET"
"51",68,-5,"DET"
"52",29,-17,"DET"
"53",34,-32,"DET"
"54",35,25,"DET"
"55",80,-15,"DET"
"56",84,30,"DET"
"57",53,18,"DET"
"58",77,1,"DET"
"59",16,-6,"DET"
"60",31,33,"DET"
"61",53,9,"DET"
"62",67,13,"DET"
"63",72,18,"DET"
"64",87,-8,"DET"
"65",86,7,"DET"
"66",78,11,"DET"
"67",82,-3,"DET"
"68",79,-2,"DET"
"69",52,-4,"DET"
"70",80,0,"DET"
"71",65,-22,"DET"
"72",19,-14,"DET"
"73",84,-10,"DET"
"74",70,3,"DET"
"75",62,-4,"DET"
"76",32,-8,"DET"
"77",41,33,"DET"
"78",47,21,"DET"
"79",86,6,"DET"
"80",79,-10,"DET"
"81",37,6,"DET"
"82",82,23,"DET"
"83",33,1,"DET"
"84",50,25,"DET"
"85",48,-37,"DET"
"86",30,14,"DET"
"87",35,-31,"DET"
"88",57,27,"DET"
"89",76,-3,"DET"
"90",53,25,"DET"
"91",32,38,"DET"
"92",82,4,"DET"
"93",83,-8,"DET"
"94",78,20,"DET"
"95",83,-4,"DET"
"96",37,27,"DET"
"97",46,1,"DET"
"98",34,7,"DET"
"99",85,16,"DET"
"100",74,-16,"DET"
"101",39,33,"DET"
"102",40,30,"DET"
"103",75,12,"DET"
"104",74,-20,"DET"
"105",37,21,"DET"
"106",43,31,"DET"
"107",31,26,"DET"
"108",63,5,"DET"
"109",79,-27,"DET"
"110",40,31,"DET"
"111",56,-33,"DET"
"112",43,23,"DET"
"113",42,27,"DET"
"114",66,-33,"DET"
"115",59,20,"DET"
"116",51,31,"DET"
"117",72,16,"DET"
"118",32,0,"DET"
"119",81,-12,"DET"
"120",65,18,"DET"
"121",36,26,"DET"
"122",71,-1,"DET"
"123",35,-32,"DET"
"124",76,0,"DET"
"125",35,9,"DET"
"126",60,-28,"DET"
"127",47,0,"DET"
"128",79,30,"DET"
