"","x_coord","y_coord_flip","team"
"1",65,-5,"EDM"
"2",63,-16,"EDM"
"3",55,-8,"EDM"
"4",87,-5,"EDM"
"5",84,10,"EDM"
"6",76,4,"EDM"
"7",66,16,"EDM"
"8",70,5,"EDM"
"9",67,19,"EDM"
"10",59,-13,"EDM"
"11",75,10,"EDM"
"12",83,11,"EDM"
"13",67,19,"EDM"
"14",62,1,"EDM"
"15",75,-5,"EDM"
"16",78,1,"EDM"
"17",61,-6,"EDM"
"18",76,4,"EDM"
"19",36,7,"EDM"
"20",61,-9,"EDM"
"21",37,-7,"EDM"
"22",81,-17,"EDM"
"23",81,5,"EDM"
"24",82,-4,"EDM"
"25",85,-7,"EDM"
"26",66,10,"EDM"
"27",72,-4,"EDM"
"28",85,16,"EDM"
"29",81,-16,"EDM"
"30",86,-4,"EDM"
"31",84,-3,"EDM"
"32",76,4,"EDM"
"33",79,1,"EDM"
"34",42,11,"EDM"
"35",80,-5,"EDM"
"36",81,-7,"EDM"
"37",75,7,"EDM"
"38",81,-13,"EDM"
"39",60,-5,"EDM"
"40",75,20,"EDM"
"41",67,22,"EDM"
"42",71,2,"EDM"
"43",60,-5,"EDM"
"44",63,-3,"EDM"
"45",78,-4,"EDM"
"46",80,1,"EDM"
"47",32,-14,"EDM"
"48",76,6,"EDM"
"49",78,8,"EDM"
"50",44,3,"EDM"
"51",34,-22,"EDM"
"52",51,21,"EDM"
"53",76,3,"EDM"
"54",54,14,"EDM"
"55",61,-7,"EDM"
"56",88,5,"EDM"
"57",63,5,"EDM"
"58",75,4,"EDM"
"59",77,19,"EDM"
"60",78,-6,"EDM"
"61",85,7,"EDM"
"62",68,12,"EDM"
"63",81,2,"EDM"
"64",82,-3,"EDM"
"65",78,12,"EDM"
"66",41,20,"EDM"
"67",79,6,"EDM"
"68",32,-3,"EDM"
"69",82,1,"EDM"
"70",75,-2,"EDM"
"71",78,1,"EDM"
"72",78,3,"EDM"
"73",41,1,"EDM"
"74",74,4,"EDM"
"75",65,-5,"EDM"
"76",74,10,"EDM"
"77",81,-1,"EDM"
"78",61,3,"EDM"
"79",43,2,"EDM"
"80",72,0,"EDM"
"81",72,-9,"EDM"
"82",67,-3,"EDM"
"83",79,-20,"EDM"
"84",81,6,"EDM"
"85",81,-21,"EDM"
"86",53,-6,"EDM"
"87",75,-17,"EDM"
"88",86,7,"EDM"
"89",37,-24,"EDM"
"90",60,2,"EDM"
"91",81,-3,"EDM"
"92",85,1,"EDM"
"93",78,-1,"EDM"
"94",66,3,"EDM"
"95",95,8,"EDM"
"96",58,-14,"EDM"
"97",82,-5,"EDM"
"98",71,-2,"EDM"
"99",77,0,"EDM"
"100",61,-14,"EDM"
"101",73,-10,"EDM"
"102",70,-1,"EDM"
"103",80,-11,"EDM"
"104",54,7,"EDM"
"105",53,-19,"EDM"
"106",82,3,"EDM"
"107",73,-11,"EDM"
"108",81,11,"EDM"
"109",75,3,"EDM"
"110",71,-11,"EDM"
"111",64,-28,"EDM"
"112",80,-3,"EDM"
"113",77,1,"EDM"
"114",82,-4,"EDM"
"115",81,-1,"EDM"
"116",86,-7,"EDM"
"117",79,3,"EDM"
"118",78,0,"EDM"
"119",67,0,"EDM"
"120",82,-3,"EDM"
"121",67,7,"EDM"
"122",54,-18,"EDM"
"123",77,12,"EDM"
"124",79,0,"EDM"
"125",74,-3,"EDM"
"126",79,3,"EDM"
"127",78,3,"EDM"
"128",74,0,"EDM"
"129",81,2,"EDM"
"130",78,-2,"EDM"
"131",74,-3,"EDM"
"132",75,3,"EDM"
"133",63,-1,"EDM"
"134",65,-8,"EDM"
"135",81,0,"EDM"
"136",68,2,"EDM"
"137",53,-23,"EDM"
"138",69,-4,"EDM"
"139",80,8,"EDM"
"140",51,33,"EDM"
"141",75,0,"EDM"
"142",75,-8,"EDM"
"143",75,1,"EDM"
"144",75,8,"EDM"
"145",86,-10,"EDM"
"146",58,-17,"EDM"
"147",80,-2,"EDM"
"148",70,-11,"EDM"
"149",63,-30,"EDM"
"150",79,3,"EDM"
"151",82,-8,"EDM"
