"","x_coord","y_coord_flip","team"
"1",44,17,"EDM"
"2",37,15,"EDM"
"3",59,-5,"EDM"
"4",55,10,"EDM"
"5",37,-13,"EDM"
"6",40,14,"EDM"
"7",79,-21,"EDM"
"8",85,24,"EDM"
"9",62,-1,"EDM"
"10",49,14,"EDM"
"11",82,-20,"EDM"
"12",60,-31,"EDM"
"13",76,-4,"EDM"
"14",37,-2,"EDM"
"15",67,2,"EDM"
"16",46,-3,"EDM"
"17",41,24,"EDM"
"18",78,-2,"EDM"
"19",35,13,"EDM"
"20",83,-3,"EDM"
"21",61,-23,"EDM"
"22",85,-31,"EDM"
"23",81,-3,"EDM"
"24",73,-12,"EDM"
"25",34,1,"EDM"
"26",58,12,"EDM"
"27",56,36,"EDM"
"28",66,0,"EDM"
"29",75,2,"EDM"
"30",63,-37,"EDM"
"31",69,-12,"EDM"
"32",79,3,"EDM"
"33",75,5,"EDM"
"34",51,12,"EDM"
"35",65,24,"EDM"
"36",55,5,"EDM"
"37",79,-8,"EDM"
"38",58,5,"EDM"
"39",79,2,"EDM"
"40",41,25,"EDM"
"41",37,23,"EDM"
"42",42,23,"EDM"
"43",87,24,"EDM"
"44",52,7,"EDM"
"45",54,22,"EDM"
"46",4,-31,"EDM"
"47",29,-28,"EDM"
"48",81,3,"EDM"
"49",51,19,"EDM"
"50",73,-26,"EDM"
"51",45,-21,"EDM"
"52",76,0,"EDM"
"53",47,-36,"EDM"
"54",80,-1,"EDM"
"55",54,-20,"EDM"
"56",49,-34,"EDM"
"57",59,1,"EDM"
"58",65,13,"EDM"
"59",59,33,"EDM"
"60",45,1,"EDM"
"61",60,37,"EDM"
"62",74,-15,"EDM"
"63",62,-16,"EDM"
"64",35,-32,"EDM"
"65",48,30,"EDM"
"66",45,31,"EDM"
"67",16,-2,"EDM"
"68",39,26,"EDM"
"69",44,26,"EDM"
"70",34,-5,"EDM"
"71",33,-27,"EDM"
"72",37,15,"EDM"
"73",76,-4,"EDM"
"74",67,-10,"EDM"
"75",52,-35,"EDM"
"76",73,-25,"EDM"
"77",42,-1,"EDM"
"78",35,-32,"EDM"
"79",36,-25,"EDM"
"80",37,-30,"EDM"
"81",64,4,"EDM"
"82",79,15,"EDM"
"83",64,19,"EDM"
"84",49,-3,"EDM"
"85",34,-31,"EDM"
"86",69,-33,"EDM"
"87",78,-11,"EDM"
"88",79,-6,"EDM"
"89",77,-6,"EDM"
"90",81,-7,"EDM"
"91",55,-9,"EDM"
"92",70,1,"EDM"
"93",70,-2,"EDM"
"94",63,-16,"EDM"
"95",36,-28,"EDM"
"96",75,11,"EDM"
"97",73,3,"EDM"
"98",43,21,"EDM"
"99",81,16,"EDM"
"100",80,-21,"EDM"
"101",86,-5,"EDM"
"102",84,-7,"EDM"
"103",61,24,"EDM"
"104",46,-2,"EDM"
"105",65,-1,"EDM"
"106",43,28,"EDM"
"107",80,9,"EDM"
"108",69,15,"EDM"
"109",58,18,"EDM"
"110",63,7,"EDM"
"111",42,-12,"EDM"
"112",74,-7,"EDM"
"113",61,19,"EDM"
"114",60,-27,"EDM"
"115",84,-11,"EDM"
"116",84,6,"EDM"
"117",61,33,"EDM"
"118",81,-5,"EDM"
"119",87,13,"EDM"
"120",72,18,"EDM"
"121",73,-26,"EDM"
"122",62,4,"EDM"
"123",32,-19,"EDM"
"124",35,-28,"EDM"
"125",58,14,"EDM"
"126",78,5,"EDM"
"127",68,8,"EDM"
"128",40,-18,"EDM"
"129",84,24,"EDM"
"130",54,-20,"EDM"
"131",66,-15,"EDM"
"132",45,26,"EDM"
"133",69,-16,"EDM"
"134",79,-9,"EDM"
"135",39,16,"EDM"
"136",35,-22,"EDM"
"137",35,26,"EDM"
"138",33,-12,"EDM"
"139",88,-2,"EDM"
"140",87,-2,"EDM"
"141",54,22,"EDM"
"142",58,3,"EDM"
"143",61,2,"EDM"
"144",39,25,"EDM"
"145",39,-16,"EDM"
"146",83,-3,"EDM"
"147",68,4,"EDM"
"148",67,23,"EDM"
"149",76,-18,"EDM"
"150",40,25,"EDM"
