"","x_coord","y_coord_flip","team"
"1",54,19,"FLA"
"2",65,13,"FLA"
"3",80,-8,"FLA"
"4",80,0,"FLA"
"5",78,-4,"FLA"
"6",74,5,"FLA"
"7",62,-29,"FLA"
"8",68,-36,"FLA"
"9",72,-1,"FLA"
"10",82,-2,"FLA"
"11",77,-1,"FLA"
"12",78,5,"FLA"
"13",82,3,"FLA"
"14",80,-5,"FLA"
"15",70,3,"FLA"
"16",74,2,"FLA"
"17",82,5,"FLA"
"18",82,3,"FLA"
"19",83,5,"FLA"
"20",81,-6,"FLA"
"21",73,-2,"FLA"
"22",70,-14,"FLA"
"23",52,-28,"FLA"
"24",50,-29,"FLA"
"25",64,23,"FLA"
"26",87,8,"FLA"
"27",82,3,"FLA"
"28",51,-2,"FLA"
"29",61,-23,"FLA"
"30",76,-6,"FLA"
"31",56,10,"FLA"
"32",40,-5,"FLA"
"33",73,0,"FLA"
"34",76,-2,"FLA"
"35",58,-21,"FLA"
"36",41,-6,"FLA"
"37",58,-2,"FLA"
"38",74,0,"FLA"
"39",70,1,"FLA"
"40",52,-13,"FLA"
"41",12,-33,"FLA"
"42",81,0,"FLA"
"43",74,10,"FLA"
"44",54,-18,"FLA"
"45",34,-33,"FLA"
"46",66,3,"FLA"
"47",50,-10,"FLA"
"48",70,-5,"FLA"
"49",79,1,"FLA"
"50",72,13,"FLA"
"51",89,-17,"FLA"
"52",58,12,"FLA"
"53",66,3,"FLA"
"54",78,17,"FLA"
"55",39,-8,"FLA"
"56",64,-29,"FLA"
"57",56,-18,"FLA"
"58",84,-5,"FLA"
"59",87,-7,"FLA"
"60",63,0,"FLA"
"61",86,0,"FLA"
"62",69,-2,"FLA"
"63",82,-3,"FLA"
"64",77,-3,"FLA"
"65",61,-18,"FLA"
"66",75,-8,"FLA"
"67",49,-23,"FLA"
"68",65,-2,"FLA"
"69",60,27,"FLA"
"70",81,0,"FLA"
"71",66,-15,"FLA"
"72",78,-1,"FLA"
"73",69,-6,"FLA"
"74",59,0,"FLA"
"75",82,4,"FLA"
"76",85,31,"FLA"
"77",75,15,"FLA"
"78",79,-2,"FLA"
"79",40,29,"FLA"
"80",80,5,"FLA"
"81",74,13,"FLA"
"82",56,21,"FLA"
"83",82,2,"FLA"
"84",84,-5,"FLA"
"85",86,8,"FLA"
"86",83,4,"FLA"
"87",71,23,"FLA"
"88",62,-20,"FLA"
"89",59,14,"FLA"
"90",79,1,"FLA"
"91",76,-5,"FLA"
"92",80,-9,"FLA"
"93",37,28,"FLA"
"94",66,-21,"FLA"
"95",78,7,"FLA"
"96",54,-19,"FLA"
"97",84,-5,"FLA"
"98",75,0,"FLA"
"99",63,-20,"FLA"
"100",73,-1,"FLA"
"101",73,-6,"FLA"
"102",82,10,"FLA"
"103",70,-19,"FLA"
"104",59,6,"FLA"
"105",84,6,"FLA"
"106",86,-8,"FLA"
"107",75,1,"FLA"
"108",65,-4,"FLA"
"109",83,-6,"FLA"
"110",21,-10,"FLA"
"111",63,14,"FLA"
"112",63,-12,"FLA"
"113",83,2,"FLA"
"114",74,13,"FLA"
"115",69,5,"FLA"
"116",69,30,"FLA"
"117",79,9,"FLA"
"118",78,16,"FLA"
"119",55,-36,"FLA"
"120",65,1,"FLA"
"121",73,1,"FLA"
"122",38,10,"FLA"
"123",65,8,"FLA"
"124",66,12,"FLA"
"125",87,-2,"FLA"
"126",86,8,"FLA"
"127",78,1,"FLA"
"128",84,-3,"FLA"
"129",63,8,"FLA"
"130",81,0,"FLA"
"131",83,-8,"FLA"
"132",82,7,"FLA"
"133",52,-23,"FLA"
"134",83,-14,"FLA"
"135",72,1,"FLA"
