"","x_coord","y_coord_flip","team"
"1",72,22,"FLA"
"2",40,-27,"FLA"
"3",63,-2,"FLA"
"4",70,6,"FLA"
"5",63,-11,"FLA"
"6",39,25,"FLA"
"7",36,-14,"FLA"
"8",48,-36,"FLA"
"9",46,-32,"FLA"
"10",55,21,"FLA"
"11",37,-10,"FLA"
"12",58,1,"FLA"
"13",32,-14,"FLA"
"14",66,-14,"FLA"
"15",57,-23,"FLA"
"16",35,4,"FLA"
"17",64,28,"FLA"
"18",37,-7,"FLA"
"19",38,0,"FLA"
"20",54,17,"FLA"
"21",76,-22,"FLA"
"22",59,27,"FLA"
"23",38,-33,"FLA"
"24",58,10,"FLA"
"25",66,7,"FLA"
"26",38,-22,"FLA"
"27",70,-12,"FLA"
"28",38,-20,"FLA"
"29",49,-25,"FLA"
"30",58,-16,"FLA"
"31",70,-15,"FLA"
"32",39,-5,"FLA"
"33",35,11,"FLA"
"34",70,-11,"FLA"
"35",36,21,"FLA"
"36",36,-17,"FLA"
"37",66,-12,"FLA"
"38",70,16,"FLA"
"39",65,-2,"FLA"
"40",66,1,"FLA"
"41",63,1,"FLA"
"42",65,-21,"FLA"
"43",77,2,"FLA"
"44",47,-28,"FLA"
"45",44,2,"FLA"
"46",64,-12,"FLA"
"47",40,17,"FLA"
"48",54,36,"FLA"
"49",57,20,"FLA"
"50",34,21,"FLA"
"51",72,2,"FLA"
"52",49,-21,"FLA"
"53",81,0,"FLA"
"54",72,8,"FLA"
"55",52,-10,"FLA"
"56",78,6,"FLA"
"57",85,7,"FLA"
"58",6,-15,"FLA"
"59",38,-24,"FLA"
"60",38,-18,"FLA"
"61",81,31,"FLA"
"62",85,-8,"FLA"
"63",79,2,"FLA"
"64",46,-25,"FLA"
"65",81,-6,"FLA"
"66",83,20,"FLA"
"67",32,-36,"FLA"
"68",55,35,"FLA"
"69",81,-10,"FLA"
"70",40,-25,"FLA"
"71",21,24,"FLA"
"72",35,-2,"FLA"
"73",40,26,"FLA"
"74",44,21,"FLA"
"75",18,4,"FLA"
"76",70,1,"FLA"
"77",55,2,"FLA"
"78",34,-25,"FLA"
"79",42,-14,"FLA"
