"","x_coord","y_coord_flip","team"
"1",83,5,"LAK"
"2",85,7,"LAK"
"3",79,16,"LAK"
"4",84,20,"LAK"
"5",73,-5,"LAK"
"6",22,-29,"LAK"
"7",79,0,"LAK"
"8",76,-10,"LAK"
"9",71,5,"LAK"
"10",62,15,"LAK"
"11",81,8,"LAK"
"12",71,-8,"LAK"
"13",72,5,"LAK"
"14",62,13,"LAK"
"15",60,3,"LAK"
"16",77,7,"LAK"
"17",72,-5,"LAK"
"18",61,25,"LAK"
"19",85,6,"LAK"
"20",51,4,"LAK"
"21",86,-6,"LAK"
"22",55,15,"LAK"
"23",78,0,"LAK"
"24",79,1,"LAK"
"25",80,-17,"LAK"
"26",53,-30,"LAK"
"27",81,5,"LAK"
"28",74,3,"LAK"
"29",81,4,"LAK"
"30",84,1,"LAK"
"31",68,4,"LAK"
"32",1,-28,"LAK"
"33",57,-21,"LAK"
"34",72,3,"LAK"
"35",67,-14,"LAK"
"36",73,-7,"LAK"
"37",79,3,"LAK"
"38",87,-7,"LAK"
"39",81,2,"LAK"
"40",86,7,"LAK"
"41",68,-1,"LAK"
"42",13,2,"LAK"
"43",84,1,"LAK"
"44",54,9,"LAK"
"45",66,1,"LAK"
"46",40,-11,"LAK"
"47",82,7,"LAK"
"48",83,7,"LAK"
"49",67,-2,"LAK"
"50",76,-5,"LAK"
"51",28,-1,"LAK"
"52",39,2,"LAK"
"53",67,-23,"LAK"
"54",76,-4,"LAK"
"55",50,-24,"LAK"
"56",49,18,"LAK"
"57",63,-8,"LAK"
"58",78,5,"LAK"
"59",86,-1,"LAK"
"60",84,0,"LAK"
"61",68,30,"LAK"
"62",84,-5,"LAK"
"63",65,-12,"LAK"
"64",50,17,"LAK"
"65",70,4,"LAK"
"66",88,10,"LAK"
"67",39,1,"LAK"
"68",73,22,"LAK"
"69",79,1,"LAK"
"70",53,10,"LAK"
"71",77,4,"LAK"
"72",53,-1,"LAK"
"73",77,1,"LAK"
"74",79,6,"LAK"
"75",68,5,"LAK"
"76",55,-28,"LAK"
"77",68,-22,"LAK"
"78",87,3,"LAK"
"79",73,-3,"LAK"
"80",35,-17,"LAK"
"81",76,12,"LAK"
"82",58,15,"LAK"
"83",68,0,"LAK"
"84",68,0,"LAK"
"85",88,5,"LAK"
"86",68,4,"LAK"
"87",74,-1,"LAK"
"88",34,-27,"LAK"
"89",81,14,"LAK"
"90",84,3,"LAK"
"91",42,18,"LAK"
"92",91,-7,"LAK"
"93",72,-3,"LAK"
"94",75,-3,"LAK"
"95",54,-20,"LAK"
"96",81,5,"LAK"
"97",81,5,"LAK"
"98",65,19,"LAK"
"99",67,-17,"LAK"
"100",82,3,"LAK"
"101",85,-1,"LAK"
"102",68,19,"LAK"
"103",80,2,"LAK"
"104",83,16,"LAK"
"105",81,4,"LAK"
"106",43,-14,"LAK"
"107",76,-1,"LAK"
"108",83,3,"LAK"
"109",40,-20,"LAK"
"110",78,-3,"LAK"
"111",51,19,"LAK"
"112",83,-13,"LAK"
"113",46,22,"LAK"
"114",73,-5,"LAK"
"115",66,14,"LAK"
"116",78,-3,"LAK"
"117",64,-1,"LAK"
"118",73,-9,"LAK"
"119",67,0,"LAK"
"120",81,-5,"LAK"
"121",69,16,"LAK"
"122",62,0,"LAK"
"123",51,-9,"LAK"
"124",73,11,"LAK"
"125",35,2,"LAK"
"126",67,1,"LAK"
"127",64,2,"LAK"
"128",69,11,"LAK"
"129",67,-6,"LAK"
"130",76,-12,"LAK"
"131",72,-5,"LAK"
"132",42,-24,"LAK"
"133",72,-4,"LAK"
"134",72,-3,"LAK"
"135",36,-18,"LAK"
"136",78,0,"LAK"
"137",62,3,"LAK"
"138",42,-1,"LAK"
"139",75,5,"LAK"
"140",58,4,"LAK"
"141",81,-21,"LAK"
"142",27,-32,"LAK"
"143",79,4,"LAK"
"144",60,-17,"LAK"
"145",78,-2,"LAK"
"146",85,11,"LAK"
"147",37,-3,"LAK"
"148",78,7,"LAK"
"149",82,9,"LAK"
"150",70,-2,"LAK"
"151",63,-2,"LAK"
"152",67,-14,"LAK"
"153",69,-1,"LAK"
"154",75,-1,"LAK"
"155",66,16,"LAK"
"156",82,-2,"LAK"
"157",79,1,"LAK"
"158",62,-10,"LAK"
"159",86,-5,"LAK"
"160",46,-10,"LAK"
"161",46,3,"LAK"
"162",78,-1,"LAK"
"163",73,0,"LAK"
"164",60,-8,"LAK"
"165",51,5,"LAK"
"166",81,1,"LAK"
"167",80,3,"LAK"
"168",43,-2,"LAK"
"169",74,1,"LAK"
"170",79,-4,"LAK"
