"","x_coord","y_coord_flip","team"
"1",82,-3,"LAK"
"2",72,3,"LAK"
"3",62,-39,"LAK"
"4",67,13,"LAK"
"5",29,-1,"LAK"
"6",72,9,"LAK"
"7",41,-36,"LAK"
"8",82,23,"LAK"
"9",55,-12,"LAK"
"10",44,32,"LAK"
"11",83,-1,"LAK"
"12",85,-2,"LAK"
"13",66,-7,"LAK"
"14",77,-11,"LAK"
"15",66,20,"LAK"
"16",79,0,"LAK"
"17",75,-4,"LAK"
"18",81,0,"LAK"
"19",78,-20,"LAK"
"20",55,-31,"LAK"
"21",34,2,"LAK"
"22",56,-22,"LAK"
"23",40,30,"LAK"
"24",67,17,"LAK"
"25",29,17,"LAK"
"26",80,24,"LAK"
"27",73,-9,"LAK"
"28",81,24,"LAK"
"29",78,9,"LAK"
"30",51,-21,"LAK"
"31",80,-6,"LAK"
"32",86,-6,"LAK"
"33",31,38,"LAK"
"34",85,-14,"LAK"
"35",71,-7,"LAK"
"36",72,8,"LAK"
"37",72,-3,"LAK"
"38",73,2,"LAK"
"39",74,-12,"LAK"
"40",45,35,"LAK"
"41",63,-12,"LAK"
"42",39,34,"LAK"
"43",49,-29,"LAK"
"44",3,5,"LAK"
"45",0,15,"LAK"
"46",68,25,"LAK"
"47",57,9,"LAK"
"48",50,-31,"LAK"
"49",82,2,"LAK"
"50",70,-1,"LAK"
"51",45,-23,"LAK"
"52",65,-21,"LAK"
"53",76,-10,"LAK"
"54",79,1,"LAK"
"55",63,21,"LAK"
"56",38,-21,"LAK"
"57",32,13,"LAK"
"58",56,29,"LAK"
"59",31,18,"LAK"
"60",78,-3,"LAK"
"61",22,-30,"LAK"
"62",59,26,"LAK"
"63",79,3,"LAK"
"64",78,22,"LAK"
"65",79,-1,"LAK"
"66",73,1,"LAK"
"67",55,-30,"LAK"
"68",71,9,"LAK"
"69",30,8,"LAK"
"70",61,-27,"LAK"
"71",64,19,"LAK"
"72",66,19,"LAK"
"73",69,-3,"LAK"
"74",70,3,"LAK"
"75",24,31,"LAK"
"76",32,-36,"LAK"
"77",78,-2,"LAK"
"78",75,-4,"LAK"
"79",72,2,"LAK"
"80",62,-5,"LAK"
"81",55,-13,"LAK"
"82",32,24,"LAK"
"83",43,1,"LAK"
"84",51,-35,"LAK"
"85",61,14,"LAK"
"86",60,-32,"LAK"
"87",50,37,"LAK"
"88",34,-11,"LAK"
"89",52,37,"LAK"
"90",71,28,"LAK"
"91",34,31,"LAK"
"92",33,31,"LAK"
"93",45,27,"LAK"
"94",75,-1,"LAK"
"95",42,36,"LAK"
"96",49,29,"LAK"
"97",51,-38,"LAK"
"98",45,-17,"LAK"
"99",50,-23,"LAK"
"100",81,-15,"LAK"
"101",49,-37,"LAK"
"102",70,-5,"LAK"
"103",84,13,"LAK"
"104",70,-6,"LAK"
"105",87,-11,"LAK"
"106",31,24,"LAK"
"107",40,-5,"LAK"
"108",46,-34,"LAK"
"109",60,37,"LAK"
"110",35,31,"LAK"
"111",79,-3,"LAK"
"112",46,-34,"LAK"
"113",42,26,"LAK"
"114",55,-37,"LAK"
"115",85,16,"LAK"
"116",51,-20,"LAK"
"117",39,33,"LAK"
"118",54,-31,"LAK"
"119",19,8,"LAK"
"120",81,21,"LAK"
"121",58,-31,"LAK"
"122",51,11,"LAK"
"123",87,-13,"LAK"
"124",84,-7,"LAK"
"125",47,-20,"LAK"
"126",60,15,"LAK"
"127",74,14,"LAK"
"128",52,-8,"LAK"
"129",54,21,"LAK"
"130",50,3,"LAK"
"131",69,1,"LAK"
"132",61,-3,"LAK"
"133",59,-14,"LAK"
"134",37,8,"LAK"
"135",66,2,"LAK"
"136",61,7,"LAK"
"137",57,-2,"LAK"
"138",45,-18,"LAK"
"139",66,21,"LAK"
"140",45,9,"LAK"
"141",60,-16,"LAK"
"142",6,1,"LAK"
"143",44,26,"LAK"
"144",27,-5,"LAK"
"145",32,-36,"LAK"
"146",83,10,"LAK"
"147",82,-3,"LAK"
"148",83,1,"LAK"
"149",46,-25,"LAK"
"150",49,-24,"LAK"
"151",82,6,"LAK"
"152",39,30,"LAK"
"153",62,-36,"LAK"
"154",73,34,"LAK"
"155",84,-5,"LAK"
"156",33,29,"LAK"
"157",65,20,"LAK"
"158",81,1,"LAK"
"159",64,8,"LAK"
"160",40,-13,"LAK"
"161",72,14,"LAK"
"162",50,-37,"LAK"
"163",39,-34,"LAK"
"164",58,8,"LAK"
"165",35,5,"LAK"
"166",73,-25,"LAK"
"167",41,29,"LAK"
"168",82,-9,"LAK"
"169",84,-7,"LAK"
"170",59,5,"LAK"
"171",51,-10,"LAK"
"172",76,-21,"LAK"
"173",81,21,"LAK"
"174",57,29,"LAK"
"175",38,29,"LAK"
"176",76,-26,"LAK"
"177",48,23,"LAK"
"178",54,-29,"LAK"
"179",79,1,"LAK"
"180",76,-2,"LAK"
"181",49,-32,"LAK"
"182",65,12,"LAK"
"183",42,28,"LAK"
"184",32,29,"LAK"
"185",21,5,"LAK"
"186",41,-20,"LAK"
"187",58,20,"LAK"
"188",41,-33,"LAK"
"189",57,-28,"LAK"
"190",82,-3,"LAK"
"191",45,38,"LAK"
"192",36,35,"LAK"
"193",69,17,"LAK"
"194",79,-3,"LAK"
"195",54,2,"LAK"
"196",76,3,"LAK"
"197",34,-38,"LAK"
"198",37,34,"LAK"
"199",82,26,"LAK"
"200",81,3,"LAK"
"201",48,-24,"LAK"
"202",78,-24,"LAK"
"203",40,27,"LAK"
"204",40,-23,"LAK"
"205",46,15,"LAK"
"206",82,-18,"LAK"
"207",40,23,"LAK"
"208",44,27,"LAK"
"209",84,17,"LAK"
"210",42,24,"LAK"
"211",44,19,"LAK"
"212",51,16,"LAK"
"213",61,-18,"LAK"
"214",77,6,"LAK"
"215",75,-22,"LAK"
"216",59,24,"LAK"
"217",31,32,"LAK"
"218",57,-35,"LAK"
"219",76,5,"LAK"
"220",36,17,"LAK"
"221",48,-29,"LAK"
"222",76,8,"LAK"
"223",81,-3,"LAK"
"224",63,28,"LAK"
"225",65,-19,"LAK"
"226",76,2,"LAK"
"227",44,-27,"LAK"
"228",77,7,"LAK"
"229",49,16,"LAK"
"230",60,35,"LAK"
"231",23,-7,"LAK"
"232",44,25,"LAK"
