"","x_coord","y_coord_flip","team"
"1",80,4,"MIN"
"2",32,19,"MIN"
"3",82,-5,"MIN"
"4",70,7,"MIN"
"5",83,1,"MIN"
"6",84,2,"MIN"
"7",80,2,"MIN"
"8",73,-3,"MIN"
"9",58,-4,"MIN"
"10",72,-20,"MIN"
"11",55,5,"MIN"
"12",68,4,"MIN"
"13",47,6,"MIN"
"14",68,-1,"MIN"
"15",81,5,"MIN"
"16",89,6,"MIN"
"17",82,3,"MIN"
"18",81,6,"MIN"
"19",85,6,"MIN"
"20",84,-2,"MIN"
"21",68,-17,"MIN"
"22",49,22,"MIN"
"23",81,5,"MIN"
"24",51,-29,"MIN"
"25",49,0,"MIN"
"26",4,-39,"MIN"
"27",85,-8,"MIN"
"28",60,-1,"MIN"
"29",91,-24,"MIN"
"30",78,-2,"MIN"
"31",35,-31,"MIN"
"32",82,7,"MIN"
"33",81,-4,"MIN"
"34",65,1,"MIN"
"35",80,-19,"MIN"
"36",66,15,"MIN"
"37",73,4,"MIN"
"38",73,-4,"MIN"
"39",63,8,"MIN"
"40",63,-18,"MIN"
"41",84,-6,"MIN"
"42",37,-5,"MIN"
"43",51,-16,"MIN"
"44",80,0,"MIN"
"45",74,14,"MIN"
"46",55,8,"MIN"
"47",84,-4,"MIN"
"48",77,-7,"MIN"
"49",81,-5,"MIN"
"50",67,15,"MIN"
"51",80,-4,"MIN"
"52",73,5,"MIN"
"53",78,1,"MIN"
"54",62,-2,"MIN"
"55",60,-3,"MIN"
"56",35,15,"MIN"
"57",82,-6,"MIN"
"58",70,9,"MIN"
"59",65,3,"MIN"
"60",90,-13,"MIN"
"61",32,25,"MIN"
"62",64,7,"MIN"
"63",51,23,"MIN"
"64",32,-20,"MIN"
"65",82,-1,"MIN"
"66",72,-10,"MIN"
"67",58,-21,"MIN"
"68",57,-7,"MIN"
"69",48,5,"MIN"
"70",73,-1,"MIN"
"71",77,9,"MIN"
"72",67,-15,"MIN"
"73",83,-5,"MIN"
"74",82,0,"MIN"
"75",14,33,"MIN"
"76",84,3,"MIN"
"77",79,-3,"MIN"
"78",51,-6,"MIN"
"79",54,-2,"MIN"
"80",87,5,"MIN"
"81",73,-16,"MIN"
"82",70,-4,"MIN"
"83",81,9,"MIN"
"84",76,0,"MIN"
"85",57,-21,"MIN"
"86",63,-12,"MIN"
"87",55,-21,"MIN"
"88",81,1,"MIN"
"89",82,-2,"MIN"
"90",68,-28,"MIN"
"91",67,0,"MIN"
"92",81,1,"MIN"
"93",76,1,"MIN"
"94",64,18,"MIN"
"95",81,-4,"MIN"
"96",53,-5,"MIN"
"97",53,-16,"MIN"
"98",79,-3,"MIN"
"99",59,-9,"MIN"
"100",39,-21,"MIN"
"101",62,36,"MIN"
"102",65,26,"MIN"
"103",79,0,"MIN"
"104",78,-10,"MIN"
"105",76,-1,"MIN"
"106",38,-7,"MIN"
"107",78,2,"MIN"
"108",84,3,"MIN"
"109",51,-1,"MIN"
"110",72,8,"MIN"
"111",80,1,"MIN"
"112",71,-8,"MIN"
"113",61,18,"MIN"
"114",61,-10,"MIN"
"115",79,1,"MIN"
"116",86,-3,"MIN"
"117",82,-31,"MIN"
"118",78,-16,"MIN"
"119",79,-14,"MIN"
"120",62,-9,"MIN"
"121",81,-5,"MIN"
"122",70,3,"MIN"
"123",53,15,"MIN"
"124",74,-3,"MIN"
"125",86,2,"MIN"
"126",63,-22,"MIN"
"127",84,2,"MIN"
"128",87,-1,"MIN"
"129",57,15,"MIN"
"130",85,4,"MIN"
"131",75,6,"MIN"
"132",69,-9,"MIN"
"133",61,6,"MIN"
"134",72,1,"MIN"
"135",80,4,"MIN"
"136",84,-4,"MIN"
"137",84,3,"MIN"
"138",79,-4,"MIN"
"139",64,14,"MIN"
"140",83,10,"MIN"
"141",85,12,"MIN"
"142",52,-18,"MIN"
"143",67,10,"MIN"
"144",64,-1,"MIN"
"145",47,0,"MIN"
"146",73,-10,"MIN"
"147",79,2,"MIN"
"148",89,11,"MIN"
"149",82,-4,"MIN"
"150",83,5,"MIN"
"151",70,3,"MIN"
"152",88,10,"MIN"
"153",73,-8,"MIN"
"154",76,5,"MIN"
"155",57,27,"MIN"
"156",76,13,"MIN"
"157",85,15,"MIN"
"158",52,-2,"MIN"
"159",70,8,"MIN"
"160",65,34,"MIN"
"161",78,-3,"MIN"
"162",85,5,"MIN"
"163",45,-23,"MIN"
"164",54,-17,"MIN"
"165",83,-3,"MIN"
"166",80,1,"MIN"
"167",84,9,"MIN"
"168",74,2,"MIN"
"169",79,5,"MIN"
"170",68,-1,"MIN"
"171",80,-1,"MIN"
"172",84,-5,"MIN"
"173",46,-27,"MIN"
"174",33,-16,"MIN"
"175",55,-10,"MIN"
"176",84,4,"MIN"
"177",70,-1,"MIN"
"178",83,-1,"MIN"
"179",64,-3,"MIN"
"180",42,1,"MIN"
"181",67,-7,"MIN"
"182",75,1,"MIN"
"183",81,2,"MIN"
"184",73,17,"MIN"
"185",53,1,"MIN"
"186",64,-6,"MIN"
"187",56,-16,"MIN"
"188",69,3,"MIN"
"189",73,-3,"MIN"
"190",38,-2,"MIN"
"191",70,-3,"MIN"
"192",77,-7,"MIN"
"193",80,-4,"MIN"
"194",60,-20,"MIN"
"195",81,1,"MIN"
"196",83,2,"MIN"
"197",63,-14,"MIN"
"198",44,1,"MIN"
"199",82,4,"MIN"
"200",81,0,"MIN"
"201",80,-1,"MIN"
"202",83,0,"MIN"
"203",61,7,"MIN"
"204",84,21,"MIN"
"205",91,20,"MIN"
"206",82,1,"MIN"
"207",76,-5,"MIN"
"208",81,4,"MIN"
"209",67,-4,"MIN"
"210",83,-25,"MIN"
"211",45,-6,"MIN"
"212",60,25,"MIN"
