"","x_coord","y_coord_flip","team"
"1",82,9,"MIN"
"2",54,30,"MIN"
"3",67,3,"MIN"
"4",75,-3,"MIN"
"5",52,-12,"MIN"
"6",66,0,"MIN"
"7",47,-21,"MIN"
"8",83,4,"MIN"
"9",81,5,"MIN"
"10",80,6,"MIN"
"11",81,0,"MIN"
"12",43,2,"MIN"
"13",78,18,"MIN"
"14",63,13,"MIN"
"15",67,-18,"MIN"
"16",34,30,"MIN"
"17",38,-22,"MIN"
"18",75,-9,"MIN"
"19",73,-8,"MIN"
"20",77,-34,"MIN"
"21",84,4,"MIN"
"22",69,31,"MIN"
"23",58,-20,"MIN"
"24",63,31,"MIN"
"25",71,-23,"MIN"
"26",78,33,"MIN"
"27",34,-22,"MIN"
"28",73,-8,"MIN"
"29",62,12,"MIN"
"30",82,-25,"MIN"
"31",66,-26,"MIN"
"32",3,17,"MIN"
"33",48,9,"MIN"
"34",73,-29,"MIN"
"35",85,-9,"MIN"
"36",43,-23,"MIN"
"37",37,15,"MIN"
"38",68,29,"MIN"
"39",75,20,"MIN"
"40",71,-10,"MIN"
"41",82,-7,"MIN"
"42",82,-3,"MIN"
"43",63,-37,"MIN"
"44",53,-25,"MIN"
"45",69,-3,"MIN"
"46",43,-35,"MIN"
"47",53,-18,"MIN"
"48",78,9,"MIN"
"49",36,29,"MIN"
"50",79,-3,"MIN"
"51",78,3,"MIN"
"52",76,-3,"MIN"
"53",58,-19,"MIN"
"54",58,-21,"MIN"
"55",14,-34,"MIN"
"56",79,3,"MIN"
"57",82,-17,"MIN"
"58",63,-22,"MIN"
"59",90,8,"MIN"
"60",82,4,"MIN"
"61",60,-12,"MIN"
"62",77,9,"MIN"
"63",82,-12,"MIN"
"64",78,-2,"MIN"
"65",83,7,"MIN"
"66",73,20,"MIN"
"67",53,-25,"MIN"
"68",81,-2,"MIN"
"69",59,-14,"MIN"
"70",78,10,"MIN"
"71",82,17,"MIN"
"72",43,-31,"MIN"
"73",82,0,"MIN"
"74",82,0,"MIN"
"75",60,-27,"MIN"
"76",76,37,"MIN"
"77",85,10,"MIN"
"78",75,3,"MIN"
"79",54,9,"MIN"
"80",79,-12,"MIN"
"81",52,27,"MIN"
"82",37,-34,"MIN"
"83",68,-22,"MIN"
"84",82,1,"MIN"
"85",46,35,"MIN"
"86",84,4,"MIN"
"87",82,4,"MIN"
"88",84,18,"MIN"
"89",78,1,"MIN"
"90",36,13,"MIN"
"91",69,38,"MIN"
"92",66,-14,"MIN"
"93",74,-2,"MIN"
"94",82,-5,"MIN"
"95",8,25,"MIN"
"96",70,15,"MIN"
"97",33,-20,"MIN"
"98",37,-26,"MIN"
"99",36,24,"MIN"
"100",46,19,"MIN"
"101",78,-3,"MIN"
"102",8,34,"MIN"
"103",57,11,"MIN"
"104",40,-22,"MIN"
"105",72,-14,"MIN"
"106",64,-2,"MIN"
"107",60,16,"MIN"
"108",62,-10,"MIN"
"109",4,26,"MIN"
"110",77,4,"MIN"
"111",52,-4,"MIN"
"112",55,14,"MIN"
"113",49,-29,"MIN"
"114",79,-2,"MIN"
"115",46,16,"MIN"
"116",75,-36,"MIN"
"117",87,5,"MIN"
"118",71,-33,"MIN"
"119",49,-13,"MIN"
"120",83,-6,"MIN"
"121",34,-25,"MIN"
"122",34,17,"MIN"
"123",34,13,"MIN"
"124",36,-32,"MIN"
"125",81,-13,"MIN"
"126",85,-10,"MIN"
"127",64,-17,"MIN"
"128",36,24,"MIN"
"129",42,14,"MIN"
"130",77,-1,"MIN"
"131",54,-12,"MIN"
"132",51,-21,"MIN"
"133",47,-17,"MIN"
"134",55,0,"MIN"
"135",51,-3,"MIN"
"136",62,-12,"MIN"
"137",62,2,"MIN"
"138",56,2,"MIN"
"139",75,1,"MIN"
"140",35,-32,"MIN"
"141",39,18,"MIN"
"142",46,16,"MIN"
"143",36,33,"MIN"
"144",83,7,"MIN"
"145",35,27,"MIN"
"146",42,-29,"MIN"
"147",43,29,"MIN"
"148",53,-9,"MIN"
"149",51,-37,"MIN"
"150",67,-2,"MIN"
"151",8,30,"MIN"
"152",40,-32,"MIN"
"153",62,-38,"MIN"
"154",66,4,"MIN"
"155",56,-30,"MIN"
"156",78,28,"MIN"
"157",79,-5,"MIN"
"158",85,16,"MIN"
"159",80,-5,"MIN"
"160",39,30,"MIN"
"161",72,28,"MIN"
