"","x_coord","y_coord_flip","team"
"1",87,3,"MTL"
"2",53,7,"MTL"
"3",75,5,"MTL"
"4",87,6,"MTL"
"5",79,6,"MTL"
"6",82,5,"MTL"
"7",87,-6,"MTL"
"8",72,-8,"MTL"
"9",70,-3,"MTL"
"10",84,13,"MTL"
"11",69,12,"MTL"
"12",68,-5,"MTL"
"13",74,0,"MTL"
"14",94,-10,"MTL"
"15",79,1,"MTL"
"16",75,1,"MTL"
"17",78,15,"MTL"
"18",86,-8,"MTL"
"19",75,-1,"MTL"
"20",72,12,"MTL"
"21",50,-13,"MTL"
"22",84,-6,"MTL"
"23",55,-21,"MTL"
"24",56,-21,"MTL"
"25",79,6,"MTL"
"26",59,-26,"MTL"
"27",80,5,"MTL"
"28",70,26,"MTL"
"29",64,-12,"MTL"
"30",89,-5,"MTL"
"31",55,-2,"MTL"
"32",76,-18,"MTL"
"33",72,7,"MTL"
"34",48,2,"MTL"
"35",81,1,"MTL"
"36",66,-24,"MTL"
"37",82,2,"MTL"
"38",82,-3,"MTL"
"39",78,-1,"MTL"
"40",64,-18,"MTL"
"41",10,21,"MTL"
"42",69,-3,"MTL"
"43",57,18,"MTL"
"44",51,-25,"MTL"
"45",33,-17,"MTL"
"46",71,-1,"MTL"
"47",61,-18,"MTL"
"48",79,7,"MTL"
"49",83,5,"MTL"
"50",81,-5,"MTL"
"51",92,-7,"MTL"
"52",81,-2,"MTL"
"53",79,-6,"MTL"
"54",68,18,"MTL"
"55",79,3,"MTL"
"56",79,3,"MTL"
"57",64,4,"MTL"
"58",79,-6,"MTL"
"59",79,4,"MTL"
"60",69,19,"MTL"
"61",78,-9,"MTL"
"62",72,-3,"MTL"
"63",81,5,"MTL"
"64",53,-17,"MTL"
"65",69,-6,"MTL"
"66",80,-1,"MTL"
"67",32,18,"MTL"
"68",85,-7,"MTL"
"69",82,0,"MTL"
"70",87,-8,"MTL"
"71",72,3,"MTL"
"72",62,31,"MTL"
"73",55,6,"MTL"
"74",66,-14,"MTL"
"75",75,3,"MTL"
"76",79,10,"MTL"
"77",70,17,"MTL"
"78",68,-4,"MTL"
"79",31,-20,"MTL"
"80",64,1,"MTL"
"81",64,-9,"MTL"
"82",64,9,"MTL"
"83",82,2,"MTL"
"84",82,5,"MTL"
"85",81,1,"MTL"
"86",64,-5,"MTL"
"87",64,18,"MTL"
"88",84,-3,"MTL"
"89",64,20,"MTL"
"90",36,-29,"MTL"
"91",74,10,"MTL"
"92",80,5,"MTL"
"93",81,-1,"MTL"
