"","x_coord","y_coord_flip","team"
"1",78,19,"MTL"
"2",47,23,"MTL"
"3",53,-14,"MTL"
"4",77,2,"MTL"
"5",80,-1,"MTL"
"6",74,-14,"MTL"
"7",84,-5,"MTL"
"8",42,10,"MTL"
"9",63,-13,"MTL"
"10",64,5,"MTL"
"11",70,18,"MTL"
"12",57,3,"MTL"
"13",84,5,"MTL"
"14",79,-5,"MTL"
"15",48,3,"MTL"
"16",76,-10,"MTL"
"17",70,-2,"MTL"
"18",46,-24,"MTL"
"19",76,4,"MTL"
"20",34,29,"MTL"
"21",54,-1,"MTL"
"22",49,-25,"MTL"
"23",55,11,"MTL"
"24",72,18,"MTL"
"25",78,-7,"MTL"
"26",78,3,"MTL"
"27",39,-27,"MTL"
"28",78,0,"MTL"
"29",54,-4,"MTL"
"30",20,-7,"MTL"
"31",38,15,"MTL"
"32",58,5,"MTL"
"33",76,0,"MTL"
"34",69,25,"MTL"
"35",68,11,"MTL"
"36",66,-11,"MTL"
"37",70,-16,"MTL"
"38",70,25,"MTL"
"39",43,-11,"MTL"
"40",62,-15,"MTL"
"41",39,-21,"MTL"
"42",71,-2,"MTL"
"43",79,2,"MTL"
"44",53,3,"MTL"
"45",74,-19,"MTL"
"46",52,37,"MTL"
"47",63,-14,"MTL"
"48",78,-1,"MTL"
"49",38,-12,"MTL"
"50",33,29,"MTL"
"51",32,28,"MTL"
"52",39,0,"MTL"
"53",79,-3,"MTL"
"54",37,30,"MTL"
"55",37,-1,"MTL"
"56",64,10,"MTL"
"57",90,-10,"MTL"
"58",80,-3,"MTL"
"59",42,-35,"MTL"
"60",82,6,"MTL"
"61",84,27,"MTL"
"62",31,13,"MTL"
"63",59,37,"MTL"
"64",31,-25,"MTL"
"65",76,10,"MTL"
"66",41,-18,"MTL"
"67",62,24,"MTL"
"68",63,27,"MTL"
"69",61,39,"MTL"
"70",61,-28,"MTL"
"71",50,-29,"MTL"
"72",32,-25,"MTL"
"73",54,36,"MTL"
"74",70,2,"MTL"
"75",54,37,"MTL"
"76",21,-12,"MTL"
"77",37,-38,"MTL"
"78",77,1,"MTL"
"79",33,16,"MTL"
"80",62,-9,"MTL"
"81",33,3,"MTL"
"82",48,38,"MTL"
"83",72,-4,"MTL"
"84",82,-1,"MTL"
"85",50,-34,"MTL"
"86",21,-38,"MTL"
"87",69,-19,"MTL"
"88",80,-5,"MTL"
"89",60,-26,"MTL"
"90",84,30,"MTL"
"91",70,27,"MTL"
"92",67,8,"MTL"
"93",79,25,"MTL"
"94",49,-23,"MTL"
"95",63,-14,"MTL"
"96",77,0,"MTL"
"97",30,-28,"MTL"
"98",85,-9,"MTL"
"99",58,-28,"MTL"
"100",85,-23,"MTL"
"101",54,-27,"MTL"
"102",63,-2,"MTL"
"103",36,17,"MTL"
"104",72,5,"MTL"
"105",61,8,"MTL"
"106",56,-31,"MTL"
"107",37,27,"MTL"
"108",37,33,"MTL"
"109",76,7,"MTL"
"110",67,9,"MTL"
"111",83,22,"MTL"
"112",59,25,"MTL"
"113",51,-30,"MTL"
"114",67,-22,"MTL"
"115",90,14,"MTL"
"116",28,36,"MTL"
"117",86,-17,"MTL"
"118",88,16,"MTL"
"119",65,-14,"MTL"
"120",81,4,"MTL"
"121",80,13,"MTL"
"122",81,-3,"MTL"
"123",37,-11,"MTL"
"124",78,11,"MTL"
"125",80,-27,"MTL"
"126",65,-7,"MTL"
"127",81,8,"MTL"
"128",82,-1,"MTL"
"129",65,15,"MTL"
"130",69,-36,"MTL"
"131",77,-18,"MTL"
"132",4,-25,"MTL"
"133",55,-27,"MTL"
"134",51,10,"MTL"
"135",59,22,"MTL"
"136",83,27,"MTL"
"137",31,26,"MTL"
"138",32,-8,"MTL"
"139",61,-12,"MTL"
"140",85,35,"MTL"
"141",65,-19,"MTL"
"142",81,-3,"MTL"
"143",65,-18,"MTL"
"144",66,-26,"MTL"
"145",79,7,"MTL"
"146",93,21,"MTL"
"147",59,9,"MTL"
"148",79,-4,"MTL"
"149",63,27,"MTL"
"150",87,9,"MTL"
"151",72,-27,"MTL"
"152",72,-9,"MTL"
"153",61,-27,"MTL"
"154",71,21,"MTL"
"155",64,1,"MTL"
"156",46,15,"MTL"
"157",69,-5,"MTL"
"158",32,14,"MTL"
"159",73,0,"MTL"
"160",74,-29,"MTL"
"161",37,-24,"MTL"
"162",77,-2,"MTL"
"163",61,0,"MTL"
"164",66,18,"MTL"
"165",46,-38,"MTL"
"166",46,20,"MTL"
"167",81,7,"MTL"
"168",70,-32,"MTL"
"169",70,33,"MTL"
"170",82,11,"MTL"
"171",69,-3,"MTL"
"172",79,10,"MTL"
"173",32,7,"MTL"
"174",50,33,"MTL"
"175",69,-22,"MTL"
"176",51,19,"MTL"
"177",86,-11,"MTL"
"178",75,0,"MTL"
"179",75,30,"MTL"
"180",47,-33,"MTL"
"181",69,30,"MTL"
"182",78,-22,"MTL"
"183",82,-5,"MTL"
"184",56,-19,"MTL"
"185",74,-6,"MTL"
"186",35,-1,"MTL"
"187",73,-34,"MTL"
"188",51,39,"MTL"
"189",34,31,"MTL"
"190",48,35,"MTL"
"191",36,-10,"MTL"
"192",78,-37,"MTL"
"193",74,2,"MTL"
"194",77,5,"MTL"
"195",71,14,"MTL"
"196",4,-15,"MTL"
"197",79,-21,"MTL"
"198",62,32,"MTL"
"199",34,0,"MTL"
"200",67,-34,"MTL"
"201",55,-21,"MTL"
"202",54,-24,"MTL"
"203",55,-35,"MTL"
"204",44,28,"MTL"
"205",22,-28,"MTL"
"206",42,29,"MTL"
"207",57,-8,"MTL"
"208",75,3,"MTL"
"209",63,5,"MTL"
"210",74,1,"MTL"
"211",76,3,"MTL"
"212",61,-33,"MTL"
"213",73,1,"MTL"
"214",58,2,"MTL"
"215",45,-12,"MTL"
"216",45,-14,"MTL"
"217",54,25,"MTL"
"218",38,26,"MTL"
"219",91,-7,"MTL"
"220",42,24,"MTL"
"221",57,15,"MTL"
"222",57,25,"MTL"
