"","x_coord","y_coord_flip","team"
"1",85,17,"NJD"
"2",54,-21,"NJD"
"3",65,3,"NJD"
"4",79,0,"NJD"
"5",92,-28,"NJD"
"6",82,0,"NJD"
"7",61,-16,"NJD"
"8",56,-10,"NJD"
"9",83,-11,"NJD"
"10",55,-9,"NJD"
"11",88,-4,"NJD"
"12",76,20,"NJD"
"13",82,5,"NJD"
"14",87,-2,"NJD"
"15",71,26,"NJD"
"16",61,3,"NJD"
"17",48,11,"NJD"
"18",77,2,"NJD"
"19",58,-3,"NJD"
"20",79,0,"NJD"
"21",62,-13,"NJD"
"22",54,24,"NJD"
"23",33,-6,"NJD"
"24",74,-6,"NJD"
"25",76,3,"NJD"
"26",79,2,"NJD"
"27",79,4,"NJD"
"28",78,1,"NJD"
"29",74,0,"NJD"
"30",73,3,"NJD"
"31",70,16,"NJD"
"32",77,-2,"NJD"
"33",41,36,"NJD"
"34",83,19,"NJD"
"35",63,16,"NJD"
"36",79,-3,"NJD"
"37",83,-7,"NJD"
"38",71,-14,"NJD"
"39",77,0,"NJD"
"40",56,13,"NJD"
"41",81,4,"NJD"
"42",37,-20,"NJD"
"43",83,7,"NJD"
"44",66,0,"NJD"
"45",65,-27,"NJD"
"46",84,-1,"NJD"
"47",37,7,"NJD"
"48",77,3,"NJD"
"49",52,-10,"NJD"
"50",38,0,"NJD"
"51",87,-4,"NJD"
"52",20,1,"NJD"
"53",70,-13,"NJD"
"54",63,11,"NJD"
"55",78,0,"NJD"
"56",76,1,"NJD"
"57",74,4,"NJD"
"58",60,0,"NJD"
"59",75,9,"NJD"
"60",67,8,"NJD"
"61",80,1,"NJD"
"62",72,-2,"NJD"
"63",85,-7,"NJD"
"64",74,7,"NJD"
"65",51,6,"NJD"
"66",74,8,"NJD"
"67",59,-3,"NJD"
"68",79,0,"NJD"
"69",82,-1,"NJD"
"70",85,-15,"NJD"
"71",82,-4,"NJD"
"72",63,6,"NJD"
"73",81,-4,"NJD"
"74",86,1,"NJD"
"75",68,14,"NJD"
"76",65,20,"NJD"
"77",61,17,"NJD"
"78",65,-11,"NJD"
"79",31,33,"NJD"
"80",76,4,"NJD"
"81",83,-27,"NJD"
"82",80,-5,"NJD"
"83",67,-11,"NJD"
"84",79,16,"NJD"
"85",75,-2,"NJD"
"86",79,2,"NJD"
"87",81,-34,"NJD"
"88",80,2,"NJD"
"89",62,3,"NJD"
"90",67,-1,"NJD"
"91",92,-9,"NJD"
"92",87,-13,"NJD"
"93",82,6,"NJD"
"94",74,3,"NJD"
"95",70,1,"NJD"
"96",42,-5,"NJD"
"97",80,1,"NJD"
"98",66,4,"NJD"
"99",73,3,"NJD"
"100",66,7,"NJD"
"101",61,27,"NJD"
"102",71,10,"NJD"
"103",78,-18,"NJD"
"104",70,-32,"NJD"
"105",38,-37,"NJD"
"106",72,-8,"NJD"
"107",81,9,"NJD"
"108",49,20,"NJD"
"109",83,7,"NJD"
"110",22,28,"NJD"
"111",81,-6,"NJD"
"112",55,-14,"NJD"
"113",40,-11,"NJD"
"114",42,3,"NJD"
"115",81,2,"NJD"
"116",61,0,"NJD"
"117",82,5,"NJD"
"118",69,12,"NJD"
"119",79,6,"NJD"
"120",79,-6,"NJD"
"121",78,3,"NJD"
"122",81,5,"NJD"
"123",47,-12,"NJD"
"124",81,-14,"NJD"
"125",82,7,"NJD"
"126",79,-6,"NJD"
"127",48,-13,"NJD"
"128",79,21,"NJD"
"129",80,-2,"NJD"
"130",80,3,"NJD"
"131",79,4,"NJD"
"132",70,-5,"NJD"
"133",75,-31,"NJD"
"134",87,-1,"NJD"
"135",41,-13,"NJD"
"136",61,0,"NJD"
"137",71,2,"NJD"
"138",77,1,"NJD"
"139",67,4,"NJD"
"140",78,-1,"NJD"
"141",69,3,"NJD"
"142",67,-21,"NJD"
"143",58,18,"NJD"
"144",50,1,"NJD"
"145",74,-2,"NJD"
