"","x_coord","y_coord_flip","team"
"1",59,-1,"NJD"
"2",31,24,"NJD"
"3",44,-2,"NJD"
"4",59,1,"NJD"
"5",48,-11,"NJD"
"6",57,31,"NJD"
"7",55,-6,"NJD"
"8",63,-16,"NJD"
"9",56,8,"NJD"
"10",53,-19,"NJD"
"11",77,1,"NJD"
"12",55,-14,"NJD"
"13",73,5,"NJD"
"14",60,-15,"NJD"
"15",55,-21,"NJD"
"16",57,-24,"NJD"
"17",54,-3,"NJD"
"18",60,-9,"NJD"
"19",47,25,"NJD"
"20",66,-1,"NJD"
"21",61,10,"NJD"
"22",58,18,"NJD"
"23",75,-39,"NJD"
"24",79,35,"NJD"
"25",40,-27,"NJD"
"26",57,-18,"NJD"
"27",53,-1,"NJD"
"28",67,5,"NJD"
"29",78,-16,"NJD"
"30",85,13,"NJD"
"31",72,7,"NJD"
"32",77,8,"NJD"
"33",85,5,"NJD"
"34",34,31,"NJD"
"35",81,-21,"NJD"
"36",70,-11,"NJD"
"37",78,2,"NJD"
"38",80,-21,"NJD"
"39",44,-23,"NJD"
"40",64,-16,"NJD"
"41",57,0,"NJD"
"42",72,17,"NJD"
"43",65,24,"NJD"
"44",23,-5,"NJD"
"45",81,-3,"NJD"
"46",69,-19,"NJD"
"47",90,-10,"NJD"
"48",37,-17,"NJD"
"49",66,6,"NJD"
"50",78,8,"NJD"
"51",74,29,"NJD"
"52",51,35,"NJD"
"53",51,-11,"NJD"
"54",46,28,"NJD"
"55",72,-31,"NJD"
"56",59,32,"NJD"
"57",70,-19,"NJD"
"58",76,-4,"NJD"
"59",72,-2,"NJD"
"60",35,5,"NJD"
"61",63,9,"NJD"
"62",52,-33,"NJD"
"63",37,-18,"NJD"
"64",51,-10,"NJD"
"65",48,-1,"NJD"
"66",71,14,"NJD"
"67",57,-11,"NJD"
"68",72,7,"NJD"
"69",74,3,"NJD"
"70",31,-1,"NJD"
"71",47,-20,"NJD"
"72",58,22,"NJD"
"73",42,-12,"NJD"
"74",47,25,"NJD"
"75",50,30,"NJD"
"76",37,-16,"NJD"
"77",65,27,"NJD"
"78",31,29,"NJD"
"79",36,6,"NJD"
"80",39,0,"NJD"
"81",49,24,"NJD"
"82",49,-11,"NJD"
"83",67,1,"NJD"
"84",74,21,"NJD"
"85",80,5,"NJD"
"86",74,-4,"NJD"
"87",41,-6,"NJD"
"88",42,-22,"NJD"
"89",78,-22,"NJD"
"90",67,32,"NJD"
"91",39,27,"NJD"
"92",74,0,"NJD"
"93",39,13,"NJD"
"94",61,1,"NJD"
"95",39,12,"NJD"
"96",76,-17,"NJD"
"97",56,19,"NJD"
"98",74,-16,"NJD"
"99",65,6,"NJD"
"100",65,-20,"NJD"
"101",55,-23,"NJD"
"102",71,0,"NJD"
"103",61,-13,"NJD"
"104",78,12,"NJD"
"105",60,-21,"NJD"
"106",57,31,"NJD"
"107",42,-25,"NJD"
"108",73,-2,"NJD"
"109",56,11,"NJD"
"110",81,-3,"NJD"
"111",59,-1,"NJD"
"112",60,-20,"NJD"
"113",79,-2,"NJD"
"114",3,37,"NJD"
"115",46,21,"NJD"
"116",71,-5,"NJD"
"117",89,-6,"NJD"
"118",39,-29,"NJD"
"119",43,29,"NJD"
"120",83,-7,"NJD"
"121",72,-2,"NJD"
"122",60,15,"NJD"
"123",84,-20,"NJD"
"124",86,8,"NJD"
"125",78,-20,"NJD"
"126",42,10,"NJD"
"127",56,-7,"NJD"
"128",57,-28,"NJD"
"129",42,-29,"NJD"
"130",25,22,"NJD"
"131",67,-17,"NJD"
"132",52,-16,"NJD"
"133",39,1,"NJD"
"134",77,-18,"NJD"
"135",62,21,"NJD"
"136",86,33,"NJD"
"137",87,-7,"NJD"
"138",47,31,"NJD"
"139",52,-28,"NJD"
"140",77,0,"NJD"
"141",70,24,"NJD"
"142",74,2,"NJD"
"143",50,20,"NJD"
"144",41,-19,"NJD"
"145",53,-25,"NJD"
"146",76,-14,"NJD"
"147",75,-7,"NJD"
"148",49,9,"NJD"
"149",48,27,"NJD"
"150",49,-29,"NJD"
"151",60,27,"NJD"
"152",61,12,"NJD"
"153",51,-23,"NJD"
"154",58,29,"NJD"
"155",79,7,"NJD"
"156",83,8,"NJD"
"157",58,2,"NJD"
"158",61,23,"NJD"
"159",29,6,"NJD"
"160",35,-27,"NJD"
"161",54,5,"NJD"
"162",87,-7,"NJD"
"163",85,-5,"NJD"
"164",75,-15,"NJD"
"165",58,19,"NJD"
"166",58,-25,"NJD"
"167",64,29,"NJD"
"168",56,4,"NJD"
"169",35,3,"NJD"
"170",16,-4,"NJD"
"171",57,-12,"NJD"
"172",55,-13,"NJD"
"173",35,-24,"NJD"
"174",1,-29,"NJD"
"175",57,33,"NJD"
"176",75,-1,"NJD"
"177",33,-25,"NJD"
"178",44,27,"NJD"
"179",51,-28,"NJD"
"180",84,-12,"NJD"
"181",77,6,"NJD"
"182",70,-14,"NJD"
"183",48,-32,"NJD"
"184",17,-8,"NJD"
"185",32,2,"NJD"
"186",37,-3,"NJD"
"187",70,-2,"NJD"
"188",75,-18,"NJD"
"189",78,1,"NJD"
"190",57,25,"NJD"
"191",50,-18,"NJD"
"192",68,9,"NJD"
"193",57,-16,"NJD"
"194",57,-21,"NJD"
"195",60,-21,"NJD"
"196",68,16,"NJD"
"197",66,-33,"NJD"
"198",55,12,"NJD"
"199",58,1,"NJD"
"200",68,15,"NJD"
"201",45,-23,"NJD"
"202",78,-5,"NJD"
"203",57,26,"NJD"
"204",43,-2,"NJD"
"205",60,27,"NJD"
"206",76,23,"NJD"
"207",80,-3,"NJD"
"208",38,-14,"NJD"
"209",11,-21,"NJD"
"210",81,-5,"NJD"
"211",34,-16,"NJD"
"212",81,-2,"NJD"
"213",53,-19,"NJD"
"214",61,24,"NJD"
"215",76,11,"NJD"
"216",43,-14,"NJD"
"217",58,31,"NJD"
"218",76,1,"NJD"
"219",73,-4,"NJD"
"220",57,2,"NJD"
"221",14,-33,"NJD"
"222",60,-29,"NJD"
"223",39,29,"NJD"
"224",54,-32,"NJD"
"225",63,-16,"NJD"
"226",23,-18,"NJD"
"227",43,16,"NJD"
"228",41,30,"NJD"
"229",70,4,"NJD"
"230",68,23,"NJD"
"231",42,3,"NJD"
"232",57,1,"NJD"
"233",63,-21,"NJD"
"234",68,-23,"NJD"
"235",56,-15,"NJD"
"236",57,-1,"NJD"
"237",63,26,"NJD"
"238",35,25,"NJD"
"239",60,-13,"NJD"
"240",75,5,"NJD"
