"","x_coord","y_coord_flip","team"
"1",61,18,"NSH"
"2",40,5,"NSH"
"3",78,28,"NSH"
"4",82,3,"NSH"
"5",67,8,"NSH"
"6",62,-3,"NSH"
"7",73,-9,"NSH"
"8",80,-3,"NSH"
"9",60,0,"NSH"
"10",82,1,"NSH"
"11",79,7,"NSH"
"12",72,15,"NSH"
"13",73,-19,"NSH"
"14",81,-2,"NSH"
"15",87,35,"NSH"
"16",82,3,"NSH"
"17",57,6,"NSH"
"18",70,1,"NSH"
"19",81,1,"NSH"
"20",73,-1,"NSH"
"21",80,-3,"NSH"
"22",82,11,"NSH"
"23",68,13,"NSH"
"24",3,2,"NSH"
"25",73,11,"NSH"
"26",76,15,"NSH"
"27",49,25,"NSH"
"28",81,3,"NSH"
"29",73,1,"NSH"
"30",70,0,"NSH"
"31",64,-23,"NSH"
"32",54,-28,"NSH"
"33",53,3,"NSH"
"34",64,16,"NSH"
"35",42,1,"NSH"
"36",67,20,"NSH"
"37",67,-1,"NSH"
"38",57,7,"NSH"
"39",83,5,"NSH"
"40",64,20,"NSH"
"41",69,12,"NSH"
"42",79,1,"NSH"
"43",79,-2,"NSH"
"44",76,-4,"NSH"
"45",71,-5,"NSH"
"46",76,1,"NSH"
"47",71,-1,"NSH"
"48",80,-5,"NSH"
"49",61,5,"NSH"
"50",78,5,"NSH"
"51",56,5,"NSH"
"52",62,-16,"NSH"
"53",83,-5,"NSH"
"54",44,19,"NSH"
"55",84,21,"NSH"
"56",67,-15,"NSH"
"57",58,20,"NSH"
"58",68,-15,"NSH"
"59",78,-6,"NSH"
"60",74,3,"NSH"
"61",67,-15,"NSH"
"62",86,-5,"NSH"
"63",66,33,"NSH"
"64",57,25,"NSH"
"65",61,1,"NSH"
"66",62,-11,"NSH"
"67",59,10,"NSH"
"68",41,22,"NSH"
"69",63,-23,"NSH"
"70",66,25,"NSH"
"71",81,-3,"NSH"
"72",88,7,"NSH"
"73",72,0,"NSH"
"74",66,-40,"NSH"
"75",75,4,"NSH"
"76",72,-2,"NSH"
