"","x_coord","y_coord_flip","team"
"1",66,12,"NSH"
"2",51,11,"NSH"
"3",84,6,"NSH"
"4",83,7,"NSH"
"5",69,-17,"NSH"
"6",78,4,"NSH"
"7",72,14,"NSH"
"8",77,-1,"NSH"
"9",72,-14,"NSH"
"10",75,-30,"NSH"
"11",69,17,"NSH"
"12",77,-21,"NSH"
"13",51,28,"NSH"
"14",42,-1,"NSH"
"15",50,33,"NSH"
"16",64,1,"NSH"
"17",50,-31,"NSH"
"18",82,-17,"NSH"
"19",46,31,"NSH"
"20",71,18,"NSH"
"21",35,21,"NSH"
"22",88,29,"NSH"
"23",55,-38,"NSH"
"24",45,1,"NSH"
"25",84,-5,"NSH"
"26",65,1,"NSH"
"27",63,-14,"NSH"
"28",64,19,"NSH"
"29",69,9,"NSH"
"30",63,35,"NSH"
"31",37,-27,"NSH"
"32",66,-27,"NSH"
"33",55,1,"NSH"
"34",84,6,"NSH"
"35",81,-3,"NSH"
"36",88,-8,"NSH"
"37",76,-15,"NSH"
"38",84,5,"NSH"
"39",74,12,"NSH"
"40",52,4,"NSH"
"41",61,-34,"NSH"
"42",61,16,"NSH"
"43",42,3,"NSH"
"44",60,-1,"NSH"
"45",42,-27,"NSH"
"46",31,31,"NSH"
"47",44,21,"NSH"
"48",59,30,"NSH"
"49",43,18,"NSH"
"50",68,-36,"NSH"
"51",70,-17,"NSH"
"52",73,24,"NSH"
"53",73,19,"NSH"
"54",71,-8,"NSH"
"55",34,35,"NSH"
"56",66,-35,"NSH"
"57",23,29,"NSH"
"58",72,-16,"NSH"
"59",48,-32,"NSH"
"60",63,33,"NSH"
"61",65,19,"NSH"
"62",64,14,"NSH"
"63",46,17,"NSH"
"64",47,-1,"NSH"
"65",56,6,"NSH"
"66",84,-5,"NSH"
"67",86,-6,"NSH"
"68",88,-5,"NSH"
"69",39,3,"NSH"
"70",55,34,"NSH"
"71",82,2,"NSH"
"72",51,-1,"NSH"
"73",69,7,"NSH"
"74",38,25,"NSH"
"75",57,23,"NSH"
"76",54,5,"NSH"
"77",83,-1,"NSH"
"78",87,11,"NSH"
"79",57,-14,"NSH"
"80",58,-13,"NSH"
"81",53,-13,"NSH"
"82",72,37,"NSH"
"83",57,35,"NSH"
"84",52,-4,"NSH"
"85",47,-22,"NSH"
"86",85,-7,"NSH"
"87",49,-26,"NSH"
"88",37,-36,"NSH"
"89",87,-5,"NSH"
"90",86,-5,"NSH"
"91",26,-5,"NSH"
"92",37,25,"NSH"
"93",64,36,"NSH"
"94",71,14,"NSH"
"95",49,33,"NSH"
"96",69,32,"NSH"
"97",37,-30,"NSH"
"98",69,7,"NSH"
"99",66,28,"NSH"
"100",66,23,"NSH"
"101",84,-30,"NSH"
"102",72,14,"NSH"
"103",62,17,"NSH"
"104",47,0,"NSH"
"105",85,-14,"NSH"
"106",46,18,"NSH"
"107",63,-18,"NSH"
"108",73,10,"NSH"
"109",83,-5,"NSH"
"110",84,2,"NSH"
"111",86,5,"NSH"
"112",52,-20,"NSH"
"113",82,-6,"NSH"
"114",58,-19,"NSH"
"115",40,-8,"NSH"
"116",79,-14,"NSH"
"117",55,2,"NSH"
"118",52,37,"NSH"
"119",79,1,"NSH"
"120",46,-21,"NSH"
"121",43,25,"NSH"
"122",73,7,"NSH"
"123",79,-5,"NSH"
"124",39,27,"NSH"
"125",55,-24,"NSH"
"126",68,-13,"NSH"
"127",51,6,"NSH"
"128",67,-1,"NSH"
"129",42,-20,"NSH"
"130",65,6,"NSH"
"131",35,-23,"NSH"
"132",88,-6,"NSH"
"133",80,-29,"NSH"
"134",52,-23,"NSH"
"135",56,21,"NSH"
"136",79,3,"NSH"
"137",82,1,"NSH"
"138",72,-1,"NSH"
"139",60,-23,"NSH"
"140",64,-34,"NSH"
"141",78,3,"NSH"
"142",55,-17,"NSH"
"143",58,-14,"NSH"
"144",81,35,"NSH"
"145",78,-10,"NSH"
"146",55,23,"NSH"
"147",48,16,"NSH"
"148",38,-12,"NSH"
"149",70,-1,"NSH"
"150",58,-36,"NSH"
"151",66,1,"NSH"
"152",35,3,"NSH"
"153",86,13,"NSH"
"154",57,23,"NSH"
"155",54,-16,"NSH"
"156",34,26,"NSH"
"157",41,-25,"NSH"
"158",34,2,"NSH"
"159",51,21,"NSH"
"160",74,-9,"NSH"
"161",29,-24,"NSH"
"162",45,-29,"NSH"
"163",35,3,"NSH"
"164",66,-23,"NSH"
"165",63,-26,"NSH"
"166",55,-8,"NSH"
"167",57,-30,"NSH"
"168",4,-24,"NSH"
"169",85,5,"NSH"
"170",67,27,"NSH"
"171",8,-25,"NSH"
"172",63,-19,"NSH"
"173",65,11,"NSH"
"174",90,19,"NSH"
"175",75,-23,"NSH"
"176",87,-5,"NSH"
"177",82,-1,"NSH"
"178",81,-1,"NSH"
"179",72,-9,"NSH"
"180",76,6,"NSH"
"181",60,-21,"NSH"
"182",42,11,"NSH"
"183",66,10,"NSH"
"184",29,-18,"NSH"
"185",67,16,"NSH"
"186",39,0,"NSH"
"187",73,-16,"NSH"
"188",63,20,"NSH"
"189",42,-21,"NSH"
"190",85,-6,"NSH"
"191",59,21,"NSH"
"192",96,-3,"NSH"
"193",0,-2,"NSH"
"194",16,16,"NSH"
"195",52,-12,"NSH"
"196",40,-28,"NSH"
"197",45,19,"NSH"
"198",70,-23,"NSH"
"199",40,4,"NSH"
"200",87,-16,"NSH"
"201",36,24,"NSH"
"202",65,-16,"NSH"
"203",77,30,"NSH"
"204",41,-20,"NSH"
"205",33,10,"NSH"
"206",47,-26,"NSH"
"207",55,-23,"NSH"
"208",59,-26,"NSH"
"209",62,-35,"NSH"
"210",70,-16,"NSH"
"211",73,20,"NSH"
"212",71,-2,"NSH"
"213",57,25,"NSH"
"214",85,2,"NSH"
"215",16,-2,"NSH"
"216",89,4,"NSH"
"217",81,-10,"NSH"
"218",71,-5,"NSH"
"219",43,-24,"NSH"
"220",35,-6,"NSH"
"221",67,18,"NSH"
"222",83,7,"NSH"
"223",82,-2,"NSH"
"224",57,-16,"NSH"
"225",52,-18,"NSH"
"226",93,19,"NSH"
"227",75,-9,"NSH"
"228",36,-27,"NSH"
"229",33,23,"NSH"
"230",56,-37,"NSH"
"231",1,-34,"NSH"
"232",73,-7,"NSH"
"233",62,-15,"NSH"
"234",80,4,"NSH"
"235",60,-18,"NSH"
"236",55,-25,"NSH"
"237",35,21,"NSH"
"238",39,21,"NSH"
"239",53,35,"NSH"
"240",55,1,"NSH"
"241",39,30,"NSH"
"242",67,-1,"NSH"
"243",71,-1,"NSH"
"244",79,1,"NSH"
"245",53,0,"NSH"
"246",68,0,"NSH"
"247",56,-23,"NSH"
"248",63,-29,"NSH"
"249",69,-21,"NSH"
"250",70,21,"NSH"
"251",71,-5,"NSH"
"252",45,22,"NSH"
"253",46,3,"NSH"
"254",44,23,"NSH"
"255",62,-15,"NSH"
"256",46,-17,"NSH"
"257",52,25,"NSH"
"258",67,-23,"NSH"
"259",76,14,"NSH"
"260",61,-12,"NSH"
"261",58,1,"NSH"
"262",73,-16,"NSH"
"263",58,33,"NSH"
"264",64,-20,"NSH"
"265",40,22,"NSH"
"266",59,-22,"NSH"
"267",50,-2,"NSH"
"268",61,24,"NSH"
"269",83,-4,"NSH"
"270",56,11,"NSH"
"271",53,1,"NSH"
"272",46,20,"NSH"
"273",72,18,"NSH"
"274",79,8,"NSH"
"275",65,8,"NSH"
"276",76,-36,"NSH"
"277",27,1,"NSH"
"278",80,1,"NSH"
"279",38,-16,"NSH"
"280",83,11,"NSH"
"281",84,-3,"NSH"
"282",89,-7,"NSH"
"283",78,-10,"NSH"
"284",72,38,"NSH"
"285",70,-21,"NSH"
"286",66,-37,"NSH"
"287",39,-15,"NSH"
"288",67,18,"NSH"
"289",83,-16,"NSH"
"290",82,-7,"NSH"
"291",61,-2,"NSH"
"292",75,14,"NSH"
"293",68,-1,"NSH"
"294",63,-20,"NSH"
"295",67,-40,"NSH"
"296",68,1,"NSH"
"297",1,12,"NSH"
"298",61,24,"NSH"
"299",85,-26,"NSH"
"300",63,8,"NSH"
"301",84,17,"NSH"
"302",38,-27,"NSH"
"303",58,-7,"NSH"
"304",66,-28,"NSH"
"305",42,-3,"NSH"
"306",79,7,"NSH"
"307",85,13,"NSH"
"308",56,-17,"NSH"
"309",76,-8,"NSH"
"310",81,2,"NSH"
"311",79,7,"NSH"
"312",46,-16,"NSH"
"313",34,-8,"NSH"
"314",79,2,"NSH"
"315",82,-20,"NSH"
"316",51,26,"NSH"
"317",78,17,"NSH"
"318",84,8,"NSH"
"319",83,9,"NSH"
"320",88,-5,"NSH"
"321",87,-5,"NSH"
"322",79,-18,"NSH"
"323",65,-18,"NSH"
"324",79,-25,"NSH"
"325",66,-12,"NSH"
"326",41,20,"NSH"
"327",50,22,"NSH"
"328",71,6,"NSH"
"329",47,25,"NSH"
"330",60,14,"NSH"
"331",71,-21,"NSH"
"332",43,23,"NSH"
"333",52,-10,"NSH"
"334",28,-29,"NSH"
"335",34,-24,"NSH"
"336",66,13,"NSH"
"337",79,0,"NSH"
"338",64,-7,"NSH"
"339",66,10,"NSH"
"340",60,-5,"NSH"
"341",49,-10,"NSH"
"342",71,9,"NSH"
"343",66,-13,"NSH"
"344",72,-5,"NSH"
"345",53,20,"NSH"
"346",52,21,"NSH"
"347",47,26,"NSH"
"348",61,-22,"NSH"
"349",35,-10,"NSH"
"350",58,-27,"NSH"
"351",32,-31,"NSH"
"352",54,27,"NSH"
"353",79,-25,"NSH"
"354",75,-4,"NSH"
"355",36,-23,"NSH"
"356",51,24,"NSH"
"357",37,14,"NSH"
"358",48,-28,"NSH"
"359",51,12,"NSH"
"360",52,-23,"NSH"
"361",61,6,"NSH"
"362",78,15,"NSH"
"363",84,7,"NSH"
"364",53,-22,"NSH"
"365",56,-37,"NSH"
"366",78,1,"NSH"
"367",55,24,"NSH"
"368",41,15,"NSH"
"369",39,26,"NSH"
"370",47,-28,"NSH"
"371",64,-3,"NSH"
"372",74,-10,"NSH"
"373",1,20,"NSH"
"374",14,39,"NSH"
"375",67,23,"NSH"
"376",37,-29,"NSH"
"377",79,-3,"NSH"
"378",34,-23,"NSH"
"379",33,22,"NSH"
"380",33,31,"NSH"
"381",61,-24,"NSH"
"382",56,-25,"NSH"
"383",70,-14,"NSH"
"384",63,-36,"NSH"
"385",38,-32,"NSH"
"386",34,27,"NSH"
"387",64,-19,"NSH"
"388",32,-3,"NSH"
"389",35,16,"NSH"
"390",81,7,"NSH"
"391",36,-26,"NSH"
"392",61,26,"NSH"
"393",58,22,"NSH"
"394",67,-4,"NSH"
"395",71,32,"NSH"
"396",35,32,"NSH"
"397",54,-7,"NSH"
"398",34,-5,"NSH"
"399",64,-37,"NSH"
"400",82,-28,"NSH"
"401",85,7,"NSH"
"402",78,5,"NSH"
"403",68,6,"NSH"
"404",47,27,"NSH"
"405",35,-29,"NSH"
"406",69,40,"NSH"
"407",80,2,"NSH"
"408",46,7,"NSH"
"409",71,18,"NSH"
"410",13,-38,"NSH"
"411",61,-4,"NSH"
"412",46,-24,"NSH"
"413",42,5,"NSH"
"414",5,18,"NSH"
"415",72,15,"NSH"
"416",59,-13,"NSH"
"417",76,11,"NSH"
"418",54,20,"NSH"
"419",46,10,"NSH"
"420",48,-32,"NSH"
"421",61,-7,"NSH"
"422",83,-7,"NSH"
"423",42,-19,"NSH"
"424",79,2,"NSH"
"425",74,7,"NSH"
"426",71,-26,"NSH"
"427",71,14,"NSH"
"428",63,-21,"NSH"
"429",81,-8,"NSH"
"430",81,-8,"NSH"
"431",46,-23,"NSH"
"432",85,27,"NSH"
"433",86,-8,"NSH"
"434",57,-23,"NSH"
"435",77,7,"NSH"
"436",66,36,"NSH"
"437",3,33,"NSH"
"438",60,36,"NSH"
"439",52,20,"NSH"
"440",44,-28,"NSH"
"441",27,-34,"NSH"
"442",52,-29,"NSH"
"443",61,-5,"NSH"
"444",63,-14,"NSH"
"445",34,21,"NSH"
"446",55,18,"NSH"
"447",32,-3,"NSH"
"448",78,-1,"NSH"
"449",54,-19,"NSH"
"450",86,23,"NSH"
"451",69,14,"NSH"
"452",72,9,"NSH"
"453",52,25,"NSH"
"454",75,-5,"NSH"
"455",67,12,"NSH"
"456",47,29,"NSH"
"457",60,-17,"NSH"
"458",85,-24,"NSH"
"459",88,-26,"NSH"
"460",91,-14,"NSH"
