"","x_coord","y_coord_flip","team"
"1",78,-10,"NYI"
"2",69,19,"NYI"
"3",81,2,"NYI"
"4",47,-5,"NYI"
"5",82,0,"NYI"
"6",79,0,"NYI"
"7",77,-2,"NYI"
"8",69,-3,"NYI"
"9",43,-24,"NYI"
"10",76,5,"NYI"
"11",73,14,"NYI"
"12",77,-1,"NYI"
"13",77,-7,"NYI"
"14",67,20,"NYI"
"15",82,12,"NYI"
"16",76,11,"NYI"
"17",60,9,"NYI"
"18",82,0,"NYI"
"19",84,0,"NYI"
"20",62,-7,"NYI"
"21",76,-5,"NYI"
"22",55,25,"NYI"
"23",78,-3,"NYI"
"24",66,-4,"NYI"
"25",71,-8,"NYI"
"26",47,6,"NYI"
"27",82,-7,"NYI"
"28",70,8,"NYI"
"29",71,1,"NYI"
"30",52,0,"NYI"
"31",76,-8,"NYI"
"32",77,-3,"NYI"
"33",75,4,"NYI"
"34",83,-1,"NYI"
"35",76,-8,"NYI"
"36",82,22,"NYI"
"37",71,3,"NYI"
"38",78,5,"NYI"
"39",73,-3,"NYI"
"40",83,4,"NYI"
"41",77,-7,"NYI"
"42",88,-21,"NYI"
"43",41,15,"NYI"
"44",62,-8,"NYI"
"45",64,-3,"NYI"
"46",71,-1,"NYI"
"47",75,10,"NYI"
"48",77,-3,"NYI"
"49",68,-3,"NYI"
"50",85,19,"NYI"
"51",82,-8,"NYI"
"52",77,0,"NYI"
"53",80,-1,"NYI"
"54",71,-4,"NYI"
"55",71,-8,"NYI"
"56",33,15,"NYI"
"57",66,10,"NYI"
"58",78,6,"NYI"
"59",78,8,"NYI"
"60",69,-5,"NYI"
"61",69,-22,"NYI"
"62",77,3,"NYI"
"63",91,-11,"NYI"
"64",82,7,"NYI"
"65",82,-5,"NYI"
"66",78,5,"NYI"
"67",78,-2,"NYI"
"68",79,-5,"NYI"
"69",81,4,"NYI"
"70",69,8,"NYI"
"71",74,10,"NYI"
"72",77,0,"NYI"
"73",78,-7,"NYI"
"74",81,7,"NYI"
"75",80,3,"NYI"
"76",66,-1,"NYI"
"77",82,1,"NYI"
"78",79,-3,"NYI"
"79",72,-8,"NYI"
"80",82,-3,"NYI"
"81",63,8,"NYI"
"82",79,5,"NYI"
"83",73,9,"NYI"
"84",74,-6,"NYI"
"85",76,-1,"NYI"
"86",54,0,"NYI"
"87",76,10,"NYI"
"88",81,7,"NYI"
"89",84,7,"NYI"
"90",79,-1,"NYI"
"91",66,1,"NYI"
"92",47,-35,"NYI"
"93",79,-5,"NYI"
"94",53,34,"NYI"
"95",83,22,"NYI"
"96",62,8,"NYI"
"97",70,-30,"NYI"
"98",55,-4,"NYI"
"99",56,2,"NYI"
"100",80,-8,"NYI"
"101",79,1,"NYI"
"102",43,39,"NYI"
"103",69,3,"NYI"
"104",67,1,"NYI"
"105",34,-21,"NYI"
"106",64,-12,"NYI"
"107",64,-16,"NYI"
"108",10,-5,"NYI"
"109",64,2,"NYI"
"110",71,2,"NYI"
"111",63,-19,"NYI"
"112",60,-2,"NYI"
"113",65,-6,"NYI"
"114",48,-1,"NYI"
"115",91,30,"NYI"
"116",80,9,"NYI"
"117",86,7,"NYI"
"118",81,-9,"NYI"
"119",69,1,"NYI"
"120",74,11,"NYI"
"121",36,-23,"NYI"
"122",80,-1,"NYI"
"123",64,12,"NYI"
"124",40,14,"NYI"
"125",70,7,"NYI"
"126",80,4,"NYI"
"127",75,-15,"NYI"
"128",79,2,"NYI"
"129",74,-4,"NYI"
"130",82,0,"NYI"
"131",73,-2,"NYI"
"132",79,-2,"NYI"
"133",37,28,"NYI"
"134",78,4,"NYI"
"135",59,-15,"NYI"
"136",84,-6,"NYI"
"137",72,-3,"NYI"
"138",74,3,"NYI"
"139",81,3,"NYI"
"140",67,10,"NYI"
"141",0,-1,"NYI"
"142",77,-3,"NYI"
"143",66,-15,"NYI"
"144",64,2,"NYI"
"145",54,3,"NYI"
"146",72,-4,"NYI"
"147",74,-6,"NYI"
"148",81,-3,"NYI"
"149",73,10,"NYI"
"150",82,-6,"NYI"
"151",78,7,"NYI"
"152",4,37,"NYI"
"153",78,16,"NYI"
"154",77,4,"NYI"
"155",70,-3,"NYI"
"156",84,8,"NYI"
"157",82,-5,"NYI"
"158",53,10,"NYI"
"159",51,15,"NYI"
"160",74,-1,"NYI"
"161",43,14,"NYI"
"162",53,5,"NYI"
"163",83,-2,"NYI"
"164",67,1,"NYI"
"165",82,-3,"NYI"
"166",66,22,"NYI"
"167",82,-3,"NYI"
"168",74,-2,"NYI"
"169",74,12,"NYI"
"170",34,0,"NYI"
"171",84,8,"NYI"
"172",80,4,"NYI"
"173",84,-10,"NYI"
"174",69,-18,"NYI"
"175",75,1,"NYI"
"176",82,4,"NYI"
"177",59,-32,"NYI"
"178",77,-1,"NYI"
"179",47,-34,"NYI"
"180",61,-13,"NYI"
"181",79,-9,"NYI"
"182",75,6,"NYI"
"183",82,-1,"NYI"
"184",77,0,"NYI"
"185",82,4,"NYI"
"186",83,-5,"NYI"
"187",76,3,"NYI"
"188",84,-4,"NYI"
"189",79,0,"NYI"
"190",79,-5,"NYI"
"191",76,2,"NYI"
"192",83,4,"NYI"
"193",64,5,"NYI"
"194",68,1,"NYI"
"195",75,-11,"NYI"
"196",78,-1,"NYI"
"197",83,-5,"NYI"
"198",24,-39,"NYI"
"199",40,-6,"NYI"
"200",78,-1,"NYI"
"201",58,-20,"NYI"
"202",70,6,"NYI"
"203",61,-2,"NYI"
"204",77,7,"NYI"
"205",70,-1,"NYI"
"206",80,14,"NYI"
"207",77,0,"NYI"
"208",71,-5,"NYI"
"209",82,-1,"NYI"
"210",60,-5,"NYI"
"211",82,20,"NYI"
"212",60,1,"NYI"
"213",81,-3,"NYI"
"214",85,-5,"NYI"
"215",66,2,"NYI"
"216",73,-3,"NYI"
"217",83,-1,"NYI"
"218",85,3,"NYI"
"219",74,4,"NYI"
"220",76,4,"NYI"
"221",66,-4,"NYI"
"222",79,-3,"NYI"
"223",64,-19,"NYI"
"224",77,-10,"NYI"
"225",81,13,"NYI"
"226",55,10,"NYI"
"227",80,4,"NYI"
"228",83,-5,"NYI"
"229",74,-2,"NYI"
"230",6,4,"NYI"
