"","x_coord","y_coord_flip","team"
"1",23,-28,"NYI"
"2",61,-11,"NYI"
"3",66,0,"NYI"
"4",12,25,"NYI"
"5",43,35,"NYI"
"6",46,-1,"NYI"
"7",49,40,"NYI"
"8",35,-27,"NYI"
"9",74,-1,"NYI"
"10",87,-9,"NYI"
"11",30,-27,"NYI"
"12",70,21,"NYI"
"13",54,18,"NYI"
"14",69,13,"NYI"
"15",83,-8,"NYI"
"16",35,2,"NYI"
"17",64,-22,"NYI"
"18",52,-23,"NYI"
"19",75,10,"NYI"
"20",78,2,"NYI"
"21",83,-9,"NYI"
"22",31,-3,"NYI"
"23",46,23,"NYI"
"24",75,27,"NYI"
"25",62,-16,"NYI"
"26",68,10,"NYI"
"27",32,7,"NYI"
"28",39,16,"NYI"
"29",39,-10,"NYI"
"30",68,-1,"NYI"
"31",64,0,"NYI"
"32",69,13,"NYI"
"33",48,-16,"NYI"
"34",51,-17,"NYI"
"35",83,-3,"NYI"
"36",82,-1,"NYI"
"37",67,31,"NYI"
"38",79,-17,"NYI"
"39",74,-3,"NYI"
"40",59,-20,"NYI"
"41",76,-3,"NYI"
"42",33,8,"NYI"
"43",37,-29,"NYI"
"44",72,-8,"NYI"
"45",43,33,"NYI"
"46",89,10,"NYI"
"47",86,-11,"NYI"
"48",41,-28,"NYI"
"49",39,-32,"NYI"
"50",64,-20,"NYI"
"51",77,-5,"NYI"
"52",35,0,"NYI"
"53",80,1,"NYI"
"54",31,-34,"NYI"
"55",58,18,"NYI"
"56",77,-1,"NYI"
"57",73,23,"NYI"
"58",54,21,"NYI"
"59",44,25,"NYI"
"60",51,20,"NYI"
"61",69,1,"NYI"
"62",75,-1,"NYI"
"63",80,-6,"NYI"
"64",67,-23,"NYI"
"65",3,-2,"NYI"
"66",79,-1,"NYI"
"67",31,-1,"NYI"
"68",46,1,"NYI"
"69",79,-5,"NYI"
"70",42,1,"NYI"
"71",39,-34,"NYI"
"72",65,15,"NYI"
"73",64,36,"NYI"
"74",47,6,"NYI"
"75",73,12,"NYI"
"76",82,-7,"NYI"
"77",35,-16,"NYI"
"78",63,10,"NYI"
"79",88,9,"NYI"
"80",57,-15,"NYI"
"81",57,26,"NYI"
"82",76,-8,"NYI"
"83",72,14,"NYI"
"84",60,-17,"NYI"
"85",54,15,"NYI"
"86",42,-13,"NYI"
"87",56,25,"NYI"
"88",42,-8,"NYI"
"89",70,-19,"NYI"
"90",35,31,"NYI"
"91",43,-7,"NYI"
"92",90,-18,"NYI"
"93",67,-1,"NYI"
"94",51,-27,"NYI"
"95",73,-30,"NYI"
"96",43,-28,"NYI"
"97",61,-27,"NYI"
"98",54,-34,"NYI"
"99",74,0,"NYI"
"100",78,3,"NYI"
"101",75,-2,"NYI"
"102",74,14,"NYI"
"103",64,-16,"NYI"
"104",89,13,"NYI"
"105",58,17,"NYI"
"106",39,1,"NYI"
"107",71,23,"NYI"
"108",82,-6,"NYI"
"109",77,-17,"NYI"
"110",80,-6,"NYI"
"111",56,-21,"NYI"
"112",61,-10,"NYI"
"113",37,-10,"NYI"
"114",61,-19,"NYI"
"115",49,-29,"NYI"
"116",66,-23,"NYI"
"117",84,-26,"NYI"
"118",41,-17,"NYI"
"119",83,-9,"NYI"
"120",55,18,"NYI"
"121",58,-27,"NYI"
"122",81,-9,"NYI"
"123",78,4,"NYI"
"124",64,-18,"NYI"
"125",53,3,"NYI"
"126",37,29,"NYI"
"127",82,-18,"NYI"
"128",69,11,"NYI"
"129",36,22,"NYI"
"130",57,21,"NYI"
"131",82,-10,"NYI"
"132",79,13,"NYI"
"133",84,13,"NYI"
"134",68,-20,"NYI"
"135",74,30,"NYI"
"136",50,-16,"NYI"
"137",35,-20,"NYI"
"138",84,8,"NYI"
"139",35,26,"NYI"
"140",75,5,"NYI"
"141",84,-21,"NYI"
"142",43,29,"NYI"
"143",37,34,"NYI"
"144",73,-19,"NYI"
"145",79,26,"NYI"
"146",56,-16,"NYI"
"147",79,-6,"NYI"
"148",35,5,"NYI"
"149",37,-7,"NYI"
"150",35,-36,"NYI"
"151",87,-6,"NYI"
"152",85,-6,"NYI"
"153",67,9,"NYI"
"154",65,-15,"NYI"
"155",78,-15,"NYI"
"156",81,-18,"NYI"
"157",35,-27,"NYI"
"158",94,-17,"NYI"
"159",63,12,"NYI"
"160",37,20,"NYI"
"161",75,21,"NYI"
"162",83,36,"NYI"
"163",68,10,"NYI"
"164",41,-33,"NYI"
"165",66,-6,"NYI"
"166",75,8,"NYI"
"167",77,-8,"NYI"
"168",62,13,"NYI"
"169",84,-19,"NYI"
"170",52,-22,"NYI"
"171",17,17,"NYI"
"172",35,-22,"NYI"
"173",73,-2,"NYI"
"174",74,-12,"NYI"
"175",61,-5,"NYI"
"176",53,-13,"NYI"
"177",35,-21,"NYI"
"178",38,15,"NYI"
"179",70,-10,"NYI"
"180",44,23,"NYI"
"181",36,-20,"NYI"
"182",48,7,"NYI"
"183",38,-5,"NYI"
"184",32,14,"NYI"
"185",35,-8,"NYI"
"186",73,3,"NYI"
"187",32,-10,"NYI"
"188",32,20,"NYI"
"189",53,2,"NYI"
"190",65,2,"NYI"
"191",62,-18,"NYI"
"192",47,8,"NYI"
"193",71,-10,"NYI"
"194",35,-2,"NYI"
"195",32,18,"NYI"
"196",32,20,"NYI"
"197",20,-29,"NYI"
"198",55,-19,"NYI"
"199",33,-1,"NYI"
"200",83,9,"NYI"
"201",32,4,"NYI"
"202",55,36,"NYI"
"203",61,-26,"NYI"
