"","x_coord","y_coord_flip","team"
"1",77,-1,"NYR"
"2",80,0,"NYR"
"3",76,2,"NYR"
"4",84,7,"NYR"
"5",76,3,"NYR"
"6",79,-7,"NYR"
"7",86,5,"NYR"
"8",82,0,"NYR"
"9",81,-3,"NYR"
"10",73,5,"NYR"
"11",79,-15,"NYR"
"12",72,13,"NYR"
"13",80,2,"NYR"
"14",51,28,"NYR"
"15",73,-7,"NYR"
"16",66,2,"NYR"
"17",83,8,"NYR"
"18",84,-7,"NYR"
"19",80,-6,"NYR"
"20",62,-23,"NYR"
"21",87,-5,"NYR"
"22",68,-21,"NYR"
"23",56,-23,"NYR"
"24",49,22,"NYR"
"25",80,0,"NYR"
"26",82,10,"NYR"
"27",81,7,"NYR"
"28",97,23,"NYR"
"29",60,-8,"NYR"
"30",58,-8,"NYR"
"31",64,-17,"NYR"
"32",84,5,"NYR"
"33",81,5,"NYR"
"34",71,2,"NYR"
"35",81,-2,"NYR"
"36",76,4,"NYR"
"37",72,4,"NYR"
"38",54,-19,"NYR"
"39",61,14,"NYR"
"40",62,4,"NYR"
"41",79,4,"NYR"
"42",36,2,"NYR"
"43",79,-4,"NYR"
"44",84,1,"NYR"
"45",82,-10,"NYR"
"46",48,-14,"NYR"
"47",31,7,"NYR"
"48",81,-5,"NYR"
"49",62,-15,"NYR"
"50",87,-5,"NYR"
"51",83,0,"NYR"
"52",81,-4,"NYR"
"53",65,2,"NYR"
"54",72,0,"NYR"
"55",76,-6,"NYR"
"56",77,15,"NYR"
"57",78,-3,"NYR"
"58",37,14,"NYR"
"59",58,5,"NYR"
"60",54,20,"NYR"
"61",77,-2,"NYR"
"62",86,-8,"NYR"
"63",68,-28,"NYR"
"64",83,1,"NYR"
"65",66,-22,"NYR"
"66",75,-3,"NYR"
"67",56,10,"NYR"
"68",86,17,"NYR"
"69",79,-2,"NYR"
"70",43,-4,"NYR"
"71",75,1,"NYR"
"72",65,-26,"NYR"
"73",74,16,"NYR"
"74",48,-25,"NYR"
"75",86,-4,"NYR"
"76",68,5,"NYR"
"77",83,-3,"NYR"
"78",75,10,"NYR"
"79",5,-8,"NYR"
"80",47,12,"NYR"
"81",86,-9,"NYR"
"82",78,8,"NYR"
"83",74,16,"NYR"
"84",85,7,"NYR"
"85",77,2,"NYR"
"86",78,-5,"NYR"
"87",75,-4,"NYR"
"88",82,-7,"NYR"
"89",56,-31,"NYR"
"90",85,-2,"NYR"
"91",85,-3,"NYR"
"92",83,-4,"NYR"
"93",53,9,"NYR"
"94",71,-2,"NYR"
"95",75,-3,"NYR"
"96",70,18,"NYR"
"97",80,-6,"NYR"
"98",52,-31,"NYR"
"99",80,-8,"NYR"
"100",33,-4,"NYR"
"101",63,-25,"NYR"
"102",76,1,"NYR"
"103",79,-14,"NYR"
"104",9,-2,"NYR"
"105",42,33,"NYR"
"106",87,-7,"NYR"
"107",73,-3,"NYR"
"108",66,-5,"NYR"
"109",79,-3,"NYR"
"110",84,-7,"NYR"
"111",82,-1,"NYR"
"112",57,-4,"NYR"
"113",83,-9,"NYR"
"114",76,8,"NYR"
"115",57,0,"NYR"
"116",55,-3,"NYR"
"117",66,-15,"NYR"
"118",71,-3,"NYR"
"119",71,-14,"NYR"
"120",81,6,"NYR"
"121",76,0,"NYR"
"122",80,-16,"NYR"
"123",82,1,"NYR"
"124",76,-17,"NYR"
"125",58,29,"NYR"
"126",78,8,"NYR"
"127",75,-1,"NYR"
"128",83,2,"NYR"
"129",76,11,"NYR"
"130",82,-7,"NYR"
"131",47,-24,"NYR"
"132",90,-6,"NYR"
"133",85,-5,"NYR"
"134",34,-9,"NYR"
"135",82,7,"NYR"
"136",78,-3,"NYR"
"137",71,-6,"NYR"
"138",82,11,"NYR"
"139",68,0,"NYR"
"140",84,6,"NYR"
"141",83,5,"NYR"
"142",77,2,"NYR"
"143",1,30,"NYR"
"144",71,-10,"NYR"
"145",74,1,"NYR"
"146",42,23,"NYR"
"147",42,-15,"NYR"
"148",77,21,"NYR"
"149",69,-28,"NYR"
"150",79,4,"NYR"
"151",62,-15,"NYR"
"152",77,14,"NYR"
"153",82,-2,"NYR"
"154",82,5,"NYR"
"155",35,27,"NYR"
"156",52,1,"NYR"
"157",78,1,"NYR"
