"","x_coord","y_coord_flip","team"
"1",10,24,"NYR"
"2",42,-13,"NYR"
"3",81,-3,"NYR"
"4",83,6,"NYR"
"5",48,-5,"NYR"
"6",8,-25,"NYR"
"7",70,2,"NYR"
"8",79,-5,"NYR"
"9",68,-18,"NYR"
"10",71,35,"NYR"
"11",55,-24,"NYR"
"12",76,33,"NYR"
"13",35,-24,"NYR"
"14",86,-27,"NYR"
"15",80,3,"NYR"
"16",45,34,"NYR"
"17",62,-26,"NYR"
"18",86,14,"NYR"
"19",44,-16,"NYR"
"20",38,-23,"NYR"
"21",87,22,"NYR"
"22",75,-3,"NYR"
"23",81,3,"NYR"
"24",72,0,"NYR"
"25",87,-7,"NYR"
"26",60,27,"NYR"
"27",12,28,"NYR"
"28",70,-26,"NYR"
"29",12,2,"NYR"
"30",78,17,"NYR"
"31",83,-10,"NYR"
"32",77,-1,"NYR"
"33",34,18,"NYR"
"34",36,-2,"NYR"
"35",16,35,"NYR"
"36",64,28,"NYR"
"37",87,-7,"NYR"
"38",77,-24,"NYR"
"39",66,-39,"NYR"
"40",68,-35,"NYR"
"41",34,20,"NYR"
"42",35,-26,"NYR"
"43",54,-31,"NYR"
"44",71,-6,"NYR"
"45",85,-8,"NYR"
"46",77,19,"NYR"
"47",39,5,"NYR"
"48",79,-8,"NYR"
"49",72,-12,"NYR"
"50",41,34,"NYR"
"51",74,-3,"NYR"
"52",66,7,"NYR"
"53",38,-37,"NYR"
"54",69,-31,"NYR"
"55",68,12,"NYR"
"56",81,-7,"NYR"
"57",67,14,"NYR"
"58",60,39,"NYR"
"59",62,31,"NYR"
"60",68,23,"NYR"
"61",37,-36,"NYR"
"62",36,2,"NYR"
"63",42,28,"NYR"
"64",76,38,"NYR"
"65",67,29,"NYR"
"66",75,29,"NYR"
"67",35,-30,"NYR"
"68",52,-32,"NYR"
"69",61,32,"NYR"
"70",36,3,"NYR"
"71",45,14,"NYR"
"72",76,0,"NYR"
"73",64,4,"NYR"
"74",33,-21,"NYR"
"75",40,-23,"NYR"
"76",52,-31,"NYR"
"77",49,-40,"NYR"
"78",83,5,"NYR"
"79",81,38,"NYR"
"80",31,-32,"NYR"
"81",32,24,"NYR"
"82",40,-34,"NYR"
