"","x_coord","y_coord_flip","team"
"1",77,2,"OTT"
"2",62,1,"OTT"
"3",85,8,"OTT"
"4",57,2,"OTT"
"5",64,1,"OTT"
"6",64,-10,"OTT"
"7",76,-4,"OTT"
"8",19,6,"OTT"
"9",82,-5,"OTT"
"10",52,30,"OTT"
"11",32,0,"OTT"
"12",77,1,"OTT"
"13",55,-21,"OTT"
"14",72,9,"OTT"
"15",84,9,"OTT"
"16",85,-2,"OTT"
"17",79,-13,"OTT"
"18",79,-8,"OTT"
"19",61,-25,"OTT"
"20",33,-2,"OTT"
"21",60,1,"OTT"
"22",77,-2,"OTT"
"23",82,-11,"OTT"
"24",30,29,"OTT"
"25",76,11,"OTT"
"26",83,15,"OTT"
"27",74,18,"OTT"
"28",52,24,"OTT"
"29",35,-11,"OTT"
"30",84,10,"OTT"
"31",84,7,"OTT"
"32",79,13,"OTT"
"33",84,0,"OTT"
"34",84,-6,"OTT"
"35",85,21,"OTT"
"36",80,4,"OTT"
"37",84,-4,"OTT"
"38",36,-11,"OTT"
"39",61,-2,"OTT"
"40",69,-3,"OTT"
"41",87,-5,"OTT"
"42",33,-31,"OTT"
"43",65,17,"OTT"
"44",82,3,"OTT"
"45",82,1,"OTT"
"46",32,15,"OTT"
"47",82,-5,"OTT"
"48",79,-11,"OTT"
"49",55,-9,"OTT"
"50",80,-5,"OTT"
"51",13,16,"OTT"
"52",40,-23,"OTT"
"53",79,3,"OTT"
"54",69,2,"OTT"
"55",66,-13,"OTT"
"56",78,-6,"OTT"
"57",72,6,"OTT"
"58",76,-3,"OTT"
"59",72,-1,"OTT"
"60",70,8,"OTT"
"61",63,3,"OTT"
"62",54,3,"OTT"
"63",64,-10,"OTT"
"64",54,-2,"OTT"
"65",85,8,"OTT"
"66",79,4,"OTT"
"67",80,-1,"OTT"
"68",86,6,"OTT"
"69",69,-18,"OTT"
"70",81,0,"OTT"
"71",82,2,"OTT"
"72",69,12,"OTT"
"73",71,6,"OTT"
"74",84,0,"OTT"
"75",67,-3,"OTT"
"76",81,-2,"OTT"
"77",40,-6,"OTT"
"78",33,-14,"OTT"
"79",73,6,"OTT"
"80",80,0,"OTT"
"81",84,-2,"OTT"
"82",40,-24,"OTT"
"83",82,-9,"OTT"
"84",80,6,"OTT"
"85",78,-16,"OTT"
"86",52,6,"OTT"
"87",85,11,"OTT"
"88",74,-6,"OTT"
"89",81,21,"OTT"
"90",83,-3,"OTT"
"91",72,-19,"OTT"
"92",84,10,"OTT"
"93",82,8,"OTT"
"94",58,25,"OTT"
"95",72,1,"OTT"
"96",59,15,"OTT"
"97",37,5,"OTT"
"98",77,-3,"OTT"
"99",29,30,"OTT"
"100",67,11,"OTT"
"101",48,22,"OTT"
"102",64,-2,"OTT"
"103",33,22,"OTT"
"104",87,-19,"OTT"
"105",67,15,"OTT"
"106",79,-14,"OTT"
"107",73,12,"OTT"
"108",32,-17,"OTT"
"109",82,3,"OTT"
"110",83,-3,"OTT"
"111",81,0,"OTT"
"112",65,5,"OTT"
"113",62,14,"OTT"
"114",82,0,"OTT"
"115",72,5,"OTT"
"116",69,14,"OTT"
"117",73,21,"OTT"
"118",73,-18,"OTT"
"119",70,7,"OTT"
"120",68,-2,"OTT"
"121",56,-5,"OTT"
"122",87,-4,"OTT"
"123",70,-16,"OTT"
"124",83,-10,"OTT"
"125",79,1,"OTT"
"126",82,-7,"OTT"
"127",80,5,"OTT"
"128",72,13,"OTT"
"129",81,12,"OTT"
"130",79,-2,"OTT"
"131",77,3,"OTT"
"132",87,-6,"OTT"
"133",77,-9,"OTT"
"134",78,-9,"OTT"
"135",84,-5,"OTT"
"136",58,-31,"OTT"
"137",82,4,"OTT"
"138",78,-4,"OTT"
"139",78,10,"OTT"
"140",71,-22,"OTT"
"141",37,-31,"OTT"
"142",56,-2,"OTT"
"143",61,3,"OTT"
"144",80,-1,"OTT"
"145",80,-5,"OTT"
"146",84,-11,"OTT"
"147",84,4,"OTT"
"148",14,-24,"OTT"
"149",79,-5,"OTT"
"150",74,0,"OTT"
"151",57,-24,"OTT"
"152",83,7,"OTT"
"153",77,-1,"OTT"
"154",79,-1,"OTT"
"155",69,38,"OTT"
"156",57,-25,"OTT"
"157",81,-7,"OTT"
"158",61,14,"OTT"
"159",72,3,"OTT"
"160",75,1,"OTT"
"161",81,-14,"OTT"
"162",78,0,"OTT"
"163",87,10,"OTT"
"164",83,7,"OTT"
"165",79,-1,"OTT"
"166",53,-18,"OTT"
"167",26,-2,"OTT"
"168",39,-18,"OTT"
"169",65,20,"OTT"
"170",66,25,"OTT"
"171",86,0,"OTT"
"172",68,1,"OTT"
"173",86,-7,"OTT"
"174",78,-3,"OTT"
"175",68,-11,"OTT"
"176",80,2,"OTT"
"177",73,-5,"OTT"
"178",81,9,"OTT"
"179",80,0,"OTT"
"180",79,6,"OTT"
"181",81,6,"OTT"
"182",83,4,"OTT"
"183",80,-1,"OTT"
"184",58,-15,"OTT"
"185",87,-14,"OTT"
"186",84,-8,"OTT"
"187",84,-3,"OTT"
"188",81,-5,"OTT"
"189",65,-21,"OTT"
"190",82,-10,"OTT"
"191",76,-7,"OTT"
"192",74,12,"OTT"
"193",80,8,"OTT"
"194",64,-4,"OTT"
"195",77,1,"OTT"
"196",76,3,"OTT"
"197",84,7,"OTT"
"198",78,-4,"OTT"
"199",82,-5,"OTT"
"200",82,0,"OTT"
"201",79,-15,"OTT"
"202",72,-3,"OTT"
"203",75,-9,"OTT"
"204",75,6,"OTT"
"205",61,-4,"OTT"
"206",74,10,"OTT"
"207",15,35,"OTT"
"208",70,-18,"OTT"
"209",77,-1,"OTT"
"210",70,16,"OTT"
"211",66,7,"OTT"
"212",87,-10,"OTT"
"213",79,1,"OTT"
"214",82,11,"OTT"
"215",84,7,"OTT"
"216",72,-9,"OTT"
"217",56,-23,"OTT"
"218",81,6,"OTT"
"219",91,3,"OTT"
"220",84,-3,"OTT"
"221",84,3,"OTT"
"222",72,8,"OTT"
"223",80,2,"OTT"
"224",62,3,"OTT"
"225",82,-4,"OTT"
"226",66,-5,"OTT"
"227",77,8,"OTT"
"228",78,-6,"OTT"
"229",51,-1,"OTT"
"230",63,2,"OTT"
"231",65,-3,"OTT"
"232",64,-1,"OTT"
"233",54,-28,"OTT"
"234",83,-16,"OTT"
"235",75,-5,"OTT"
"236",77,-1,"OTT"
"237",87,7,"OTT"
"238",83,-4,"OTT"
"239",75,3,"OTT"
"240",80,6,"OTT"
"241",69,6,"OTT"
"242",79,-3,"OTT"
