"","x_coord","y_coord_flip","team"
"1",76,1,"OTT"
"2",49,37,"OTT"
"3",35,26,"OTT"
"4",85,-18,"OTT"
"5",73,-32,"OTT"
"6",55,16,"OTT"
"7",44,-4,"OTT"
"8",33,29,"OTT"
"9",46,-20,"OTT"
"10",48,-20,"OTT"
"11",38,-24,"OTT"
"12",35,-27,"OTT"
"13",62,-37,"OTT"
"14",79,-21,"OTT"
"15",85,17,"OTT"
"16",70,14,"OTT"
"17",39,-22,"OTT"
"18",79,-4,"OTT"
"19",79,6,"OTT"
"20",85,-4,"OTT"
"21",75,10,"OTT"
"22",32,13,"OTT"
"23",33,-27,"OTT"
"24",76,16,"OTT"
"25",58,-23,"OTT"
"26",43,-33,"OTT"
"27",31,-34,"OTT"
"28",60,-2,"OTT"
"29",79,2,"OTT"
"30",65,-15,"OTT"
"31",38,5,"OTT"
"32",36,-10,"OTT"
"33",76,16,"OTT"
"34",64,-2,"OTT"
"35",64,1,"OTT"
"36",39,-19,"OTT"
"37",43,-33,"OTT"
"38",72,-16,"OTT"
"39",74,31,"OTT"
"40",75,-3,"OTT"
"41",35,-3,"OTT"
"42",78,20,"OTT"
"43",72,9,"OTT"
"44",75,-2,"OTT"
"45",72,-32,"OTT"
"46",70,-16,"OTT"
"47",77,5,"OTT"
"48",80,-8,"OTT"
"49",11,0,"OTT"
"50",93,-11,"OTT"
"51",45,6,"OTT"
"52",81,-14,"OTT"
"53",79,-13,"OTT"
"54",24,17,"OTT"
"55",69,12,"OTT"
"56",70,-20,"OTT"
"57",36,-23,"OTT"
"58",79,28,"OTT"
"59",71,11,"OTT"
"60",55,-29,"OTT"
"61",51,12,"OTT"
"62",80,6,"OTT"
"63",44,24,"OTT"
"64",79,5,"OTT"
"65",32,25,"OTT"
"66",73,-6,"OTT"
"67",74,-7,"OTT"
"68",13,25,"OTT"
"69",86,-30,"OTT"
"70",32,35,"OTT"
"71",86,-12,"OTT"
"72",81,1,"OTT"
"73",87,-8,"OTT"
"74",87,9,"OTT"
"75",87,-31,"OTT"
"76",20,-34,"OTT"
"77",81,1,"OTT"
"78",84,3,"OTT"
"79",32,-21,"OTT"
"80",56,-35,"OTT"
"81",83,-3,"OTT"
"82",82,1,"OTT"
"83",49,25,"OTT"
"84",66,32,"OTT"
"85",34,26,"OTT"
"86",82,2,"OTT"
"87",70,-25,"OTT"
"88",86,-7,"OTT"
"89",78,-7,"OTT"
"90",76,9,"OTT"
"91",57,28,"OTT"
"92",80,3,"OTT"
"93",60,-37,"OTT"
"94",75,-6,"OTT"
"95",10,40,"OTT"
"96",88,8,"OTT"
"97",66,-31,"OTT"
"98",89,12,"OTT"
"99",66,3,"OTT"
"100",47,6,"OTT"
"101",32,-30,"OTT"
"102",25,-4,"OTT"
"103",72,26,"OTT"
"104",80,2,"OTT"
"105",66,3,"OTT"
"106",40,34,"OTT"
"107",52,29,"OTT"
"108",85,6,"OTT"
"109",39,31,"OTT"
"110",81,6,"OTT"
"111",70,35,"OTT"
"112",70,6,"OTT"
"113",16,17,"OTT"
"114",77,29,"OTT"
"115",54,19,"OTT"
"116",36,-2,"OTT"
"117",78,20,"OTT"
"118",33,-2,"OTT"
"119",42,10,"OTT"
"120",82,6,"OTT"
"121",86,8,"OTT"
"122",37,-25,"OTT"
"123",55,27,"OTT"
"124",70,-1,"OTT"
"125",66,1,"OTT"
"126",48,29,"OTT"
"127",58,-37,"OTT"
"128",85,-9,"OTT"
