"","x_coord","y_coord_flip","team"
"1",84,12,"PHI"
"2",88,2,"PHI"
"3",84,-5,"PHI"
"4",64,11,"PHI"
"5",73,3,"PHI"
"6",82,-4,"PHI"
"7",81,14,"PHI"
"8",45,-5,"PHI"
"9",81,-1,"PHI"
"10",81,-3,"PHI"
"11",78,2,"PHI"
"12",64,-12,"PHI"
"13",78,-16,"PHI"
"14",73,0,"PHI"
"15",85,13,"PHI"
"16",76,11,"PHI"
"17",68,2,"PHI"
"18",73,0,"PHI"
"19",61,3,"PHI"
"20",80,-5,"PHI"
"21",78,-10,"PHI"
"22",83,-5,"PHI"
"23",77,-1,"PHI"
"24",82,5,"PHI"
"25",52,16,"PHI"
"26",84,5,"PHI"
"27",58,27,"PHI"
"28",86,11,"PHI"
"29",81,-3,"PHI"
"30",57,19,"PHI"
"31",64,-2,"PHI"
"32",75,-10,"PHI"
"33",71,1,"PHI"
"34",74,-1,"PHI"
"35",73,3,"PHI"
"36",71,-5,"PHI"
"37",66,-1,"PHI"
"38",70,22,"PHI"
"39",81,2,"PHI"
"40",71,0,"PHI"
"41",96,-25,"PHI"
"42",81,-6,"PHI"
"43",61,13,"PHI"
"44",61,0,"PHI"
"45",47,1,"PHI"
"46",34,-13,"PHI"
"47",51,-31,"PHI"
"48",86,4,"PHI"
"49",48,-31,"PHI"
"50",79,-2,"PHI"
"51",80,3,"PHI"
"52",78,4,"PHI"
"53",80,1,"PHI"
"54",51,15,"PHI"
"55",69,-1,"PHI"
"56",81,-6,"PHI"
"57",81,-15,"PHI"
"58",33,7,"PHI"
"59",82,17,"PHI"
"60",76,4,"PHI"
"61",50,15,"PHI"
"62",78,0,"PHI"
"63",74,1,"PHI"
"64",81,2,"PHI"
"65",64,-5,"PHI"
"66",76,-3,"PHI"
"67",70,25,"PHI"
"68",77,-10,"PHI"
"69",6,-6,"PHI"
"70",78,-2,"PHI"
"71",55,-6,"PHI"
"72",60,10,"PHI"
"73",45,34,"PHI"
"74",67,-10,"PHI"
"75",79,24,"PHI"
"76",72,-5,"PHI"
"77",75,3,"PHI"
"78",55,-19,"PHI"
"79",77,2,"PHI"
"80",62,-12,"PHI"
"81",54,13,"PHI"
"82",58,9,"PHI"
"83",55,12,"PHI"
"84",73,1,"PHI"
"85",80,4,"PHI"
"86",77,0,"PHI"
"87",80,0,"PHI"
"88",76,-1,"PHI"
"89",83,5,"PHI"
"90",75,1,"PHI"
"91",43,24,"PHI"
"92",59,0,"PHI"
"93",79,-2,"PHI"
"94",71,0,"PHI"
"95",78,1,"PHI"
"96",42,15,"PHI"
"97",63,-11,"PHI"
"98",78,-6,"PHI"
"99",48,18,"PHI"
"100",65,3,"PHI"
"101",84,2,"PHI"
"102",80,4,"PHI"
"103",62,12,"PHI"
"104",85,1,"PHI"
"105",70,-2,"PHI"
"106",70,0,"PHI"
"107",81,0,"PHI"
"108",78,-5,"PHI"
"109",51,9,"PHI"
"110",58,14,"PHI"
"111",51,-16,"PHI"
"112",82,11,"PHI"
"113",82,-3,"PHI"
"114",72,-1,"PHI"
"115",82,-5,"PHI"
"116",53,-25,"PHI"
"117",54,-29,"PHI"
"118",64,0,"PHI"
"119",83,2,"PHI"
"120",70,-21,"PHI"
"121",74,2,"PHI"
"122",79,-2,"PHI"
"123",76,2,"PHI"
"124",63,1,"PHI"
"125",31,-4,"PHI"
"126",77,2,"PHI"
"127",73,-15,"PHI"
"128",76,-14,"PHI"
"129",84,-9,"PHI"
"130",71,0,"PHI"
"131",80,0,"PHI"
"132",67,-12,"PHI"
"133",74,12,"PHI"
"134",32,6,"PHI"
"135",65,-18,"PHI"
"136",65,-12,"PHI"
"137",73,3,"PHI"
"138",61,-15,"PHI"
"139",62,12,"PHI"
"140",32,-26,"PHI"
"141",73,2,"PHI"
"142",64,-3,"PHI"
"143",79,-4,"PHI"
"144",74,6,"PHI"
"145",73,-1,"PHI"
"146",69,-2,"PHI"
"147",40,26,"PHI"
"148",79,-2,"PHI"
"149",51,34,"PHI"
"150",81,3,"PHI"
"151",63,-5,"PHI"
"152",69,13,"PHI"
"153",63,-10,"PHI"
"154",80,-3,"PHI"
"155",78,-2,"PHI"
"156",74,-25,"PHI"
"157",81,-3,"PHI"
"158",75,-3,"PHI"
"159",69,7,"PHI"
"160",57,-20,"PHI"
"161",55,-21,"PHI"
"162",82,-3,"PHI"
"163",81,0,"PHI"
"164",81,4,"PHI"
"165",85,-8,"PHI"
"166",32,-11,"PHI"
"167",81,1,"PHI"
"168",80,-3,"PHI"
"169",58,21,"PHI"
"170",88,2,"PHI"
"171",63,-27,"PHI"
"172",53,25,"PHI"
"173",71,-3,"PHI"
"174",82,3,"PHI"
"175",83,-6,"PHI"
"176",87,-7,"PHI"
"177",84,4,"PHI"
"178",38,-18,"PHI"
"179",65,0,"PHI"
"180",80,-1,"PHI"
"181",78,25,"PHI"
"182",75,0,"PHI"
"183",60,20,"PHI"
"184",82,-5,"PHI"
"185",78,38,"PHI"
"186",69,-2,"PHI"
"187",81,0,"PHI"
"188",82,2,"PHI"
"189",80,-5,"PHI"
"190",64,-1,"PHI"
"191",0,23,"PHI"
"192",57,15,"PHI"
"193",82,0,"PHI"
"194",70,-21,"PHI"
"195",61,0,"PHI"
"196",76,6,"PHI"
"197",71,-10,"PHI"
"198",64,8,"PHI"
"199",67,6,"PHI"
"200",71,-11,"PHI"
"201",81,3,"PHI"
"202",78,-4,"PHI"
"203",82,2,"PHI"
"204",82,5,"PHI"
"205",54,3,"PHI"
"206",82,-4,"PHI"
"207",55,-6,"PHI"
"208",79,-1,"PHI"
"209",78,-3,"PHI"
"210",44,10,"PHI"
"211",82,3,"PHI"
"212",62,18,"PHI"
"213",82,2,"PHI"
"214",81,3,"PHI"
"215",55,-13,"PHI"
"216",64,18,"PHI"
"217",85,8,"PHI"
"218",58,-11,"PHI"
"219",77,7,"PHI"
"220",85,-1,"PHI"
"221",42,-12,"PHI"
"222",67,-9,"PHI"
"223",80,2,"PHI"
"224",59,-5,"PHI"
"225",78,-8,"PHI"
"226",82,2,"PHI"
"227",66,1,"PHI"
"228",60,-24,"PHI"
"229",81,2,"PHI"
"230",34,4,"PHI"
"231",42,8,"PHI"
"232",79,25,"PHI"
"233",67,29,"PHI"
"234",30,26,"PHI"
"235",81,5,"PHI"
"236",69,-1,"PHI"
"237",82,-6,"PHI"
"238",71,-3,"PHI"
"239",81,0,"PHI"
"240",69,0,"PHI"
"241",40,-7,"PHI"
"242",86,3,"PHI"
"243",81,-2,"PHI"
"244",77,2,"PHI"
"245",81,-3,"PHI"
"246",60,7,"PHI"
"247",77,1,"PHI"
