"","x_coord","y_coord_flip","team"
"1",78,0,"PHI"
"2",22,2,"PHI"
"3",45,-32,"PHI"
"4",73,-35,"PHI"
"5",63,-26,"PHI"
"6",88,-18,"PHI"
"7",32,29,"PHI"
"8",78,-6,"PHI"
"9",80,1,"PHI"
"10",33,1,"PHI"
"11",31,23,"PHI"
"12",42,-13,"PHI"
"13",82,3,"PHI"
"14",42,9,"PHI"
"15",70,12,"PHI"
"16",78,-5,"PHI"
"17",60,-14,"PHI"
"18",55,27,"PHI"
"19",75,1,"PHI"
"20",84,-3,"PHI"
"21",58,1,"PHI"
"22",85,-31,"PHI"
"23",47,-20,"PHI"
"24",62,-36,"PHI"
"25",23,39,"PHI"
"26",72,16,"PHI"
"27",80,-1,"PHI"
"28",63,7,"PHI"
"29",35,35,"PHI"
"30",13,36,"PHI"
"31",67,36,"PHI"
"32",35,-16,"PHI"
"33",29,1,"PHI"
"34",66,-25,"PHI"
"35",50,4,"PHI"
"36",67,-12,"PHI"
"37",59,-18,"PHI"
"38",46,-14,"PHI"
"39",34,-35,"PHI"
"40",61,19,"PHI"
"41",85,9,"PHI"
"42",87,-6,"PHI"
"43",75,12,"PHI"
"44",72,16,"PHI"
"45",48,-21,"PHI"
"46",60,-17,"PHI"
"47",48,5,"PHI"
"48",57,-19,"PHI"
"49",78,8,"PHI"
"50",79,2,"PHI"
"51",45,17,"PHI"
"52",0,40,"PHI"
"53",64,-24,"PHI"
"54",33,-35,"PHI"
"55",69,32,"PHI"
"56",74,-10,"PHI"
"57",81,14,"PHI"
"58",77,5,"PHI"
"59",81,-3,"PHI"
"60",77,-4,"PHI"
"61",48,-18,"PHI"
"62",81,-14,"PHI"
"63",79,-6,"PHI"
"64",75,-8,"PHI"
"65",65,14,"PHI"
"66",64,-10,"PHI"
"67",57,21,"PHI"
"68",46,7,"PHI"
"69",81,-3,"PHI"
"70",80,14,"PHI"
"71",39,18,"PHI"
"72",58,14,"PHI"
"73",30,-15,"PHI"
"74",42,11,"PHI"
"75",40,-30,"PHI"
"76",82,36,"PHI"
"77",35,-14,"PHI"
"78",55,-20,"PHI"
"79",56,-11,"PHI"
"80",84,-5,"PHI"
"81",36,-6,"PHI"
"82",35,-13,"PHI"
"83",52,14,"PHI"
"84",72,-8,"PHI"
"85",64,-10,"PHI"
"86",81,16,"PHI"
"87",81,5,"PHI"
"88",86,8,"PHI"
"89",41,-20,"PHI"
"90",77,-2,"PHI"
"91",56,-10,"PHI"
"92",28,6,"PHI"
"93",58,34,"PHI"
"94",86,7,"PHI"
"95",30,14,"PHI"
"96",63,-33,"PHI"
"97",42,-37,"PHI"
"98",52,37,"PHI"
"99",34,30,"PHI"
"100",31,-12,"PHI"
"101",54,-40,"PHI"
"102",55,-39,"PHI"
"103",62,-28,"PHI"
"104",52,-27,"PHI"
"105",33,-25,"PHI"
"106",51,-31,"PHI"
"107",60,15,"PHI"
"108",32,19,"PHI"
"109",51,-29,"PHI"
"110",80,18,"PHI"
"111",38,-28,"PHI"
"112",74,10,"PHI"
"113",82,8,"PHI"
"114",53,28,"PHI"
"115",68,25,"PHI"
"116",79,-24,"PHI"
"117",37,2,"PHI"
"118",75,-25,"PHI"
"119",42,-6,"PHI"
"120",24,36,"PHI"
"121",49,1,"PHI"
"122",81,5,"PHI"
"123",64,2,"PHI"
"124",17,-20,"PHI"
"125",61,-1,"PHI"
"126",86,9,"PHI"
"127",75,3,"PHI"
"128",82,4,"PHI"
"129",28,18,"PHI"
"130",80,7,"PHI"
"131",41,-1,"PHI"
"132",46,-37,"PHI"
"133",34,29,"PHI"
"134",49,-38,"PHI"
"135",81,7,"PHI"
"136",32,-18,"PHI"
"137",36,21,"PHI"
"138",80,18,"PHI"
"139",72,-9,"PHI"
"140",55,1,"PHI"
"141",81,3,"PHI"
"142",84,9,"PHI"
"143",83,8,"PHI"
"144",78,32,"PHI"
"145",79,9,"PHI"
"146",82,2,"PHI"
"147",60,-8,"PHI"
"148",40,5,"PHI"
"149",20,12,"PHI"
"150",78,-17,"PHI"
"151",86,-7,"PHI"
"152",38,-7,"PHI"
"153",60,33,"PHI"
"154",48,-14,"PHI"
"155",60,-25,"PHI"
"156",54,18,"PHI"
"157",67,-12,"PHI"
"158",33,-29,"PHI"
"159",49,0,"PHI"
"160",58,28,"PHI"
"161",36,15,"PHI"
"162",79,2,"PHI"
"163",40,8,"PHI"
"164",48,24,"PHI"
"165",54,26,"PHI"
"166",53,1,"PHI"
"167",70,-8,"PHI"
"168",33,7,"PHI"
"169",55,15,"PHI"
"170",49,-36,"PHI"
"171",54,23,"PHI"
"172",75,-4,"PHI"
"173",42,-26,"PHI"
"174",44,13,"PHI"
"175",84,5,"PHI"
"176",72,-11,"PHI"
"177",48,-10,"PHI"
"178",42,12,"PHI"
"179",81,6,"PHI"
"180",83,5,"PHI"
"181",52,-16,"PHI"
"182",76,29,"PHI"
