"","x_coord","y_coord_flip","team"
"1",51,18,"PIT"
"2",80,-7,"PIT"
"3",42,6,"PIT"
"4",67,-9,"PIT"
"5",81,-3,"PIT"
"6",73,-12,"PIT"
"7",48,-3,"PIT"
"8",81,4,"PIT"
"9",59,16,"PIT"
"10",71,0,"PIT"
"11",65,-1,"PIT"
"12",60,12,"PIT"
"13",75,4,"PIT"
"14",55,-8,"PIT"
"15",68,-3,"PIT"
"16",72,-14,"PIT"
"17",80,6,"PIT"
"18",85,5,"PIT"
"19",10,32,"PIT"
"20",45,34,"PIT"
"21",81,6,"PIT"
"22",76,-5,"PIT"
"23",80,4,"PIT"
"24",80,1,"PIT"
"25",67,0,"PIT"
"26",82,-13,"PIT"
"27",84,14,"PIT"
"28",76,5,"PIT"
"29",79,12,"PIT"
"30",75,3,"PIT"
"31",59,-24,"PIT"
"32",59,2,"PIT"
"33",68,20,"PIT"
"34",72,1,"PIT"
"35",57,-13,"PIT"
"36",81,-5,"PIT"
"37",80,5,"PIT"
"38",79,12,"PIT"
"39",56,-6,"PIT"
"40",84,12,"PIT"
"41",76,-3,"PIT"
"42",72,7,"PIT"
"43",80,-1,"PIT"
"44",75,1,"PIT"
"45",56,-14,"PIT"
"46",51,-15,"PIT"
"47",82,21,"PIT"
"48",82,-18,"PIT"
"49",77,-3,"PIT"
"50",73,-12,"PIT"
"51",61,-13,"PIT"
"52",86,5,"PIT"
"53",84,-2,"PIT"
"54",79,-5,"PIT"
"55",64,0,"PIT"
"56",80,-2,"PIT"
"57",33,17,"PIT"
"58",61,31,"PIT"
"59",78,-1,"PIT"
"60",82,3,"PIT"
"61",65,4,"PIT"
"62",86,-6,"PIT"
"63",86,7,"PIT"
"64",81,-1,"PIT"
"65",71,-19,"PIT"
"66",63,-14,"PIT"
"67",79,3,"PIT"
"68",81,9,"PIT"
"69",57,23,"PIT"
"70",45,-21,"PIT"
"71",77,8,"PIT"
"72",69,10,"PIT"
"73",70,-8,"PIT"
"74",77,0,"PIT"
"75",70,9,"PIT"
"76",80,-3,"PIT"
"77",49,32,"PIT"
"78",60,0,"PIT"
"79",79,1,"PIT"
"80",74,-34,"PIT"
"81",83,-3,"PIT"
"82",73,-11,"PIT"
"83",78,11,"PIT"
"84",82,5,"PIT"
"85",80,-3,"PIT"
"86",78,-4,"PIT"
"87",82,-4,"PIT"
"88",52,-29,"PIT"
"89",58,2,"PIT"
"90",67,-19,"PIT"
"91",35,-3,"PIT"
"92",83,-3,"PIT"
"93",77,10,"PIT"
"94",82,-6,"PIT"
"95",84,-21,"PIT"
"96",81,-12,"PIT"
"97",77,-1,"PIT"
"98",63,-7,"PIT"
"99",78,1,"PIT"
"100",80,-16,"PIT"
"101",65,7,"PIT"
"102",73,-26,"PIT"
"103",81,-5,"PIT"
"104",76,12,"PIT"
"105",70,-3,"PIT"
"106",72,1,"PIT"
"107",77,3,"PIT"
"108",67,5,"PIT"
"109",74,-7,"PIT"
"110",77,6,"PIT"
"111",79,8,"PIT"
"112",58,17,"PIT"
"113",84,-8,"PIT"
"114",81,5,"PIT"
"115",79,-1,"PIT"
"116",80,0,"PIT"
"117",73,-2,"PIT"
"118",78,-9,"PIT"
"119",74,-9,"PIT"
"120",80,-7,"PIT"
"121",79,0,"PIT"
"122",79,3,"PIT"
"123",62,5,"PIT"
"124",75,0,"PIT"
"125",31,25,"PIT"
"126",81,-19,"PIT"
"127",48,6,"PIT"
"128",83,-16,"PIT"
"129",78,1,"PIT"
"130",76,-4,"PIT"
"131",65,12,"PIT"
"132",78,-7,"PIT"
"133",87,13,"PIT"
"134",74,24,"PIT"
"135",76,9,"PIT"
"136",53,-14,"PIT"
"137",69,-16,"PIT"
"138",74,1,"PIT"
"139",79,0,"PIT"
"140",68,-27,"PIT"
"141",65,0,"PIT"
"142",49,11,"PIT"
"143",78,-3,"PIT"
"144",80,-9,"PIT"
"145",75,-5,"PIT"
"146",65,-12,"PIT"
"147",81,-4,"PIT"
"148",72,-31,"PIT"
"149",63,-20,"PIT"
"150",79,3,"PIT"
"151",79,-3,"PIT"
"152",51,-1,"PIT"
"153",76,2,"PIT"
"154",66,-4,"PIT"
"155",70,-8,"PIT"
"156",81,1,"PIT"
