"","x_coord","y_coord_flip","team"
"1",80,-5,"PIT"
"2",15,-9,"PIT"
"3",40,7,"PIT"
"4",78,5,"PIT"
"5",51,35,"PIT"
"6",70,-5,"PIT"
"7",38,19,"PIT"
"8",91,-18,"PIT"
"9",62,12,"PIT"
"10",82,13,"PIT"
"11",78,7,"PIT"
"12",42,-21,"PIT"
"13",73,-25,"PIT"
"14",56,-5,"PIT"
"15",76,-1,"PIT"
"16",77,-3,"PIT"
"17",39,-22,"PIT"
"18",81,-7,"PIT"
"19",5,14,"PIT"
"20",83,14,"PIT"
"21",36,26,"PIT"
"22",80,7,"PIT"
"23",78,1,"PIT"
"24",74,15,"PIT"
"25",82,8,"PIT"
"26",36,-12,"PIT"
"27",84,-10,"PIT"
"28",78,2,"PIT"
"29",66,12,"PIT"
"30",59,6,"PIT"
"31",78,9,"PIT"
"32",78,15,"PIT"
"33",61,16,"PIT"
"34",74,1,"PIT"
"35",34,16,"PIT"
"36",66,33,"PIT"
"37",46,34,"PIT"
"38",83,-7,"PIT"
"39",39,23,"PIT"
"40",72,-31,"PIT"
"41",46,-18,"PIT"
"42",41,21,"PIT"
"43",79,-3,"PIT"
"44",75,2,"PIT"
"45",77,-10,"PIT"
"46",64,-13,"PIT"
"47",48,23,"PIT"
"48",80,-1,"PIT"
"49",65,-1,"PIT"
"50",42,7,"PIT"
"51",13,10,"PIT"
"52",73,-8,"PIT"
"53",51,-19,"PIT"
"54",72,-29,"PIT"
"55",44,18,"PIT"
"56",22,3,"PIT"
"57",65,-5,"PIT"
"58",47,12,"PIT"
"59",89,23,"PIT"
"60",38,15,"PIT"
"61",45,-21,"PIT"
"62",66,29,"PIT"
"63",44,-15,"PIT"
"64",64,32,"PIT"
"65",78,24,"PIT"
"66",35,-17,"PIT"
"67",78,11,"PIT"
"68",67,4,"PIT"
"69",63,0,"PIT"
"70",49,0,"PIT"
"71",71,-3,"PIT"
"72",65,-18,"PIT"
"73",73,31,"PIT"
"74",32,-32,"PIT"
"75",67,2,"PIT"
"76",60,28,"PIT"
"77",32,-17,"PIT"
"78",69,-18,"PIT"
"79",55,-25,"PIT"
"80",37,25,"PIT"
"81",73,-1,"PIT"
"82",40,-26,"PIT"
"83",82,-16,"PIT"
"84",58,-12,"PIT"
"85",54,-30,"PIT"
"86",59,21,"PIT"
"87",54,18,"PIT"
"88",11,15,"PIT"
"89",32,32,"PIT"
"90",47,-6,"PIT"
"91",67,-16,"PIT"
"92",37,3,"PIT"
"93",61,22,"PIT"
"94",67,3,"PIT"
"95",63,4,"PIT"
"96",75,-2,"PIT"
"97",42,-1,"PIT"
"98",59,-3,"PIT"
"99",81,-7,"PIT"
"100",79,7,"PIT"
"101",72,-14,"PIT"
"102",68,6,"PIT"
"103",37,-26,"PIT"
"104",61,-1,"PIT"
"105",77,27,"PIT"
"106",73,-10,"PIT"
"107",83,-8,"PIT"
"108",72,-1,"PIT"
"109",78,-5,"PIT"
