"","x_coord","y_coord_flip","team"
"1",70,18,"SJS"
"2",81,-10,"SJS"
"3",76,-2,"SJS"
"4",78,24,"SJS"
"5",82,2,"SJS"
"6",60,16,"SJS"
"7",82,-6,"SJS"
"8",86,2,"SJS"
"9",83,9,"SJS"
"10",57,-2,"SJS"
"11",81,2,"SJS"
"12",83,1,"SJS"
"13",73,5,"SJS"
"14",58,-15,"SJS"
"15",81,10,"SJS"
"16",84,4,"SJS"
"17",71,16,"SJS"
"18",87,1,"SJS"
"19",55,17,"SJS"
"20",79,4,"SJS"
"21",84,-1,"SJS"
"22",64,0,"SJS"
"23",84,-14,"SJS"
"24",80,14,"SJS"
"25",73,-4,"SJS"
"26",82,8,"SJS"
"27",77,4,"SJS"
"28",80,3,"SJS"
"29",48,-33,"SJS"
"30",62,-33,"SJS"
"31",64,24,"SJS"
"32",78,2,"SJS"
"33",79,1,"SJS"
"34",83,8,"SJS"
"35",84,20,"SJS"
"36",76,2,"SJS"
"37",55,-4,"SJS"
"38",82,-1,"SJS"
"39",40,-34,"SJS"
"40",60,-3,"SJS"
"41",72,-10,"SJS"
"42",64,4,"SJS"
"43",84,3,"SJS"
"44",76,17,"SJS"
"45",60,27,"SJS"
"46",61,-9,"SJS"
"47",82,-7,"SJS"
"48",84,-1,"SJS"
"49",82,-3,"SJS"
"50",68,-7,"SJS"
"51",76,0,"SJS"
"52",73,-5,"SJS"
"53",61,12,"SJS"
"54",68,19,"SJS"
"55",80,-1,"SJS"
"56",69,-18,"SJS"
"57",83,5,"SJS"
"58",79,3,"SJS"
"59",59,3,"SJS"
"60",74,-9,"SJS"
"61",82,24,"SJS"
"62",83,-3,"SJS"
"63",82,-3,"SJS"
"64",79,5,"SJS"
"65",57,0,"SJS"
"66",86,7,"SJS"
"67",56,2,"SJS"
"68",68,-9,"SJS"
"69",79,4,"SJS"
"70",68,18,"SJS"
"71",72,6,"SJS"
"72",57,10,"SJS"
"73",88,0,"SJS"
"74",53,3,"SJS"
