"","x_coord","y_coord_flip","team"
"1",33,-16,"SJS"
"2",76,8,"SJS"
"3",78,0,"SJS"
"4",60,4,"SJS"
"5",86,-3,"SJS"
"6",94,-33,"SJS"
"7",37,-9,"SJS"
"8",77,0,"SJS"
"9",72,-28,"SJS"
"10",54,1,"SJS"
"11",52,36,"SJS"
"12",75,33,"SJS"
"13",85,15,"SJS"
"14",52,-14,"SJS"
"15",53,3,"SJS"
"16",84,-10,"SJS"
"17",85,14,"SJS"
"18",64,-20,"SJS"
"19",52,2,"SJS"
"20",78,-22,"SJS"
"21",32,8,"SJS"
"22",57,-16,"SJS"
"23",67,18,"SJS"
"24",81,1,"SJS"
"25",54,1,"SJS"
"26",37,26,"SJS"
"27",69,-1,"SJS"
"28",47,-15,"SJS"
"29",49,1,"SJS"
"30",71,-8,"SJS"
"31",47,31,"SJS"
"32",71,7,"SJS"
"33",87,-31,"SJS"
"34",78,25,"SJS"
"35",36,-21,"SJS"
"36",64,20,"SJS"
"37",33,31,"SJS"
"38",70,-2,"SJS"
"39",34,26,"SJS"
"40",70,5,"SJS"
"41",39,30,"SJS"
"42",46,-1,"SJS"
"43",57,-10,"SJS"
"44",83,20,"SJS"
"45",41,1,"SJS"
"46",66,2,"SJS"
"47",64,6,"SJS"
"48",81,20,"SJS"
"49",73,-19,"SJS"
"50",58,-35,"SJS"
"51",82,-6,"SJS"
"52",61,3,"SJS"
"53",68,-3,"SJS"
"54",76,1,"SJS"
"55",81,6,"SJS"
"56",82,5,"SJS"
"57",19,39,"SJS"
"58",71,-14,"SJS"
"59",75,11,"SJS"
"60",57,-23,"SJS"
"61",84,-10,"SJS"
"62",62,-34,"SJS"
"63",49,-14,"SJS"
"64",74,-11,"SJS"
"65",63,10,"SJS"
"66",70,-9,"SJS"
"67",55,-23,"SJS"
"68",53,-5,"SJS"
"69",77,-5,"SJS"
"70",56,0,"SJS"
"71",37,25,"SJS"
"72",32,-1,"SJS"
"73",36,-25,"SJS"
"74",66,13,"SJS"
"75",75,1,"SJS"
"76",78,1,"SJS"
"77",39,28,"SJS"
"78",69,18,"SJS"
"79",32,-32,"SJS"
"80",73,20,"SJS"
"81",74,-2,"SJS"
"82",32,27,"SJS"
"83",35,21,"SJS"
"84",75,12,"SJS"
"85",71,2,"SJS"
"86",56,0,"SJS"
"87",42,21,"SJS"
"88",60,30,"SJS"
"89",84,-7,"SJS"
"90",72,1,"SJS"
"91",56,16,"SJS"
"92",80,0,"SJS"
"93",43,25,"SJS"
"94",55,16,"SJS"
"95",67,10,"SJS"
"96",70,7,"SJS"
"97",60,10,"SJS"
"98",82,3,"SJS"
"99",84,6,"SJS"
"100",80,-5,"SJS"
"101",82,-1,"SJS"
"102",51,-20,"SJS"
"103",47,13,"SJS"
"104",83,-2,"SJS"
"105",56,27,"SJS"
"106",87,7,"SJS"
"107",49,-26,"SJS"
"108",86,-7,"SJS"
"109",86,-5,"SJS"
"110",59,-24,"SJS"
"111",49,-21,"SJS"
"112",60,-12,"SJS"
"113",24,31,"SJS"
"114",60,-1,"SJS"
"115",42,24,"SJS"
"116",58,-27,"SJS"
"117",61,-22,"SJS"
"118",69,-4,"SJS"
"119",43,1,"SJS"
"120",48,-24,"SJS"
"121",85,35,"SJS"
"122",43,-18,"SJS"
"123",58,-8,"SJS"
"124",43,27,"SJS"
"125",34,21,"SJS"
"126",32,-25,"SJS"
"127",83,1,"SJS"
"128",75,4,"SJS"
"129",88,-7,"SJS"
"130",72,-7,"SJS"
"131",40,18,"SJS"
"132",61,6,"SJS"
"133",39,-20,"SJS"
"134",35,14,"SJS"
"135",35,25,"SJS"
"136",70,-6,"SJS"
"137",60,21,"SJS"
"138",3,-7,"SJS"
"139",75,2,"SJS"
"140",73,0,"SJS"
"141",76,-1,"SJS"
"142",48,21,"SJS"
"143",35,32,"SJS"
"144",35,32,"SJS"
"145",62,-38,"SJS"
"146",60,-20,"SJS"
"147",61,21,"SJS"
"148",47,15,"SJS"
"149",79,-15,"SJS"
"150",56,-37,"SJS"
"151",76,0,"SJS"
"152",80,0,"SJS"
"153",78,-20,"SJS"
"154",82,7,"SJS"
"155",67,13,"SJS"
"156",81,11,"SJS"
"157",18,-12,"SJS"
"158",81,2,"SJS"
"159",55,12,"SJS"
"160",82,8,"SJS"
"161",71,-14,"SJS"
"162",83,-6,"SJS"
"163",72,4,"SJS"
"164",51,14,"SJS"
"165",79,25,"SJS"
"166",52,-29,"SJS"
"167",45,35,"SJS"
"168",68,27,"SJS"
"169",35,25,"SJS"
"170",78,-25,"SJS"
"171",75,14,"SJS"
"172",45,-17,"SJS"
"173",22,-32,"SJS"
"174",51,25,"SJS"
"175",79,24,"SJS"
"176",42,27,"SJS"
"177",76,-3,"SJS"
"178",40,-24,"SJS"
"179",60,-6,"SJS"
"180",41,25,"SJS"
"181",41,-14,"SJS"
"182",53,-22,"SJS"
"183",51,-22,"SJS"
"184",47,20,"SJS"
"185",68,1,"SJS"
"186",48,-20,"SJS"
"187",73,-2,"SJS"
"188",48,20,"SJS"
"189",53,-14,"SJS"
"190",20,20,"SJS"
"191",46,1,"SJS"
"192",45,19,"SJS"
"193",72,20,"SJS"
"194",81,-12,"SJS"
"195",45,-5,"SJS"
"196",42,-23,"SJS"
"197",45,-24,"SJS"
"198",65,-1,"SJS"
"199",71,21,"SJS"
"200",73,29,"SJS"
"201",40,22,"SJS"
"202",76,-11,"SJS"
"203",33,19,"SJS"
"204",69,13,"SJS"
"205",66,17,"SJS"
"206",56,-14,"SJS"
"207",55,19,"SJS"
"208",49,23,"SJS"
"209",79,10,"SJS"
"210",77,4,"SJS"
"211",78,4,"SJS"
"212",44,-22,"SJS"
"213",45,-28,"SJS"
"214",66,-18,"SJS"
"215",33,-37,"SJS"
"216",82,-7,"SJS"
"217",77,6,"SJS"
"218",71,-10,"SJS"
"219",65,-27,"SJS"
"220",59,20,"SJS"
"221",81,-3,"SJS"
"222",80,-1,"SJS"
"223",34,-32,"SJS"
"224",84,3,"SJS"
"225",83,4,"SJS"
"226",83,0,"SJS"
"227",70,7,"SJS"
"228",76,10,"SJS"
"229",61,21,"SJS"
"230",45,0,"SJS"
"231",63,-3,"SJS"
"232",39,27,"SJS"
"233",11,37,"SJS"
"234",34,-31,"SJS"
"235",31,-27,"SJS"
"236",61,1,"SJS"
"237",83,-3,"SJS"
"238",75,-12,"SJS"
"239",57,-40,"SJS"
"240",42,35,"SJS"
"241",11,21,"SJS"
"242",46,-26,"SJS"
"243",60,28,"SJS"
"244",75,-9,"SJS"
"245",38,-23,"SJS"
"246",49,11,"SJS"
"247",55,-16,"SJS"
"248",74,-3,"SJS"
"249",72,12,"SJS"
"250",63,29,"SJS"
"251",34,29,"SJS"
"252",82,-25,"SJS"
"253",86,-13,"SJS"
"254",79,-14,"SJS"
"255",36,-25,"SJS"
"256",54,-15,"SJS"
"257",41,17,"SJS"
"258",56,-18,"SJS"
"259",67,-20,"SJS"
"260",78,19,"SJS"
"261",77,9,"SJS"
"262",87,11,"SJS"
"263",77,-1,"SJS"
"264",75,0,"SJS"
"265",60,14,"SJS"
"266",58,14,"SJS"
"267",76,5,"SJS"
"268",78,-5,"SJS"
"269",58,-23,"SJS"
"270",82,-21,"SJS"
"271",75,15,"SJS"
"272",68,35,"SJS"
"273",81,11,"SJS"
"274",74,0,"SJS"
"275",75,5,"SJS"
"276",83,-25,"SJS"
"277",78,29,"SJS"
"278",79,-11,"SJS"
"279",76,-9,"SJS"
"280",29,21,"SJS"
"281",84,-8,"SJS"
"282",73,-3,"SJS"
"283",59,19,"SJS"
"284",76,10,"SJS"
"285",79,17,"SJS"
"286",67,14,"SJS"
"287",55,-5,"SJS"
"288",60,32,"SJS"
"289",69,-32,"SJS"
"290",57,11,"SJS"
"291",62,20,"SJS"
"292",51,-8,"SJS"
"293",59,7,"SJS"
"294",31,4,"SJS"
"295",61,17,"SJS"
"296",47,0,"SJS"
"297",37,24,"SJS"
"298",36,20,"SJS"
"299",49,34,"SJS"
"300",34,-19,"SJS"
"301",21,-14,"SJS"
"302",53,18,"SJS"
"303",79,2,"SJS"
"304",43,9,"SJS"
"305",48,17,"SJS"
"306",56,30,"SJS"
"307",61,22,"SJS"
"308",63,-23,"SJS"
"309",64,-11,"SJS"
"310",82,-5,"SJS"
"311",79,4,"SJS"
"312",39,13,"SJS"
"313",65,12,"SJS"
"314",73,-32,"SJS"
"315",78,-1,"SJS"
"316",81,-1,"SJS"
"317",40,-17,"SJS"
"318",74,-28,"SJS"
"319",83,7,"SJS"
"320",70,-18,"SJS"
"321",78,3,"SJS"
"322",49,-3,"SJS"
"323",2,-20,"SJS"
"324",58,-34,"SJS"
"325",42,16,"SJS"
"326",51,-18,"SJS"
"327",83,13,"SJS"
"328",67,2,"SJS"
"329",71,41,"SJS"
"330",71,21,"SJS"
"331",83,-7,"SJS"
"332",76,15,"SJS"
"333",77,-5,"SJS"
"334",79,7,"SJS"
"335",41,0,"SJS"
"336",82,-6,"SJS"
"337",65,14,"SJS"
"338",82,21,"SJS"
"339",36,-32,"SJS"
"340",79,-18,"SJS"
"341",91,-24,"SJS"
"342",6,29,"SJS"
"343",76,-3,"SJS"
"344",81,2,"SJS"
"345",57,12,"SJS"
"346",81,-18,"SJS"
"347",74,-31,"SJS"
"348",67,12,"SJS"
"349",85,9,"SJS"
"350",84,8,"SJS"
"351",62,0,"SJS"
"352",45,3,"SJS"
"353",86,-7,"SJS"
"354",76,-3,"SJS"
"355",51,-4,"SJS"
"356",82,3,"SJS"
"357",89,17,"SJS"
"358",77,-5,"SJS"
"359",41,-27,"SJS"
"360",79,-4,"SJS"
"361",63,20,"SJS"
"362",45,1,"SJS"
"363",61,28,"SJS"
"364",19,0,"SJS"
"365",43,30,"SJS"
"366",66,21,"SJS"
"367",52,-25,"SJS"
"368",42,22,"SJS"
"369",70,-1,"SJS"
"370",48,-22,"SJS"
"371",50,16,"SJS"
"372",52,22,"SJS"
"373",33,-32,"SJS"
"374",77,-1,"SJS"
"375",64,-2,"SJS"
"376",56,-17,"SJS"
"377",65,-3,"SJS"
"378",72,0,"SJS"
"379",63,19,"SJS"
"380",72,3,"SJS"
"381",44,-26,"SJS"
"382",84,-27,"SJS"
"383",58,11,"SJS"
"384",80,-7,"SJS"
"385",56,-28,"SJS"
"386",33,1,"SJS"
"387",55,-15,"SJS"
"388",55,-1,"SJS"
"389",33,22,"SJS"
"390",74,-11,"SJS"
"391",84,-7,"SJS"
"392",46,28,"SJS"
"393",64,10,"SJS"
"394",48,-19,"SJS"
"395",60,-14,"SJS"
"396",66,-8,"SJS"
"397",77,1,"SJS"
"398",67,1,"SJS"
"399",36,-23,"SJS"
"400",30,-26,"SJS"
"401",55,-21,"SJS"
"402",51,-12,"SJS"
"403",55,-22,"SJS"
"404",36,-16,"SJS"
"405",45,5,"SJS"
"406",13,-35,"SJS"
"407",63,-16,"SJS"
"408",73,-11,"SJS"
"409",50,2,"SJS"
"410",70,-2,"SJS"
"411",71,1,"SJS"
"412",31,8,"SJS"
"413",79,-8,"SJS"
"414",43,-17,"SJS"
"415",33,25,"SJS"
"416",69,26,"SJS"
"417",70,12,"SJS"
"418",78,7,"SJS"
"419",33,-13,"SJS"
"420",45,28,"SJS"
"421",79,20,"SJS"
"422",84,3,"SJS"
"423",33,-9,"SJS"
"424",35,-23,"SJS"
"425",33,24,"SJS"
"426",34,-21,"SJS"
"427",38,-28,"SJS"
"428",43,37,"SJS"
"429",21,35,"SJS"
"430",39,-1,"SJS"
"431",53,-19,"SJS"
"432",70,-8,"SJS"
"433",20,-10,"SJS"
"434",64,-1,"SJS"
"435",81,5,"SJS"
"436",51,-34,"SJS"
"437",47,-1,"SJS"
"438",84,35,"SJS"
"439",78,-5,"SJS"
"440",84,3,"SJS"
"441",81,0,"SJS"
"442",1,37,"SJS"
"443",35,-16,"SJS"
"444",36,17,"SJS"
"445",72,-2,"SJS"
"446",84,-4,"SJS"
"447",86,-3,"SJS"
"448",86,-2,"SJS"
"449",85,-3,"SJS"
"450",79,-5,"SJS"
"451",85,-4,"SJS"
"452",47,-33,"SJS"
"453",85,-7,"SJS"
"454",84,-3,"SJS"
"455",90,24,"SJS"
"456",51,25,"SJS"
"457",51,-17,"SJS"
"458",39,26,"SJS"
"459",49,-15,"SJS"
"460",80,-19,"SJS"
"461",64,12,"SJS"
"462",87,4,"SJS"
"463",84,3,"SJS"
"464",81,3,"SJS"
"465",38,31,"SJS"
"466",81,2,"SJS"
"467",76,-1,"SJS"
"468",74,9,"SJS"
"469",35,-25,"SJS"
"470",1,-7,"SJS"
"471",86,-4,"SJS"
"472",45,25,"SJS"
"473",61,-18,"SJS"
"474",54,16,"SJS"
"475",61,-28,"SJS"
"476",43,21,"SJS"
"477",65,-30,"SJS"
"478",85,-10,"SJS"
"479",79,6,"SJS"
"480",78,-14,"SJS"
"481",85,-7,"SJS"
"482",73,-1,"SJS"
"483",55,23,"SJS"
"484",51,27,"SJS"
"485",53,-17,"SJS"
"486",45,4,"SJS"
"487",59,-16,"SJS"
"488",82,2,"SJS"
"489",84,-1,"SJS"
"490",38,-11,"SJS"
"491",84,0,"SJS"
"492",34,-23,"SJS"
"493",31,-22,"SJS"
"494",58,0,"SJS"
"495",43,-22,"SJS"
"496",51,-23,"SJS"
"497",82,-5,"SJS"
"498",79,17,"SJS"
"499",28,11,"SJS"
"500",38,22,"SJS"
"501",81,-3,"SJS"
"502",22,-8,"SJS"
"503",37,23,"SJS"
"504",89,-9,"SJS"
"505",46,13,"SJS"
"506",64,-7,"SJS"
"507",42,20,"SJS"
"508",41,26,"SJS"
"509",39,-5,"SJS"
"510",59,13,"SJS"
"511",84,21,"SJS"
"512",59,-8,"SJS"
"513",65,-36,"SJS"
"514",48,34,"SJS"
"515",41,16,"SJS"
"516",39,21,"SJS"
"517",36,26,"SJS"
"518",73,20,"SJS"
"519",38,26,"SJS"
"520",62,-18,"SJS"
"521",78,-25,"SJS"
"522",37,29,"SJS"
"523",76,-5,"SJS"
"524",81,-3,"SJS"
"525",82,-6,"SJS"
"526",86,-16,"SJS"
"527",65,-10,"SJS"
"528",34,-16,"SJS"
"529",82,8,"SJS"
"530",73,-17,"SJS"
"531",71,16,"SJS"
"532",61,8,"SJS"
"533",44,-25,"SJS"
"534",40,-19,"SJS"
"535",45,18,"SJS"
