"","x_coord","y_coord_flip","team"
"1",71,6,"STL"
"2",51,-1,"STL"
"3",77,5,"STL"
"4",77,18,"STL"
"5",37,14,"STL"
"6",69,-14,"STL"
"7",81,-8,"STL"
"8",76,3,"STL"
"9",81,-5,"STL"
"10",34,-7,"STL"
"11",52,7,"STL"
"12",85,6,"STL"
"13",77,14,"STL"
"14",71,-1,"STL"
"15",70,-2,"STL"
"16",31,1,"STL"
"17",68,15,"STL"
"18",70,-1,"STL"
"19",66,18,"STL"
"20",64,1,"STL"
"21",64,-3,"STL"
"22",83,7,"STL"
"23",31,28,"STL"
"24",76,-9,"STL"
"25",54,-1,"STL"
"26",93,27,"STL"
"27",73,-8,"STL"
"28",78,-19,"STL"
"29",82,-10,"STL"
"30",73,12,"STL"
"31",71,7,"STL"
"32",70,23,"STL"
"33",68,-2,"STL"
"34",73,2,"STL"
"35",76,-1,"STL"
"36",59,0,"STL"
"37",72,3,"STL"
"38",83,7,"STL"
"39",51,27,"STL"
"40",71,20,"STL"
"41",70,4,"STL"
"42",73,12,"STL"
"43",77,7,"STL"
"44",72,-1,"STL"
"45",66,17,"STL"
"46",60,18,"STL"
"47",61,-3,"STL"
"48",84,-9,"STL"
"49",85,0,"STL"
"50",80,0,"STL"
"51",74,7,"STL"
"52",59,-23,"STL"
"53",78,4,"STL"
"54",72,5,"STL"
"55",61,-5,"STL"
"56",78,1,"STL"
"57",72,21,"STL"
"58",78,9,"STL"
"59",69,-3,"STL"
"60",67,3,"STL"
"61",58,28,"STL"
"62",72,-10,"STL"
"63",80,-6,"STL"
"64",60,-15,"STL"
"65",85,-12,"STL"
"66",72,4,"STL"
"67",76,0,"STL"
"68",77,8,"STL"
"69",64,18,"STL"
"70",77,-10,"STL"
"71",61,-4,"STL"
"72",59,-8,"STL"
"73",67,-12,"STL"
"74",40,-14,"STL"
"75",75,3,"STL"
"76",75,3,"STL"
"77",72,4,"STL"
"78",34,9,"STL"
"79",64,0,"STL"
"80",66,0,"STL"
"81",71,-11,"STL"
"82",72,-17,"STL"
"83",85,-9,"STL"
"84",40,27,"STL"
"85",83,5,"STL"
"86",40,-32,"STL"
