"","x_coord","y_coord_flip","team"
"1",51,19,"STL"
"2",73,0,"STL"
"3",45,27,"STL"
"4",72,-3,"STL"
"5",41,-3,"STL"
"6",78,-12,"STL"
"7",51,1,"STL"
"8",66,14,"STL"
"9",64,3,"STL"
"10",39,29,"STL"
"11",73,3,"STL"
"12",50,-32,"STL"
"13",62,12,"STL"
"14",59,8,"STL"
"15",58,8,"STL"
"16",61,5,"STL"
"17",72,35,"STL"
"18",55,20,"STL"
"19",68,12,"STL"
"20",60,-15,"STL"
"21",57,17,"STL"
"22",81,17,"STL"
"23",82,-8,"STL"
"24",84,-5,"STL"
"25",44,-9,"STL"
"26",41,23,"STL"
"27",71,-19,"STL"
"28",83,-3,"STL"
"29",63,17,"STL"
"30",83,3,"STL"
"31",64,-2,"STL"
"32",66,13,"STL"
"33",73,-16,"STL"
"34",54,22,"STL"
"35",84,-9,"STL"
"36",67,9,"STL"
"37",84,-6,"STL"
"38",82,-5,"STL"
"39",78,-2,"STL"
"40",38,33,"STL"
"41",73,17,"STL"
"42",86,-9,"STL"
"43",43,-30,"STL"
"44",72,-2,"STL"
"45",57,22,"STL"
"46",58,25,"STL"
"47",78,-2,"STL"
"48",78,9,"STL"
"49",61,30,"STL"
"50",81,16,"STL"
"51",41,-23,"STL"
"52",50,20,"STL"
"53",61,-9,"STL"
"54",50,3,"STL"
"55",42,31,"STL"
"56",47,3,"STL"
"57",78,-27,"STL"
"58",44,29,"STL"
"59",61,-2,"STL"
"60",76,-10,"STL"
"61",48,-1,"STL"
"62",69,-1,"STL"
"63",37,-16,"STL"
"64",79,-20,"STL"
"65",72,22,"STL"
"66",36,25,"STL"
"67",71,35,"STL"
"68",70,9,"STL"
"69",36,-21,"STL"
"70",83,-7,"STL"
"71",20,31,"STL"
"72",39,0,"STL"
"73",80,4,"STL"
"74",16,35,"STL"
"75",40,35,"STL"
"76",78,-14,"STL"
"77",36,-12,"STL"
"78",34,-27,"STL"
"79",67,-14,"STL"
"80",55,-15,"STL"
"81",42,-29,"STL"
"82",77,18,"STL"
"83",76,-1,"STL"
"84",54,7,"STL"
"85",52,8,"STL"
"86",80,3,"STL"
"87",65,-26,"STL"
"88",74,-17,"STL"
"89",69,-13,"STL"
"90",21,32,"STL"
"91",75,-9,"STL"
"92",80,-8,"STL"
"93",81,-8,"STL"
"94",58,14,"STL"
"95",70,2,"STL"
"96",60,20,"STL"
"97",69,35,"STL"
"98",61,-12,"STL"
"99",54,-24,"STL"
"100",65,-6,"STL"
"101",94,-29,"STL"
"102",84,8,"STL"
"103",77,-5,"STL"
"104",84,3,"STL"
"105",80,-10,"STL"
"106",67,-4,"STL"
"107",57,-29,"STL"
"108",79,-3,"STL"
"109",45,-27,"STL"
"110",38,22,"STL"
"111",49,18,"STL"
"112",46,-24,"STL"
"113",33,8,"STL"
"114",84,5,"STL"
"115",40,-17,"STL"
"116",72,21,"STL"
"117",75,-12,"STL"
"118",47,34,"STL"
"119",60,31,"STL"
"120",50,-32,"STL"
"121",51,12,"STL"
"122",87,7,"STL"
"123",49,27,"STL"
"124",47,-35,"STL"
"125",58,-8,"STL"
"126",58,-12,"STL"
"127",79,4,"STL"
"128",73,-1,"STL"
"129",53,6,"STL"
"130",42,-21,"STL"
"131",64,4,"STL"
"132",95,5,"STL"
"133",45,25,"STL"
"134",36,-9,"STL"
"135",73,7,"STL"
"136",66,-5,"STL"
"137",37,19,"STL"
"138",37,-1,"STL"
"139",68,-16,"STL"
"140",56,31,"STL"
"141",40,5,"STL"
"142",52,7,"STL"
"143",87,7,"STL"
"144",57,27,"STL"
"145",70,-1,"STL"
"146",67,1,"STL"
"147",47,-19,"STL"
"148",41,-25,"STL"
"149",53,23,"STL"
"150",81,-9,"STL"
"151",73,-13,"STL"
"152",79,7,"STL"
"153",82,5,"STL"
"154",86,-12,"STL"
"155",82,-7,"STL"
"156",82,-8,"STL"
"157",85,-8,"STL"
"158",71,28,"STL"
"159",82,6,"STL"
"160",81,6,"STL"
"161",87,-10,"STL"
"162",68,-20,"STL"
"163",63,31,"STL"
"164",88,-10,"STL"
"165",81,10,"STL"
"166",65,-38,"STL"
"167",84,-5,"STL"
"168",67,-39,"STL"
"169",82,36,"STL"
"170",40,-30,"STL"
"171",75,13,"STL"
"172",33,-23,"STL"
"173",67,-29,"STL"
"174",73,23,"STL"
"175",32,33,"STL"
"176",82,8,"STL"
"177",35,-36,"STL"
"178",50,-20,"STL"
"179",61,36,"STL"
"180",31,-31,"STL"
"181",47,37,"STL"
"182",34,0,"STL"
"183",62,22,"STL"
"184",34,7,"STL"
"185",60,-25,"STL"
"186",39,0,"STL"
"187",88,7,"STL"
"188",51,0,"STL"
"189",63,7,"STL"
"190",46,10,"STL"
"191",32,10,"STL"
"192",73,12,"STL"
"193",85,-17,"STL"
"194",78,18,"STL"
"195",39,-15,"STL"
"196",73,-8,"STL"
"197",26,5,"STL"
"198",77,-1,"STL"
"199",71,19,"STL"
"200",77,-2,"STL"
"201",61,18,"STL"
"202",30,-28,"STL"
"203",50,27,"STL"
"204",34,-30,"STL"
"205",73,-15,"STL"
"206",46,-21,"STL"
"207",46,27,"STL"
"208",51,21,"STL"
"209",34,-30,"STL"
"210",69,-8,"STL"
"211",73,22,"STL"
"212",44,19,"STL"
"213",30,3,"STL"
"214",33,12,"STL"
"215",48,16,"STL"
"216",84,-19,"STL"
"217",58,3,"STL"
"218",34,27,"STL"
"219",33,-9,"STL"
"220",77,5,"STL"
"221",60,-38,"STL"
"222",43,14,"STL"
"223",51,18,"STL"
"224",72,-16,"STL"
"225",35,35,"STL"
"226",50,28,"STL"
"227",50,25,"STL"
"228",36,-30,"STL"
"229",64,5,"STL"
"230",58,-24,"STL"
"231",55,18,"STL"
"232",66,0,"STL"
"233",62,33,"STL"
"234",68,9,"STL"
"235",69,1,"STL"
"236",68,0,"STL"
"237",42,-36,"STL"
"238",82,-3,"STL"
"239",35,32,"STL"
"240",84,-28,"STL"
"241",56,-20,"STL"
"242",33,-1,"STL"
"243",45,29,"STL"
"244",67,23,"STL"
"245",72,-1,"STL"
"246",59,13,"STL"
"247",67,11,"STL"
"248",82,-3,"STL"
"249",75,-5,"STL"
"250",45,22,"STL"
"251",59,-1,"STL"
"252",80,7,"STL"
"253",60,-1,"STL"
"254",67,8,"STL"
"255",84,-6,"STL"
"256",49,36,"STL"
"257",60,-18,"STL"
"258",92,7,"STL"
"259",84,4,"STL"
"260",50,27,"STL"
"261",72,2,"STL"
"262",78,5,"STL"
"263",68,4,"STL"
"264",47,34,"STL"
"265",46,-33,"STL"
"266",67,-24,"STL"
"267",42,13,"STL"
"268",38,29,"STL"
"269",83,-22,"STL"
"270",70,31,"STL"
"271",56,21,"STL"
"272",78,1,"STL"
"273",65,-22,"STL"
"274",64,23,"STL"
"275",73,2,"STL"
"276",73,1,"STL"
"277",62,16,"STL"
"278",72,-12,"STL"
"279",46,-10,"STL"
"280",76,10,"STL"
"281",79,-1,"STL"
"282",75,-9,"STL"
"283",79,4,"STL"
"284",57,-23,"STL"
"285",60,28,"STL"
"286",69,16,"STL"
"287",38,-7,"STL"
"288",82,-14,"STL"
"289",79,-7,"STL"
"290",83,-22,"STL"
"291",63,15,"STL"
"292",80,-32,"STL"
"293",78,-1,"STL"
"294",91,-6,"STL"
"295",54,-17,"STL"
"296",76,-20,"STL"
"297",52,35,"STL"
"298",67,8,"STL"
"299",80,-13,"STL"
"300",69,2,"STL"
"301",73,3,"STL"
"302",78,12,"STL"
"303",68,18,"STL"
"304",70,6,"STL"
"305",69,19,"STL"
"306",70,-23,"STL"
"307",51,12,"STL"
"308",57,-29,"STL"
"309",69,7,"STL"
"310",66,10,"STL"
"311",68,31,"STL"
"312",85,-8,"STL"
"313",76,-19,"STL"
"314",71,-19,"STL"
"315",65,18,"STL"
"316",61,23,"STL"
"317",6,-33,"STL"
"318",85,-11,"STL"
"319",43,27,"STL"
"320",55,10,"STL"
"321",60,-6,"STL"
"322",58,-23,"STL"
"323",80,13,"STL"
"324",72,-19,"STL"
"325",40,-19,"STL"
"326",60,6,"STL"
"327",44,19,"STL"
"328",73,-8,"STL"
"329",42,27,"STL"
"330",65,27,"STL"
"331",88,-15,"STL"
"332",42,28,"STL"
"333",67,21,"STL"
