"","x_coord","y_coord_flip","team"
"1",75,-6,"TBL"
"2",79,2,"TBL"
"3",69,1,"TBL"
"4",73,11,"TBL"
"5",75,-16,"TBL"
"6",66,3,"TBL"
"7",72,-5,"TBL"
"8",57,10,"TBL"
"9",62,11,"TBL"
"10",74,-8,"TBL"
"11",50,6,"TBL"
"12",66,-1,"TBL"
"13",69,-4,"TBL"
"14",71,-3,"TBL"
"15",73,3,"TBL"
"16",68,0,"TBL"
"17",72,-2,"TBL"
"18",69,-1,"TBL"
"19",10,34,"TBL"
"20",74,0,"TBL"
"21",84,1,"TBL"
"22",68,0,"TBL"
"23",83,7,"TBL"
"24",79,6,"TBL"
"25",83,-3,"TBL"
"26",72,3,"TBL"
"27",81,-8,"TBL"
"28",66,-17,"TBL"
"29",51,-3,"TBL"
"30",61,7,"TBL"
"31",70,-1,"TBL"
"32",85,-1,"TBL"
"33",84,-5,"TBL"
"34",57,36,"TBL"
"35",37,22,"TBL"
"36",62,2,"TBL"
"37",76,3,"TBL"
"38",61,-24,"TBL"
"39",53,2,"TBL"
"40",74,7,"TBL"
"41",76,-6,"TBL"
"42",81,-8,"TBL"
"43",63,21,"TBL"
"44",72,-18,"TBL"
"45",62,7,"TBL"
"46",60,16,"TBL"
"47",77,-1,"TBL"
"48",83,2,"TBL"
"49",74,-10,"TBL"
"50",73,7,"TBL"
"51",81,2,"TBL"
"52",66,-13,"TBL"
"53",75,0,"TBL"
"54",73,-3,"TBL"
"55",63,10,"TBL"
"56",65,-18,"TBL"
"57",60,27,"TBL"
"58",58,-13,"TBL"
"59",69,6,"TBL"
"60",64,9,"TBL"
"61",61,-23,"TBL"
"62",75,0,"TBL"
"63",35,10,"TBL"
"64",63,0,"TBL"
"65",73,2,"TBL"
"66",69,14,"TBL"
"67",81,15,"TBL"
"68",75,-3,"TBL"
"69",54,-18,"TBL"
"70",61,12,"TBL"
"71",74,-12,"TBL"
"72",76,-1,"TBL"
"73",59,-5,"TBL"
"74",83,3,"TBL"
"75",74,10,"TBL"
"76",50,26,"TBL"
"77",78,0,"TBL"
"78",77,-4,"TBL"
"79",57,-21,"TBL"
"80",77,-8,"TBL"
"81",63,-13,"TBL"
"82",76,-7,"TBL"
"83",75,5,"TBL"
"84",33,-23,"TBL"
"85",66,-1,"TBL"
"86",74,1,"TBL"
"87",74,-4,"TBL"
"88",64,0,"TBL"
"89",85,-15,"TBL"
"90",64,-16,"TBL"
"91",71,-1,"TBL"
"92",73,-5,"TBL"
"93",65,-16,"TBL"
"94",68,-1,"TBL"
"95",75,-6,"TBL"
"96",69,1,"TBL"
"97",62,2,"TBL"
"98",66,19,"TBL"
"99",38,9,"TBL"
"100",69,23,"TBL"
"101",56,20,"TBL"
"102",67,24,"TBL"
"103",83,7,"TBL"
"104",81,-8,"TBL"
"105",51,13,"TBL"
"106",58,0,"TBL"
"107",75,-5,"TBL"
"108",77,2,"TBL"
"109",52,14,"TBL"
"110",82,-5,"TBL"
"111",83,-6,"TBL"
"112",69,3,"TBL"
"113",63,31,"TBL"
"114",71,2,"TBL"
"115",69,1,"TBL"
"116",69,-2,"TBL"
"117",69,-3,"TBL"
"118",77,-7,"TBL"
"119",74,-7,"TBL"
"120",61,17,"TBL"
"121",73,7,"TBL"
"122",80,-12,"TBL"
"123",75,3,"TBL"
"124",72,-7,"TBL"
"125",70,-4,"TBL"
"126",79,-8,"TBL"
"127",56,22,"TBL"
"128",59,13,"TBL"
"129",55,20,"TBL"
"130",73,2,"TBL"
"131",56,1,"TBL"
"132",80,9,"TBL"
"133",79,-9,"TBL"
"134",68,-18,"TBL"
"135",66,-7,"TBL"
"136",63,-4,"TBL"
"137",84,9,"TBL"
"138",37,8,"TBL"
"139",69,-1,"TBL"
"140",76,31,"TBL"
