"","x_coord","y_coord_flip","team"
"1",66,9,"TBL"
"2",20,-30,"TBL"
"3",32,-12,"TBL"
"4",68,32,"TBL"
"5",39,14,"TBL"
"6",72,-25,"TBL"
"7",40,-19,"TBL"
"8",48,16,"TBL"
"9",34,26,"TBL"
"10",44,22,"TBL"
"11",77,-1,"TBL"
"12",54,15,"TBL"
"13",78,-21,"TBL"
"14",36,16,"TBL"
"15",67,10,"TBL"
"16",66,14,"TBL"
"17",68,35,"TBL"
"18",62,-16,"TBL"
"19",56,10,"TBL"
"20",75,-1,"TBL"
"21",66,7,"TBL"
"22",38,13,"TBL"
"23",72,33,"TBL"
"24",47,16,"TBL"
"25",59,-4,"TBL"
"26",69,-6,"TBL"
"27",61,8,"TBL"
"28",40,-18,"TBL"
"29",66,2,"TBL"
"30",81,11,"TBL"
"31",34,5,"TBL"
"32",37,18,"TBL"
"33",72,-24,"TBL"
"34",75,-10,"TBL"
"35",73,0,"TBL"
"36",56,21,"TBL"
"37",73,-7,"TBL"
"38",76,-3,"TBL"
"39",40,23,"TBL"
"40",63,-18,"TBL"
"41",75,16,"TBL"
"42",77,15,"TBL"
"43",78,11,"TBL"
"44",78,-12,"TBL"
"45",26,8,"TBL"
"46",76,1,"TBL"
"47",65,-14,"TBL"
"48",79,17,"TBL"
"49",79,7,"TBL"
"50",69,1,"TBL"
"51",38,21,"TBL"
"52",55,-26,"TBL"
"53",66,-1,"TBL"
"54",74,-5,"TBL"
"55",63,-8,"TBL"
"56",61,-13,"TBL"
"57",77,8,"TBL"
"58",39,22,"TBL"
"59",72,2,"TBL"
"60",73,2,"TBL"
"61",65,9,"TBL"
"62",70,-25,"TBL"
"63",56,16,"TBL"
"64",43,15,"TBL"
"65",56,11,"TBL"
"66",22,-31,"TBL"
"67",62,14,"TBL"
"68",60,-2,"TBL"
"69",39,-3,"TBL"
"70",69,-16,"TBL"
"71",57,29,"TBL"
"72",66,-10,"TBL"
"73",79,-8,"TBL"
"74",54,15,"TBL"
"75",60,-1,"TBL"
"76",48,23,"TBL"
"77",72,-17,"TBL"
"78",64,20,"TBL"
"79",74,-4,"TBL"
"80",76,15,"TBL"
"81",72,-20,"TBL"
"82",38,-21,"TBL"
"83",37,20,"TBL"
"84",35,-5,"TBL"
"85",73,5,"TBL"
"86",41,-1,"TBL"
"87",69,-9,"TBL"
"88",64,-5,"TBL"
"89",35,25,"TBL"
"90",62,13,"TBL"
"91",58,26,"TBL"
"92",48,-33,"TBL"
"93",72,15,"TBL"
"94",80,-14,"TBL"
"95",36,-18,"TBL"
"96",74,-11,"TBL"
"97",56,-10,"TBL"
"98",46,3,"TBL"
"99",78,-5,"TBL"
"100",81,-7,"TBL"
"101",73,2,"TBL"
"102",81,-34,"TBL"
"103",34,15,"TBL"
"104",56,-16,"TBL"
"105",61,-21,"TBL"
"106",78,8,"TBL"
"107",75,-19,"TBL"
"108",67,29,"TBL"
"109",77,-31,"TBL"
"110",35,28,"TBL"
"111",17,29,"TBL"
"112",59,17,"TBL"
"113",62,-22,"TBL"
"114",71,-2,"TBL"
"115",63,7,"TBL"
"116",60,14,"TBL"
"117",60,19,"TBL"
"118",38,30,"TBL"
"119",45,1,"TBL"
"120",37,-4,"TBL"
"121",46,-5,"TBL"
"122",69,25,"TBL"
"123",41,32,"TBL"
"124",66,0,"TBL"
"125",64,-13,"TBL"
"126",39,27,"TBL"
"127",67,14,"TBL"
"128",50,20,"TBL"
"129",34,7,"TBL"
"130",75,-28,"TBL"
"131",60,7,"TBL"
"132",46,-34,"TBL"
"133",37,21,"TBL"
"134",43,-20,"TBL"
"135",39,-20,"TBL"
"136",68,30,"TBL"
"137",55,18,"TBL"
"138",77,-5,"TBL"
"139",55,-33,"TBL"
"140",40,-34,"TBL"
"141",31,13,"TBL"
"142",47,33,"TBL"
"143",58,-4,"TBL"
"144",36,-32,"TBL"
"145",0,-40,"TBL"
"146",51,-20,"TBL"
"147",57,14,"TBL"
"148",64,10,"TBL"
"149",86,5,"TBL"
"150",60,12,"TBL"
"151",59,25,"TBL"
"152",32,-25,"TBL"
"153",73,-20,"TBL"
"154",40,-2,"TBL"
"155",40,-14,"TBL"
"156",55,29,"TBL"
"157",72,-29,"TBL"
"158",63,32,"TBL"
"159",63,20,"TBL"
"160",19,30,"TBL"
"161",65,-26,"TBL"
"162",58,-25,"TBL"
"163",55,-19,"TBL"
"164",53,34,"TBL"
"165",84,31,"TBL"
"166",79,-30,"TBL"
"167",54,34,"TBL"
"168",72,-5,"TBL"
"169",41,-13,"TBL"
"170",69,18,"TBL"
