"","x_coord","y_coord_flip","team"
"1",64,-14,"TOR"
"2",63,-5,"TOR"
"3",74,-4,"TOR"
"4",78,-18,"TOR"
"5",56,-13,"TOR"
"6",83,10,"TOR"
"7",74,3,"TOR"
"8",81,-14,"TOR"
"9",82,8,"TOR"
"10",74,0,"TOR"
"11",67,-31,"TOR"
"12",71,0,"TOR"
"13",58,-1,"TOR"
"14",55,12,"TOR"
"15",60,-8,"TOR"
"16",64,-21,"TOR"
"17",39,10,"TOR"
"18",71,-5,"TOR"
"19",87,-3,"TOR"
"20",82,-1,"TOR"
"21",66,10,"TOR"
"22",83,8,"TOR"
"23",69,-17,"TOR"
"24",80,-1,"TOR"
"25",54,-33,"TOR"
"26",73,-5,"TOR"
"27",81,5,"TOR"
"28",77,2,"TOR"
"29",85,5,"TOR"
"30",97,-8,"TOR"
"31",84,10,"TOR"
"32",78,8,"TOR"
"33",80,2,"TOR"
"34",67,10,"TOR"
"35",75,-5,"TOR"
"36",33,23,"TOR"
"37",73,21,"TOR"
"38",82,3,"TOR"
"39",72,23,"TOR"
"40",57,16,"TOR"
"41",77,7,"TOR"
"42",85,11,"TOR"
"43",81,11,"TOR"
"44",79,1,"TOR"
"45",82,-3,"TOR"
"46",72,10,"TOR"
"47",79,9,"TOR"
"48",75,-7,"TOR"
"49",74,6,"TOR"
"50",64,7,"TOR"
"51",18,-28,"TOR"
"52",80,2,"TOR"
"53",68,-23,"TOR"
"54",78,6,"TOR"
"55",78,-5,"TOR"
"56",35,-39,"TOR"
"57",83,12,"TOR"
"58",78,19,"TOR"
"59",76,0,"TOR"
"60",75,-3,"TOR"
"61",48,-19,"TOR"
"62",82,5,"TOR"
"63",79,0,"TOR"
"64",92,-10,"TOR"
"65",67,-6,"TOR"
"66",66,-14,"TOR"
"67",76,-1,"TOR"
"68",70,-7,"TOR"
"69",80,4,"TOR"
"70",69,7,"TOR"
"71",88,12,"TOR"
"72",77,-4,"TOR"
"73",77,-2,"TOR"
"74",72,-7,"TOR"
"75",69,-2,"TOR"
"76",80,17,"TOR"
"77",32,33,"TOR"
"78",64,19,"TOR"
"79",71,-13,"TOR"
"80",74,-3,"TOR"
"81",70,3,"TOR"
"82",79,-1,"TOR"
"83",70,-23,"TOR"
"84",75,-21,"TOR"
"85",65,1,"TOR"
"86",42,-26,"TOR"
"87",83,-8,"TOR"
"88",73,-3,"TOR"
"89",82,10,"TOR"
"90",55,-9,"TOR"
"91",83,-9,"TOR"
"92",72,14,"TOR"
"93",72,12,"TOR"
"94",78,-18,"TOR"
"95",95,-27,"TOR"
"96",80,1,"TOR"
"97",83,-8,"TOR"
"98",68,8,"TOR"
"99",90,6,"TOR"
"100",81,-3,"TOR"
"101",87,-7,"TOR"
"102",57,12,"TOR"
"103",80,-9,"TOR"
"104",68,11,"TOR"
"105",78,6,"TOR"
"106",84,-10,"TOR"
"107",57,7,"TOR"
"108",81,1,"TOR"
"109",78,-7,"TOR"
"110",87,8,"TOR"
"111",85,-12,"TOR"
"112",82,-6,"TOR"
"113",77,-3,"TOR"
"114",70,-7,"TOR"
"115",80,-5,"TOR"
"116",73,11,"TOR"
"117",55,30,"TOR"
