"","x_coord","y_coord_flip","team"
"1",37,-10,"TOR"
"2",51,18,"TOR"
"3",77,-7,"TOR"
"4",57,28,"TOR"
"5",82,3,"TOR"
"6",70,4,"TOR"
"7",66,30,"TOR"
"8",39,-28,"TOR"
"9",37,-13,"TOR"
"10",47,-23,"TOR"
"11",83,-12,"TOR"
"12",83,0,"TOR"
"13",75,-11,"TOR"
"14",59,-6,"TOR"
"15",72,-19,"TOR"
"16",35,-33,"TOR"
"17",37,34,"TOR"
"18",57,0,"TOR"
"19",86,8,"TOR"
"20",71,10,"TOR"
"21",76,10,"TOR"
"22",63,6,"TOR"
"23",81,-9,"TOR"
"24",55,6,"TOR"
"25",80,18,"TOR"
"26",84,3,"TOR"
"27",39,24,"TOR"
"28",76,-1,"TOR"
"29",68,17,"TOR"
"30",58,-10,"TOR"
"31",51,5,"TOR"
"32",75,-1,"TOR"
"33",68,26,"TOR"
"34",53,36,"TOR"
"35",84,18,"TOR"
"36",62,8,"TOR"
"37",81,-12,"TOR"
"38",62,10,"TOR"
"39",33,-3,"TOR"
"40",82,-8,"TOR"
"41",43,20,"TOR"
"42",87,-7,"TOR"
"43",41,-30,"TOR"
"44",84,5,"TOR"
"45",69,16,"TOR"
"46",72,8,"TOR"
"47",48,10,"TOR"
"48",66,-2,"TOR"
"49",41,20,"TOR"
"50",36,-17,"TOR"
"51",81,3,"TOR"
"52",67,17,"TOR"
"53",32,31,"TOR"
"54",83,18,"TOR"
"55",40,-5,"TOR"
"56",66,-21,"TOR"
"57",80,7,"TOR"
"58",81,-25,"TOR"
"59",75,2,"TOR"
"60",73,0,"TOR"
"61",78,1,"TOR"
"62",82,9,"TOR"
"63",52,-35,"TOR"
"64",67,10,"TOR"
"65",79,11,"TOR"
"66",60,-26,"TOR"
"67",72,-27,"TOR"
"68",68,-22,"TOR"
"69",71,-18,"TOR"
"70",77,-10,"TOR"
"71",50,-19,"TOR"
"72",45,-20,"TOR"
"73",61,6,"TOR"
"74",60,-27,"TOR"
"75",75,16,"TOR"
"76",74,-20,"TOR"
"77",43,27,"TOR"
"78",81,0,"TOR"
"79",33,-19,"TOR"
"80",5,-36,"TOR"
"81",82,33,"TOR"
"82",75,3,"TOR"
"83",76,-13,"TOR"
"84",42,25,"TOR"
"85",37,26,"TOR"
"86",73,18,"TOR"
"87",51,25,"TOR"
"88",38,-27,"TOR"
"89",46,25,"TOR"
"90",74,18,"TOR"
"91",40,27,"TOR"
"92",78,-1,"TOR"
"93",37,-23,"TOR"
"94",63,0,"TOR"
"95",78,0,"TOR"
"96",78,-4,"TOR"
"97",70,6,"TOR"
"98",79,2,"TOR"
"99",76,-2,"TOR"
"100",36,-12,"TOR"
"101",57,26,"TOR"
"102",41,-32,"TOR"
"103",85,-6,"TOR"
"104",54,-23,"TOR"
"105",81,2,"TOR"
"106",5,36,"TOR"
"107",14,-3,"TOR"
"108",34,-24,"TOR"
"109",85,12,"TOR"
"110",70,3,"TOR"
"111",37,-4,"TOR"
"112",70,2,"TOR"
"113",49,19,"TOR"
"114",78,-16,"TOR"
"115",78,-3,"TOR"
"116",62,-29,"TOR"
"117",55,25,"TOR"
"118",81,-3,"TOR"
"119",66,0,"TOR"
"120",51,37,"TOR"
"121",69,30,"TOR"
"122",79,7,"TOR"
"123",60,33,"TOR"
"124",80,9,"TOR"
"125",70,23,"TOR"
"126",76,-38,"TOR"
"127",78,13,"TOR"
"128",40,-20,"TOR"
"129",78,4,"TOR"
"130",75,26,"TOR"
"131",1,-41,"TOR"
"132",54,-19,"TOR"
"133",68,1,"TOR"
"134",54,9,"TOR"
"135",64,2,"TOR"
"136",23,0,"TOR"
"137",78,2,"TOR"
"138",62,23,"TOR"
"139",60,-10,"TOR"
"140",86,-27,"TOR"
"141",76,27,"TOR"
"142",58,-22,"TOR"
"143",77,-1,"TOR"
"144",55,-3,"TOR"
"145",32,29,"TOR"
"146",73,-7,"TOR"
"147",80,6,"TOR"
