"","x_coord","y_coord_flip","team"
"1",74,14,"VAN"
"2",82,-10,"VAN"
"3",84,-8,"VAN"
"4",80,-2,"VAN"
"5",16,-23,"VAN"
"6",70,-1,"VAN"
"7",61,20,"VAN"
"8",60,19,"VAN"
"9",77,-1,"VAN"
"10",84,-7,"VAN"
"11",57,0,"VAN"
"12",79,1,"VAN"
"13",65,1,"VAN"
"14",43,-23,"VAN"
"15",46,10,"VAN"
"16",73,-1,"VAN"
"17",65,16,"VAN"
"18",68,-5,"VAN"
"19",83,-7,"VAN"
"20",69,5,"VAN"
"21",87,10,"VAN"
"22",66,18,"VAN"
"23",78,-3,"VAN"
"24",87,10,"VAN"
"25",81,2,"VAN"
"26",31,28,"VAN"
"27",70,-11,"VAN"
"28",83,-4,"VAN"
"29",61,-21,"VAN"
"30",77,-2,"VAN"
"31",76,0,"VAN"
"32",76,-2,"VAN"
"33",55,-2,"VAN"
"34",69,21,"VAN"
"35",74,-4,"VAN"
"36",64,-10,"VAN"
"37",76,1,"VAN"
"38",60,-12,"VAN"
"39",66,3,"VAN"
"40",66,-22,"VAN"
"41",78,-1,"VAN"
"42",61,-8,"VAN"
"43",61,12,"VAN"
"44",77,1,"VAN"
"45",69,-7,"VAN"
"46",62,0,"VAN"
"47",64,9,"VAN"
"48",60,-24,"VAN"
"49",35,-33,"VAN"
"50",42,4,"VAN"
"51",79,12,"VAN"
"52",32,13,"VAN"
"53",76,4,"VAN"
"54",81,0,"VAN"
"55",43,-30,"VAN"
"56",47,20,"VAN"
"57",69,-4,"VAN"
"58",74,0,"VAN"
"59",81,17,"VAN"
"60",55,-20,"VAN"
"61",80,-1,"VAN"
"62",69,14,"VAN"
"63",78,17,"VAN"
"64",76,-2,"VAN"
"65",69,-21,"VAN"
"66",35,25,"VAN"
"67",86,-5,"VAN"
"68",60,25,"VAN"
"69",66,18,"VAN"
"70",70,-1,"VAN"
"71",78,0,"VAN"
"72",74,6,"VAN"
"73",49,-35,"VAN"
"74",76,-2,"VAN"
"75",80,5,"VAN"
"76",74,3,"VAN"
"77",62,-13,"VAN"
"78",50,34,"VAN"
"79",83,7,"VAN"
"80",78,1,"VAN"
"81",69,-6,"VAN"
"82",78,-7,"VAN"
"83",81,1,"VAN"
"84",60,-5,"VAN"
"85",79,-6,"VAN"
"86",39,-13,"VAN"
"87",78,17,"VAN"
"88",75,-14,"VAN"
"89",84,-3,"VAN"
"90",79,7,"VAN"
"91",63,-4,"VAN"
"92",65,-1,"VAN"
"93",69,-3,"VAN"
"94",79,5,"VAN"
"95",75,8,"VAN"
"96",45,0,"VAN"
"97",67,-4,"VAN"
"98",82,-4,"VAN"
"99",85,-31,"VAN"
"100",83,0,"VAN"
"101",54,22,"VAN"
"102",79,2,"VAN"
"103",77,-6,"VAN"
"104",66,-3,"VAN"
"105",86,20,"VAN"
"106",35,4,"VAN"
"107",61,13,"VAN"
"108",36,-20,"VAN"
"109",56,22,"VAN"
