"","x_coord","y_coord_flip","team"
"1",73,-17,"VAN"
"2",83,-3,"VAN"
"3",44,-23,"VAN"
"4",69,-23,"VAN"
"5",58,36,"VAN"
"6",77,16,"VAN"
"7",74,-12,"VAN"
"8",79,1,"VAN"
"9",34,-6,"VAN"
"10",77,6,"VAN"
"11",54,21,"VAN"
"12",77,-5,"VAN"
"13",79,-2,"VAN"
"14",82,0,"VAN"
"15",32,-3,"VAN"
"16",77,3,"VAN"
"17",66,-36,"VAN"
"18",57,8,"VAN"
"19",82,21,"VAN"
"20",35,27,"VAN"
"21",59,36,"VAN"
"22",61,-25,"VAN"
"23",81,-2,"VAN"
"24",41,18,"VAN"
"25",76,-6,"VAN"
"26",64,12,"VAN"
"27",59,20,"VAN"
"28",43,17,"VAN"
"29",62,3,"VAN"
"30",73,-1,"VAN"
"31",7,38,"VAN"
"32",39,11,"VAN"
"33",35,-17,"VAN"
"34",82,-12,"VAN"
"35",34,-7,"VAN"
"36",81,-8,"VAN"
"37",82,6,"VAN"
"38",7,-34,"VAN"
"39",68,-5,"VAN"
"40",78,25,"VAN"
"41",79,0,"VAN"
"42",72,5,"VAN"
"43",36,36,"VAN"
"44",36,35,"VAN"
"45",37,24,"VAN"
"46",49,32,"VAN"
"47",76,-38,"VAN"
"48",51,-38,"VAN"
"49",64,14,"VAN"
"50",45,20,"VAN"
"51",71,0,"VAN"
"52",30,8,"VAN"
"53",63,27,"VAN"
"54",82,5,"VAN"
"55",66,32,"VAN"
"56",66,-30,"VAN"
"57",35,22,"VAN"
"58",36,6,"VAN"
"59",73,-1,"VAN"
"60",44,-33,"VAN"
"61",50,21,"VAN"
"62",71,1,"VAN"
"63",51,-19,"VAN"
"64",62,3,"VAN"
"65",43,-23,"VAN"
"66",44,1,"VAN"
"67",48,11,"VAN"
"68",69,5,"VAN"
"69",70,10,"VAN"
"70",47,24,"VAN"
"71",47,20,"VAN"
"72",48,22,"VAN"
"73",64,-7,"VAN"
"74",70,-12,"VAN"
"75",52,19,"VAN"
"76",74,-2,"VAN"
"77",80,-23,"VAN"
"78",35,-11,"VAN"
"79",68,-16,"VAN"
"80",62,-12,"VAN"
"81",26,32,"VAN"
"82",66,-10,"VAN"
"83",13,37,"VAN"
"84",80,1,"VAN"
"85",85,-10,"VAN"
"86",59,3,"VAN"
"87",51,3,"VAN"
"88",45,14,"VAN"
"89",46,22,"VAN"
"90",39,-8,"VAN"
"91",49,-25,"VAN"
"92",19,30,"VAN"
"93",76,3,"VAN"
"94",47,3,"VAN"
"95",79,3,"VAN"
"96",48,-23,"VAN"
"97",33,28,"VAN"
"98",78,3,"VAN"
"99",9,-33,"VAN"
"100",78,1,"VAN"
"101",72,16,"VAN"
"102",75,-1,"VAN"
"103",77,-2,"VAN"
"104",41,30,"VAN"
"105",72,7,"VAN"
"106",41,-38,"VAN"
"107",46,0,"VAN"
"108",79,1,"VAN"
"109",86,13,"VAN"
"110",37,-29,"VAN"
"111",32,18,"VAN"
"112",63,12,"VAN"
"113",87,7,"VAN"
"114",72,12,"VAN"
"115",40,20,"VAN"
"116",34,36,"VAN"
"117",80,-8,"VAN"
"118",50,-25,"VAN"
"119",67,28,"VAN"
"120",48,-11,"VAN"
"121",77,-26,"VAN"
"122",90,12,"VAN"
"123",75,5,"VAN"
"124",63,12,"VAN"
"125",71,15,"VAN"
"126",84,7,"VAN"
"127",36,-19,"VAN"
"128",85,34,"VAN"
"129",66,17,"VAN"
"130",46,-20,"VAN"
"131",14,-33,"VAN"
"132",81,-40,"VAN"
"133",49,27,"VAN"
"134",35,-28,"VAN"
"135",60,-1,"VAN"
"136",70,1,"VAN"
"137",66,13,"VAN"
"138",39,-8,"VAN"
"139",81,-2,"VAN"
"140",79,3,"VAN"
"141",39,-32,"VAN"
"142",72,12,"VAN"
"143",57,19,"VAN"
"144",54,-23,"VAN"
"145",46,27,"VAN"
"146",76,-18,"VAN"
"147",77,-29,"VAN"
"148",79,-2,"VAN"
"149",53,-21,"VAN"
"150",61,-1,"VAN"
"151",37,-1,"VAN"
"152",76,2,"VAN"
"153",65,-22,"VAN"
"154",35,23,"VAN"
"155",38,-30,"VAN"
"156",10,27,"VAN"
"157",71,28,"VAN"
"158",37,-28,"VAN"
"159",56,-35,"VAN"
"160",82,3,"VAN"
"161",69,3,"VAN"
"162",60,-13,"VAN"
"163",86,-22,"VAN"
"164",33,-26,"VAN"
"165",84,3,"VAN"
"166",84,-1,"VAN"
"167",42,39,"VAN"
"168",35,28,"VAN"
"169",33,-20,"VAN"
"170",83,-4,"VAN"
"171",33,29,"VAN"
"172",35,27,"VAN"
"173",63,-18,"VAN"
"174",51,-31,"VAN"
"175",75,18,"VAN"
"176",79,-10,"VAN"
"177",74,-28,"VAN"
"178",77,0,"VAN"
"179",74,5,"VAN"
"180",53,-24,"VAN"
"181",35,-24,"VAN"
"182",57,-26,"VAN"
"183",30,-21,"VAN"
"184",77,-3,"VAN"
"185",78,0,"VAN"
"186",45,20,"VAN"
"187",72,3,"VAN"
"188",40,23,"VAN"
"189",59,-34,"VAN"
"190",85,8,"VAN"
"191",37,21,"VAN"
"192",34,-29,"VAN"
"193",49,-11,"VAN"
"194",61,16,"VAN"
"195",87,-20,"VAN"
"196",40,-16,"VAN"
"197",73,8,"VAN"
"198",58,12,"VAN"
"199",82,-19,"VAN"
"200",3,-1,"VAN"
"201",53,12,"VAN"
"202",59,-33,"VAN"
"203",84,-4,"VAN"
"204",86,-5,"VAN"
"205",55,-35,"VAN"
"206",75,1,"VAN"
"207",68,29,"VAN"
"208",31,-39,"VAN"
"209",79,-2,"VAN"
"210",76,-2,"VAN"
"211",47,-31,"VAN"
"212",78,-3,"VAN"
"213",89,-34,"VAN"
"214",47,21,"VAN"
"215",85,13,"VAN"
"216",20,41,"VAN"
"217",31,-37,"VAN"
"218",68,9,"VAN"
"219",66,25,"VAN"
"220",74,-16,"VAN"
"221",81,10,"VAN"
"222",35,20,"VAN"
"223",84,-3,"VAN"
"224",77,1,"VAN"
"225",81,-1,"VAN"
"226",40,31,"VAN"
"227",43,-33,"VAN"
"228",55,28,"VAN"
"229",74,33,"VAN"
"230",70,-33,"VAN"
"231",38,32,"VAN"
"232",80,5,"VAN"
"233",38,4,"VAN"
"234",71,14,"VAN"
"235",33,-24,"VAN"
"236",59,36,"VAN"
"237",76,-33,"VAN"
"238",77,13,"VAN"
"239",37,-31,"VAN"
"240",53,-32,"VAN"
"241",84,9,"VAN"
"242",75,33,"VAN"
"243",57,38,"VAN"
"244",40,25,"VAN"
"245",83,-8,"VAN"
"246",37,-21,"VAN"
"247",73,-16,"VAN"
"248",57,18,"VAN"
"249",57,-36,"VAN"
"250",67,28,"VAN"
"251",75,0,"VAN"
"252",61,-27,"VAN"
"253",40,-7,"VAN"
"254",65,-18,"VAN"
"255",39,31,"VAN"
"256",53,-21,"VAN"
"257",74,-1,"VAN"
"258",42,-8,"VAN"
"259",70,-14,"VAN"
"260",49,26,"VAN"
"261",70,-9,"VAN"
"262",51,26,"VAN"
"263",62,-11,"VAN"
"264",55,3,"VAN"
"265",83,10,"VAN"
"266",78,7,"VAN"
"267",35,23,"VAN"
"268",57,-23,"VAN"
"269",61,22,"VAN"
"270",53,-25,"VAN"
"271",83,22,"VAN"
"272",66,12,"VAN"
"273",59,16,"VAN"
"274",31,-20,"VAN"
"275",52,-22,"VAN"
"276",23,-13,"VAN"
"277",40,25,"VAN"
"278",52,27,"VAN"
"279",74,-1,"VAN"
"280",40,24,"VAN"
"281",75,0,"VAN"
"282",50,17,"VAN"
"283",74,-11,"VAN"
