"","x_coord","y_coord_flip","team"
"1",62,-23,"VGK"
"2",82,-2,"VGK"
"3",57,-7,"VGK"
"4",75,4,"VGK"
"5",52,-23,"VGK"
"6",37,-6,"VGK"
"7",87,6,"VGK"
"8",79,3,"VGK"
"9",80,-8,"VGK"
"10",84,-14,"VGK"
"11",64,-9,"VGK"
"12",78,2,"VGK"
"13",71,16,"VGK"
"14",83,2,"VGK"
"15",52,-16,"VGK"
"16",74,1,"VGK"
"17",79,0,"VGK"
"18",79,-1,"VGK"
"19",79,-1,"VGK"
"20",57,-15,"VGK"
"21",33,-30,"VGK"
"22",57,1,"VGK"
"23",77,-7,"VGK"
"24",79,-2,"VGK"
"25",82,5,"VGK"
"26",73,-4,"VGK"
"27",68,16,"VGK"
"28",77,-1,"VGK"
"29",74,2,"VGK"
"30",78,-1,"VGK"
"31",74,2,"VGK"
"32",80,-1,"VGK"
"33",81,0,"VGK"
"34",72,3,"VGK"
"35",67,-18,"VGK"
"36",34,4,"VGK"
"37",86,7,"VGK"
"38",79,0,"VGK"
"39",86,29,"VGK"
"40",64,13,"VGK"
"41",80,-3,"VGK"
"42",68,5,"VGK"
"43",55,-26,"VGK"
"44",62,1,"VGK"
"45",79,1,"VGK"
"46",62,9,"VGK"
"47",70,0,"VGK"
"48",69,5,"VGK"
"49",79,0,"VGK"
"50",80,-2,"VGK"
"51",73,-1,"VGK"
"52",69,-20,"VGK"
"53",83,-39,"VGK"
"54",71,-19,"VGK"
"55",77,4,"VGK"
"56",55,3,"VGK"
"57",38,-29,"VGK"
"58",82,-5,"VGK"
"59",54,7,"VGK"
"60",80,-21,"VGK"
"61",74,0,"VGK"
"62",75,-5,"VGK"
"63",41,-30,"VGK"
"64",81,0,"VGK"
"65",70,13,"VGK"
"66",64,8,"VGK"
"67",76,-16,"VGK"
"68",82,2,"VGK"
"69",66,-9,"VGK"
"70",71,-11,"VGK"
"71",61,20,"VGK"
"72",79,1,"VGK"
"73",62,-15,"VGK"
"74",66,10,"VGK"
"75",44,-16,"VGK"
"76",66,-23,"VGK"
"77",69,-34,"VGK"
"78",78,-1,"VGK"
"79",66,0,"VGK"
"80",75,10,"VGK"
"81",78,9,"VGK"
"82",81,7,"VGK"
"83",80,-1,"VGK"
"84",78,-9,"VGK"
"85",82,6,"VGK"
"86",49,-5,"VGK"
"87",50,25,"VGK"
"88",78,-1,"VGK"
"89",40,2,"VGK"
"90",52,-25,"VGK"
"91",65,-16,"VGK"
"92",80,-5,"VGK"
"93",85,-7,"VGK"
"94",62,-13,"VGK"
"95",70,-2,"VGK"
"96",79,29,"VGK"
"97",66,-14,"VGK"
"98",67,-14,"VGK"
"99",77,-4,"VGK"
"100",86,-6,"VGK"
"101",77,2,"VGK"
"102",63,27,"VGK"
"103",60,23,"VGK"
"104",81,-1,"VGK"
"105",79,5,"VGK"
"106",72,3,"VGK"
"107",85,-12,"VGK"
"108",82,1,"VGK"
"109",58,-23,"VGK"
"110",78,-7,"VGK"
"111",37,19,"VGK"
"112",83,5,"VGK"
"113",69,3,"VGK"
"114",71,3,"VGK"
"115",76,7,"VGK"
"116",55,1,"VGK"
"117",79,0,"VGK"
"118",81,7,"VGK"
"119",42,-27,"VGK"
"120",76,2,"VGK"
"121",72,4,"VGK"
"122",84,-5,"VGK"
"123",63,9,"VGK"
"124",78,-1,"VGK"
"125",81,4,"VGK"
"126",85,-8,"VGK"
"127",60,-10,"VGK"
"128",52,4,"VGK"
"129",63,8,"VGK"
"130",8,-12,"VGK"
"131",33,-3,"VGK"
"132",79,-2,"VGK"
"133",80,3,"VGK"
"134",75,-6,"VGK"
"135",39,-28,"VGK"
"136",80,-5,"VGK"
"137",68,13,"VGK"
"138",87,-5,"VGK"
"139",69,-8,"VGK"
"140",53,18,"VGK"
