"","x_coord","y_coord_flip","team"
"1",16,-36,"VGK"
"2",60,16,"VGK"
"3",82,-3,"VGK"
"4",31,8,"VGK"
"5",83,-1,"VGK"
"6",63,0,"VGK"
"7",70,4,"VGK"
"8",90,9,"VGK"
"9",60,-19,"VGK"
"10",43,22,"VGK"
"11",71,7,"VGK"
"12",64,-22,"VGK"
"13",72,14,"VGK"
"14",62,20,"VGK"
"15",79,-3,"VGK"
"16",71,5,"VGK"
"17",61,-31,"VGK"
"18",66,-18,"VGK"
"19",82,1,"VGK"
"20",66,33,"VGK"
"21",81,-1,"VGK"
"22",79,5,"VGK"
"23",63,-37,"VGK"
"24",84,-36,"VGK"
"25",77,-3,"VGK"
"26",62,-3,"VGK"
"27",78,-1,"VGK"
"28",51,6,"VGK"
"29",32,33,"VGK"
"30",70,5,"VGK"
"31",81,17,"VGK"
"32",44,-8,"VGK"
"33",62,-19,"VGK"
"34",53,28,"VGK"
"35",50,-16,"VGK"
"36",76,-5,"VGK"
"37",82,-9,"VGK"
"38",34,23,"VGK"
"39",64,-17,"VGK"
"40",34,20,"VGK"
"41",57,17,"VGK"
"42",67,-35,"VGK"
"43",37,-27,"VGK"
"44",73,1,"VGK"
"45",66,29,"VGK"
"46",57,18,"VGK"
"47",73,-9,"VGK"
"48",66,-2,"VGK"
"49",58,-34,"VGK"
"50",86,8,"VGK"
"51",48,30,"VGK"
"52",34,-14,"VGK"
"53",48,-25,"VGK"
"54",60,-28,"VGK"
"55",64,5,"VGK"
"56",35,1,"VGK"
"57",7,10,"VGK"
"58",40,-8,"VGK"
"59",74,-14,"VGK"
"60",31,23,"VGK"
"61",64,32,"VGK"
"62",43,-7,"VGK"
"63",50,-34,"VGK"
"64",42,20,"VGK"
"65",80,-5,"VGK"
"66",80,-1,"VGK"
"67",72,35,"VGK"
"68",60,-37,"VGK"
"69",39,17,"VGK"
"70",9,-30,"VGK"
"71",38,-11,"VGK"
"72",37,1,"VGK"
"73",85,-8,"VGK"
"74",83,-6,"VGK"
"75",47,27,"VGK"
"76",34,-3,"VGK"
"77",76,6,"VGK"
"78",39,0,"VGK"
"79",29,14,"VGK"
"80",57,8,"VGK"
"81",31,-33,"VGK"
"82",49,36,"VGK"
"83",57,15,"VGK"
"84",63,-31,"VGK"
"85",36,-25,"VGK"
"86",84,-7,"VGK"
"87",71,3,"VGK"
"88",72,0,"VGK"
"89",67,-19,"VGK"
"90",60,-36,"VGK"
"91",35,23,"VGK"
"92",82,-1,"VGK"
"93",56,-36,"VGK"
"94",34,-32,"VGK"
"95",46,-5,"VGK"
"96",80,-4,"VGK"
"97",31,27,"VGK"
"98",58,35,"VGK"
