"","x_coord","y_coord_flip","team"
"1",61,16,"WPG"
"2",71,5,"WPG"
"3",80,-6,"WPG"
"4",78,-7,"WPG"
"5",80,-5,"WPG"
"6",69,-20,"WPG"
"7",79,4,"WPG"
"8",81,-2,"WPG"
"9",67,-23,"WPG"
"10",66,3,"WPG"
"11",1,-20,"WPG"
"12",75,2,"WPG"
"13",73,-8,"WPG"
"14",31,1,"WPG"
"15",66,7,"WPG"
"16",78,-17,"WPG"
"17",70,-11,"WPG"
"18",81,-2,"WPG"
"19",75,12,"WPG"
"20",78,-1,"WPG"
"21",76,-9,"WPG"
"22",64,-2,"WPG"
"23",57,-6,"WPG"
"24",78,1,"WPG"
"25",90,16,"WPG"
"26",34,-27,"WPG"
"27",77,1,"WPG"
"28",77,-1,"WPG"
"29",77,12,"WPG"
"30",80,5,"WPG"
"31",55,7,"WPG"
"32",68,-2,"WPG"
"33",56,25,"WPG"
"34",79,-7,"WPG"
"35",72,1,"WPG"
"36",80,-7,"WPG"
"37",52,-15,"WPG"
"38",55,-26,"WPG"
"39",49,-18,"WPG"
"40",81,5,"WPG"
"41",69,-24,"WPG"
"42",81,-5,"WPG"
"43",78,-25,"WPG"
"44",82,-4,"WPG"
"45",71,-28,"WPG"
"46",26,26,"WPG"
"47",62,-4,"WPG"
"48",75,1,"WPG"
"49",84,-6,"WPG"
"50",80,-18,"WPG"
"51",77,25,"WPG"
"52",72,3,"WPG"
"53",37,-11,"WPG"
"54",39,-10,"WPG"
"55",66,-20,"WPG"
"56",62,1,"WPG"
"57",78,-2,"WPG"
"58",56,36,"WPG"
"59",75,0,"WPG"
"60",85,-9,"WPG"
"61",71,-6,"WPG"
"62",65,-12,"WPG"
"63",52,-1,"WPG"
"64",81,5,"WPG"
"65",54,-16,"WPG"
"66",61,-23,"WPG"
"67",80,-9,"WPG"
"68",55,25,"WPG"
"69",58,-23,"WPG"
"70",60,-7,"WPG"
"71",76,-16,"WPG"
"72",75,3,"WPG"
"73",73,-16,"WPG"
"74",74,1,"WPG"
"75",64,5,"WPG"
"76",75,-1,"WPG"
"77",60,1,"WPG"
"78",59,-37,"WPG"
"79",55,32,"WPG"
"80",72,-7,"WPG"
"81",82,-6,"WPG"
"82",51,1,"WPG"
"83",81,-3,"WPG"
"84",73,-5,"WPG"
"85",71,-2,"WPG"
"86",64,19,"WPG"
"87",66,5,"WPG"
"88",72,4,"WPG"
"89",86,-8,"WPG"
"90",65,4,"WPG"
"91",50,1,"WPG"
"92",81,8,"WPG"
"93",75,1,"WPG"
"94",70,2,"WPG"
"95",34,1,"WPG"
"96",79,4,"WPG"
"97",73,2,"WPG"
"98",44,1,"WPG"
"99",33,0,"WPG"
"100",84,7,"WPG"
"101",36,3,"WPG"
"102",81,-2,"WPG"
"103",81,-1,"WPG"
"104",80,-1,"WPG"
"105",58,-3,"WPG"
"106",60,16,"WPG"
"107",70,10,"WPG"
"108",62,3,"WPG"
"109",77,-8,"WPG"
"110",75,2,"WPG"
"111",80,-2,"WPG"
"112",62,24,"WPG"
"113",70,1,"WPG"
"114",78,-5,"WPG"
"115",63,-21,"WPG"
"116",81,-23,"WPG"
"117",73,17,"WPG"
"118",68,1,"WPG"
"119",74,4,"WPG"
"120",80,-4,"WPG"
"121",85,0,"WPG"
"122",73,18,"WPG"
"123",76,9,"WPG"
"124",73,-1,"WPG"
"125",78,12,"WPG"
"126",68,-5,"WPG"
"127",61,-2,"WPG"
"128",86,-8,"WPG"
"129",70,-8,"WPG"
"130",17,27,"WPG"
"131",67,-20,"WPG"
"132",61,2,"WPG"
