"","x_coord","y_coord_flip","team"
"1",70,-9,"WPG"
"2",74,-10,"WPG"
"3",63,18,"WPG"
"4",71,11,"WPG"
"5",73,-16,"WPG"
"6",66,-2,"WPG"
"7",58,-13,"WPG"
"8",81,-3,"WPG"
"9",57,-23,"WPG"
"10",60,-21,"WPG"
"11",59,1,"WPG"
"12",74,7,"WPG"
"13",65,-3,"WPG"
"14",78,18,"WPG"
"15",73,-6,"WPG"
"16",42,-31,"WPG"
"17",66,10,"WPG"
"18",66,27,"WPG"
"19",74,-7,"WPG"
"20",21,-12,"WPG"
"21",79,13,"WPG"
"22",83,9,"WPG"
"23",33,-16,"WPG"
"24",66,12,"WPG"
"25",88,16,"WPG"
"26",69,21,"WPG"
"27",45,17,"WPG"
"28",77,-6,"WPG"
"29",55,8,"WPG"
"30",75,-20,"WPG"
"31",14,-29,"WPG"
"32",58,14,"WPG"
"33",42,-23,"WPG"
"34",35,31,"WPG"
"35",42,-20,"WPG"
"36",82,0,"WPG"
"37",48,23,"WPG"
"38",67,21,"WPG"
"39",34,16,"WPG"
"40",57,19,"WPG"
"41",76,-1,"WPG"
"42",28,17,"WPG"
"43",51,21,"WPG"
"44",37,22,"WPG"
"45",38,22,"WPG"
"46",30,22,"WPG"
"47",49,27,"WPG"
"48",86,6,"WPG"
"49",60,24,"WPG"
"50",77,-3,"WPG"
"51",67,22,"WPG"
"52",58,17,"WPG"
"53",43,-4,"WPG"
"54",58,-10,"WPG"
"55",40,-25,"WPG"
"56",54,23,"WPG"
"57",60,-23,"WPG"
"58",40,23,"WPG"
"59",79,7,"WPG"
"60",84,21,"WPG"
"61",73,-15,"WPG"
"62",44,-21,"WPG"
"63",51,-26,"WPG"
"64",78,-23,"WPG"
"65",39,-20,"WPG"
"66",63,-36,"WPG"
"67",38,16,"WPG"
"68",81,-17,"WPG"
"69",48,3,"WPG"
"70",68,24,"WPG"
"71",34,-1,"WPG"
"72",69,5,"WPG"
"73",74,7,"WPG"
"74",35,21,"WPG"
"75",66,-27,"WPG"
"76",55,-10,"WPG"
"77",37,-9,"WPG"
"78",62,-38,"WPG"
"79",62,-24,"WPG"
"80",57,0,"WPG"
"81",86,9,"WPG"
"82",75,32,"WPG"
"83",35,15,"WPG"
"84",32,24,"WPG"
"85",39,21,"WPG"
"86",33,-2,"WPG"
"87",80,-19,"WPG"
"88",85,-10,"WPG"
"89",47,1,"WPG"
"90",75,-4,"WPG"
"91",35,20,"WPG"
"92",31,-16,"WPG"
"93",52,27,"WPG"
"94",82,0,"WPG"
"95",60,14,"WPG"
"96",38,-16,"WPG"
"97",80,14,"WPG"
"98",81,18,"WPG"
"99",70,-26,"WPG"
"100",47,-3,"WPG"
"101",85,-5,"WPG"
"102",87,6,"WPG"
"103",75,2,"WPG"
"104",71,33,"WPG"
"105",61,29,"WPG"
"106",20,-29,"WPG"
"107",83,7,"WPG"
"108",68,-13,"WPG"
"109",71,0,"WPG"
"110",40,22,"WPG"
"111",37,-14,"WPG"
"112",31,29,"WPG"
"113",39,-4,"WPG"
"114",76,9,"WPG"
"115",52,2,"WPG"
"116",19,17,"WPG"
"117",4,23,"WPG"
"118",76,1,"WPG"
"119",62,-21,"WPG"
"120",74,10,"WPG"
"121",78,-21,"WPG"
"122",45,0,"WPG"
"123",70,-16,"WPG"
"124",40,14,"WPG"
"125",61,12,"WPG"
"126",87,20,"WPG"
"127",73,3,"WPG"
"128",62,27,"WPG"
"129",51,3,"WPG"
"130",77,-10,"WPG"
"131",91,-28,"WPG"
"132",69,-37,"WPG"
"133",82,-6,"WPG"
"134",37,20,"WPG"
"135",61,-33,"WPG"
"136",64,3,"WPG"
"137",82,-8,"WPG"
"138",69,6,"WPG"
"139",37,6,"WPG"
"140",33,20,"WPG"
"141",67,-30,"WPG"
"142",62,-6,"WPG"
"143",58,12,"WPG"
"144",29,29,"WPG"
"145",46,34,"WPG"
"146",64,-22,"WPG"
"147",32,20,"WPG"
"148",34,15,"WPG"
"149",60,-2,"WPG"
"150",79,-25,"WPG"
"151",83,-5,"WPG"
"152",35,-33,"WPG"
"153",55,-25,"WPG"
"154",78,0,"WPG"
"155",70,6,"WPG"
"156",79,7,"WPG"
"157",44,5,"WPG"
"158",46,-15,"WPG"
"159",35,-14,"WPG"
"160",46,31,"WPG"
"161",44,29,"WPG"
"162",73,-7,"WPG"
"163",48,-24,"WPG"
"164",45,-8,"WPG"
"165",55,-18,"WPG"
"166",49,18,"WPG"
"167",39,10,"WPG"
"168",79,6,"WPG"
"169",53,14,"WPG"
"170",19,20,"WPG"
"171",43,-38,"WPG"
"172",68,12,"WPG"
"173",34,8,"WPG"
"174",87,7,"WPG"
"175",71,13,"WPG"
"176",59,2,"WPG"
"177",65,6,"WPG"
"178",79,21,"WPG"
"179",81,-7,"WPG"
"180",64,-24,"WPG"
"181",50,23,"WPG"
"182",51,31,"WPG"
"183",54,-5,"WPG"
"184",52,-23,"WPG"
"185",64,-31,"WPG"
"186",54,-20,"WPG"
"187",80,5,"WPG"
"188",81,3,"WPG"
"189",78,23,"WPG"
"190",22,-41,"WPG"
"191",64,-25,"WPG"
"192",37,-11,"WPG"
"193",70,10,"WPG"
"194",77,3,"WPG"
"195",79,6,"WPG"
"196",63,-38,"WPG"
"197",67,34,"WPG"
"198",61,17,"WPG"
"199",60,-1,"WPG"
"200",40,24,"WPG"
"201",82,-32,"WPG"
"202",60,17,"WPG"
"203",71,20,"WPG"
"204",81,5,"WPG"
"205",84,7,"WPG"
