"","x_coord","y_coord_flip","team"
"1",76,-29,"WSH"
"2",84,-6,"WSH"
"3",52,-23,"WSH"
"4",60,-2,"WSH"
"5",84,-21,"WSH"
"6",64,-22,"WSH"
"7",76,-7,"WSH"
"8",76,14,"WSH"
"9",35,10,"WSH"
"10",78,2,"WSH"
"11",68,-15,"WSH"
"12",61,-5,"WSH"
"13",73,-10,"WSH"
"14",79,-1,"WSH"
"15",65,-23,"WSH"
"16",84,-6,"WSH"
"17",81,12,"WSH"
"18",4,-35,"WSH"
"19",85,-4,"WSH"
"20",84,20,"WSH"
"21",40,32,"WSH"
"22",53,-30,"WSH"
"23",53,-27,"WSH"
"24",84,8,"WSH"
"25",78,2,"WSH"
"26",85,-16,"WSH"
"27",61,6,"WSH"
"28",81,6,"WSH"
"29",85,-6,"WSH"
"30",80,-4,"WSH"
"31",80,1,"WSH"
"32",79,-1,"WSH"
"33",65,21,"WSH"
"34",76,0,"WSH"
"35",57,-25,"WSH"
"36",39,-23,"WSH"
"37",73,20,"WSH"
"38",81,-4,"WSH"
"39",80,1,"WSH"
"40",33,2,"WSH"
"41",79,0,"WSH"
"42",76,0,"WSH"
"43",61,-1,"WSH"
"44",72,-4,"WSH"
"45",67,-4,"WSH"
"46",82,-4,"WSH"
"47",73,-29,"WSH"
"48",69,-6,"WSH"
"49",85,10,"WSH"
"50",59,-8,"WSH"
"51",65,-1,"WSH"
"52",75,10,"WSH"
"53",62,-24,"WSH"
"54",69,-23,"WSH"
"55",80,7,"WSH"
"56",46,-10,"WSH"
"57",72,8,"WSH"
"58",66,-22,"WSH"
"59",82,4,"WSH"
"60",78,-9,"WSH"
"61",58,20,"WSH"
"62",76,-23,"WSH"
"63",50,29,"WSH"
"64",81,-13,"WSH"
"65",59,5,"WSH"
"66",60,-2,"WSH"
"67",87,-10,"WSH"
"68",81,5,"WSH"
"69",65,12,"WSH"
"70",63,-27,"WSH"
"71",62,-15,"WSH"
"72",77,-5,"WSH"
"73",70,23,"WSH"
"74",34,-3,"WSH"
"75",73,-10,"WSH"
"76",52,5,"WSH"
"77",49,-22,"WSH"
"78",65,16,"WSH"
"79",79,1,"WSH"
"80",80,-1,"WSH"
"81",81,1,"WSH"
"82",59,-12,"WSH"
"83",63,-28,"WSH"
"84",77,-9,"WSH"
"85",70,-9,"WSH"
"86",75,1,"WSH"
