"","x_coord","y_coord_flip","team"
"1",77,-29,"WSH"
"2",63,2,"WSH"
"3",51,31,"WSH"
"4",86,12,"WSH"
"5",69,-29,"WSH"
"6",57,-23,"WSH"
"7",54,37,"WSH"
"8",70,-23,"WSH"
"9",78,36,"WSH"
"10",71,33,"WSH"
"11",61,-6,"WSH"
"12",81,-1,"WSH"
"13",57,31,"WSH"
"14",37,3,"WSH"
"15",70,-22,"WSH"
"16",72,15,"WSH"
"17",87,7,"WSH"
"18",52,-26,"WSH"
"19",84,-10,"WSH"
"20",55,4,"WSH"
"21",67,20,"WSH"
"22",55,-5,"WSH"
"23",38,8,"WSH"
"24",84,34,"WSH"
"25",67,-20,"WSH"
"26",69,8,"WSH"
"27",84,11,"WSH"
"28",62,1,"WSH"
"29",78,-4,"WSH"
"30",73,34,"WSH"
"31",84,29,"WSH"
"32",58,-7,"WSH"
"33",60,-17,"WSH"
"34",78,2,"WSH"
"35",70,-1,"WSH"
"36",84,25,"WSH"
"37",83,10,"WSH"
"38",73,30,"WSH"
"39",41,20,"WSH"
"40",51,12,"WSH"
"41",78,-8,"WSH"
"42",79,2,"WSH"
"43",60,14,"WSH"
"44",38,3,"WSH"
"45",60,16,"WSH"
"46",16,-12,"WSH"
"47",48,-14,"WSH"
"48",80,12,"WSH"
"49",74,-5,"WSH"
"50",87,-12,"WSH"
"51",48,2,"WSH"
"52",71,29,"WSH"
"53",52,18,"WSH"
"54",57,10,"WSH"
"55",44,18,"WSH"
"56",37,-28,"WSH"
"57",71,-10,"WSH"
"58",85,18,"WSH"
"59",37,-7,"WSH"
"60",58,1,"WSH"
"61",79,8,"WSH"
"62",71,-33,"WSH"
"63",76,-35,"WSH"
"64",40,-8,"WSH"
"65",45,0,"WSH"
"66",78,-1,"WSH"
"67",84,6,"WSH"
"68",44,-7,"WSH"
"69",70,-4,"WSH"
"70",45,26,"WSH"
"71",60,-23,"WSH"
"72",54,14,"WSH"
"73",82,34,"WSH"
"74",85,-22,"WSH"
"75",60,-10,"WSH"
"76",46,-25,"WSH"
"77",69,22,"WSH"
"78",76,4,"WSH"
"79",79,-3,"WSH"
"80",73,3,"WSH"
"81",83,13,"WSH"
"82",61,7,"WSH"
"83",65,-29,"WSH"
"84",67,-21,"WSH"
"85",63,-2,"WSH"
"86",77,-7,"WSH"
"87",57,25,"WSH"
"88",59,17,"WSH"
"89",32,-18,"WSH"
"90",43,-14,"WSH"
"91",79,-16,"WSH"
"92",37,7,"WSH"
"93",77,13,"WSH"
"94",59,-23,"WSH"
"95",54,3,"WSH"
"96",82,-5,"WSH"
"97",39,33,"WSH"
"98",72,11,"WSH"
"99",75,-1,"WSH"
"100",63,-2,"WSH"
"101",43,21,"WSH"
"102",51,1,"WSH"
"103",70,9,"WSH"
"104",56,38,"WSH"
"105",86,-8,"WSH"
"106",67,18,"WSH"
"107",69,8,"WSH"
"108",35,2,"WSH"
"109",50,2,"WSH"
"110",59,-31,"WSH"
"111",78,-1,"WSH"
"112",34,-31,"WSH"
"113",21,-12,"WSH"
"114",4,30,"WSH"
"115",89,-20,"WSH"
"116",66,7,"WSH"
"117",52,-26,"WSH"
"118",78,-27,"WSH"
"119",0,-3,"WSH"
"120",62,22,"WSH"
"121",84,5,"WSH"
"122",66,19,"WSH"
"123",80,6,"WSH"
"124",57,3,"WSH"
"125",72,-11,"WSH"
"126",75,-1,"WSH"
"127",80,-15,"WSH"
"128",53,-21,"WSH"
"129",72,29,"WSH"
"130",83,7,"WSH"
"131",87,15,"WSH"
"132",86,8,"WSH"
"133",76,18,"WSH"
"134",10,-1,"WSH"
"135",76,-21,"WSH"
"136",5,35,"WSH"
"137",54,-19,"WSH"
"138",81,-15,"WSH"
"139",53,-17,"WSH"
"140",91,28,"WSH"
"141",52,20,"WSH"
"142",46,25,"WSH"
"143",32,-27,"WSH"
"144",79,-5,"WSH"
"145",66,-20,"WSH"
"146",78,0,"WSH"
"147",34,-29,"WSH"
"148",64,-1,"WSH"
"149",83,-12,"WSH"
"150",79,-28,"WSH"
"151",42,32,"WSH"
"152",58,-2,"WSH"
"153",64,8,"WSH"
"154",63,-22,"WSH"
"155",83,-28,"WSH"
"156",69,38,"WSH"
"157",31,-18,"WSH"
